m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	238.351	223.549	0.938
18.010	16633.951	15147.659	0.911
18.034	16635.184	15151.748	0.911
19.018	489979.625	492319.000	1.005
21.022	2435.171	2394.870	0.983
26.015	8.295	7.687	0.927
27.010	35.340	34.349	0.972
27.994	43.331	42.448	0.980
28.006	43.368	42.415	0.978
28.018	43.331	42.157	0.973
28.031	43.157	42.060	0.975
29.002	10132.528	9832.213	0.970
29.013	10132.688	9832.344	0.970
29.026	10132.084	9831.805	0.970
29.039	10130.010	9830.316	0.970
29.997	4794.240	4666.324	0.973
30.021	4792.735	4665.187	0.973
30.034	4791.160	4664.433	0.974
30.046	4786.583	4660.724	0.974
31.005	97.463	94.696	0.972
31.018	97.390	94.438	0.970
31.029	96.958	94.083	0.970
31.042	96.453	93.793	0.972
31.054	95.452	92.825	0.972
31.989	84102.773	82170.070	0.977
32.049	83883.797	82012.664	0.978
32.989	1654.371	1601.975	0.968
32.989	1654.371	1601.975	0.968
32.997	1654.137	1601.880	0.968
33.033	1652.461	1600.411	0.969
33.045	1651.020	1599.090	0.969
33.987	384.438	373.223	0.971
33.997	384.101	372.805	0.971
34.005	383.873	372.258	0.970
34.995	15.531	14.757	0.950
35.005	15.613	14.596	0.935
35.976	8.634	8.849	1.025
36.984	6464.324	6538.629	1.011
37.028	6464.602	6539.295	1.012
41.002	238.165	230.927	0.970
41.026	238.166	230.927	0.970
41.039	238.065	230.894	0.970
42.034	145.738	140.252	0.962
43.018	585.976	568.032	0.969
43.054	582.931	565.551	0.970
43.989	54.773	52.037	0.950
44.001	54.690	51.875	0.949
44.062	54.093	51.617	0.954
44.997	494.215	485.226	0.982
45.033	493.821	484.743	0.982
45.992	74.929	71.601	0.956
46.021	74.892	71.568	0.956
47.013	131.041	132.535	1.011
47.037	130.995	132.277	1.010
47.049	130.921	132.148	1.009
47.060	130.885	132.083	1.009
47.984	4.537	4.683	1.032
49.011	4.427	4.295	0.970
49.992	4.481	4.424	0.987
51.000	3.977	3.778	0.950
52.012	2.002	1.872	0.935
52.018	1.965	1.872	0.953
53.026	13.825	13.137	0.950
53.939	3.847	4.100	1.066
54.046	3.930	4.068	1.035
54.947	169.302	166.460	0.983
57.033	70.149	69.466	0.990
57.070	70.094	69.305	0.989
59.049	2886.502	2785.188	0.965
59.086	2883.989	2782.550	0.965
61.028	598.510	584.849	0.977
61.065	598.172	584.625	0.977
62.995	8.026	7.976	0.994
63.026	7.952	7.750	0.975
64.003	1.781	1.550	0.870
65.020	3.297	3.778	1.146
68.049	3.756	3.810	1.015
69.033	91.661	89.912	0.981
69.070	91.606	89.815	0.980
71.049	40.708	41.449	1.018
71.086	40.708	41.611	1.022
73.065	66.954	64.750	0.967
75.044	77.059	76.985	0.999
75.068	77.022	76.823	0.997
77.060	109.077	107.124	0.982
78.046	15.823	15.466	0.977
79.054	29.360	29.407	1.002
80.049	4.601	4.294	0.933
81.070	48.444	46.061	0.951
82.078	7.723	6.941	0.899
82.989	84.002	84.098	1.001
83.010	84.002	84.065	1.001
83.049	84.076	84.033	0.999
83.086	83.773	83.678	0.999
83.911	11.524	10.235	0.888
84.081	12.048	10.946	0.909
84.919	35.884	34.222	0.954
85.065	36.380	34.578	0.950
85.101	35.618	34.094	0.957
86.036	9.055	9.461	1.045
86.060	9.073	9.461	1.043
86.096	8.936	9.332	1.044
87.044	25.256	25.985	1.029
87.080	25.275	26.049	1.031
88.112	6.805	6.781	0.996
89.023	305.913	312.004	1.020
89.042	306.014	312.037	1.020
89.060	306.005	311.972	1.020
89.096	305.767	311.650	1.019
90.055	17.563	17.753	1.011
91.039	144.640	137.643	0.952
91.050	144.870	137.934	0.952
91.058	144.934	138.160	0.953
92.062	63.849	62.783	0.983
93.033	1396.731	1361.769	0.975
93.070	1396.561	1361.708	0.975
94.041	111.169	106.532	0.958
95.049	48.292	46.196	0.957
95.086	48.201	46.034	0.955
96.057	7.283	7.879	1.082
97.040	38.233	38.386	1.004
97.065	38.206	38.386	1.005
97.101	38.187	38.322	1.004
97.967	12.891	11.848	0.919
98.975	26.167	25.860	0.988
99.080	26.094	25.699	0.985
99.092	26.085	25.699	0.985
99.104	26.103	25.666	0.983
99.117	26.085	25.666	0.984
101.060	26.378	26.505	1.005
101.096	26.314	26.472	1.006
102.025	7.383	7.394	1.001
102.068	7.410	7.458	1.006
102.104	7.401	7.458	1.008
102.128	7.374	7.459	1.011
103.032	21.925	22.018	1.004
103.042	21.916	21.953	1.002
103.075	21.944	21.953	1.000
103.112	21.833	21.792	0.998
103.123	21.714	21.792	1.004
104.047	3.140	2.874	0.915
104.049	3.131	2.874	0.918
104.062	3.131	2.874	0.918
105.037	10.100	9.523	0.943
105.057	10.091	9.491	0.941
105.070	10.100	9.491	0.940
106.078	2.939	3.003	1.022
107.049	59.002	57.746	0.979
107.086	58.956	57.746	0.979
108.057	8.411	7.975	0.948
108.081	8.411	7.975	0.948
108.093	8.411	7.975	0.948
109.065	25.157	25.213	1.002
109.076	25.157	25.181	1.001
109.089	25.139	25.149	1.000
109.101	25.148	25.181	1.001
110.060	3.866	4.036	1.044
110.073	3.894	4.101	1.053
110.084	3.884	4.069	1.047
110.109	3.894	4.101	1.053
111.080	15.830	15.239	0.963
111.092	15.849	15.272	0.964
111.104	15.839	15.272	0.964
111.117	15.812	15.207	0.962
112.007	6.915	6.716	0.971
112.052	6.915	6.652	0.962
112.088	6.897	6.620	0.960
112.112	6.933	6.684	0.964
113.015	12.662	12.430	0.982
113.060	12.653	12.398	0.980
113.096	12.644	12.365	0.978
113.107	12.626	12.301	0.974
114.091	15.076	13.623	0.904
114.128	15.049	13.590	0.903
115.075	13.122	13.109	0.999
115.112	13.122	13.076	0.997
115.123	13.113	13.109	1.000
116.143	3.701	3.390	0.916
117.070	36.698	36.996	1.008
117.078	36.679	37.061	1.010
117.091	36.578	36.996	1.011
117.102	36.422	36.803	1.010
117.127	35.770	36.480	1.020
118.065	3.067	3.131	1.021
118.078	3.058	3.131	1.024
118.081	3.067	3.131	1.021
118.086	3.067	3.131	1.021
119.060	6.548	5.941	0.907
119.086	6.502	5.909	0.909
120.081	1.744	1.872	1.073
121.052	41.105	41.323	1.005
121.065	41.086	41.290	1.005
121.089	41.022	41.290	1.007
121.101	40.930	41.290	1.009
122.060	5.216	4.940	0.947
122.084	5.235	4.940	0.944
122.096	5.235	4.908	0.938
123.092	16.876	17.531	1.039
124.039	3.067	2.777	0.905
124.057	3.067	2.777	0.905
125.042	14.049	14.723	1.048
125.060	14.076	14.723	1.046
125.071	14.058	14.755	1.050
125.084	14.085	14.820	1.052
125.096	14.095	14.852	1.054
125.107	14.104	14.852	1.053
125.120	14.040	14.820	1.056
127.112	13.746	13.333	0.970
127.136	13.746	13.301	0.968
127.903	2.672	2.712	1.015
128.120	2.727	2.454	0.900
128.143	2.700	2.422	0.897
128.911	10.522	10.363	0.985
129.045	10.568	10.492	0.993
129.070	10.577	10.492	0.992
129.091	10.550	10.460	0.991
129.127	10.476	10.428	0.995
129.139	10.430	10.428	1.000
129.151	10.430	10.428	1.000
131.060	8.917	9.170	1.028
131.107	8.926	9.267	1.038
131.143	8.880	9.300	1.047
131.154	8.880	9.235	1.040
132.066	1.120	1.065	0.951
132.102	1.129	1.097	0.972
133.065	3.600	3.455	0.960
133.101	3.563	3.423	0.961
135.080	12.230	11.912	0.974
135.117	12.276	11.977	0.976
137.047	17.143	15.982	0.932
137.060	17.152	15.982	0.932
137.060	17.152	15.982	0.932
137.071	17.143	15.982	0.932
137.132	17.106	15.982	0.934
139.148	16.168	15.559	0.962
144.175	1.827	2.099	1.149
145.076	20.134	20.757	1.031
145.122	20.171	20.886	1.035
145.962	3.490	3.229	0.925
145.968	3.480	3.229	0.928
146.970	2.828	2.454	0.868
146.976	2.837	2.454	0.865
148.088	0.890	0.807	0.906
