m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	106.474	103.052	0.968
18.010	6281.301	6273.281	0.999
18.034	6287.837	6279.060	0.999
19.018	542878.250	542208.687	0.999
21.022	1625.156	1630.814	1.003
26.015	4.883	4.651	0.952
27.010	27.873	31.540	1.132
27.994	23.269	23.501	1.010
28.006	23.351	23.824	1.020
28.018	23.392	23.792	1.017
28.031	23.327	23.792	1.020
29.002	4082.545	4074.695	0.998
29.013	4082.697	4074.851	0.998
29.026	4082.531	4074.844	0.998
29.039	4081.969	4074.482	0.998
29.997	2915.117	2906.586	0.997
30.021	2914.696	2906.085	0.997
30.034	2913.985	2905.453	0.997
30.046	2912.758	2904.076	0.997
31.005	104.877	124.333	1.186
31.018	104.778	124.301	1.186
31.029	104.663	124.075	1.185
31.042	104.335	123.816	1.187
31.054	104.023	123.397	1.186
31.989	48517.965	47092.172	0.971
32.049	48464.492	47041.863	0.971
32.989	10747.020	13905.095	1.294
32.989	10746.806	13904.837	1.294
32.997	10748.402	13906.759	1.294
33.033	10748.093	13906.341	1.294
33.045	10746.493	13904.661	1.294
33.987	344.621	379.883	1.102
33.997	344.771	379.886	1.102
34.005	344.641	379.823	1.102
34.995	33.799	40.644	1.203
35.005	33.881	40.709	1.202
35.976	5.236	5.394	1.030
36.984	7999.518	8275.614	1.035
37.028	7999.928	8275.975	1.035
41.002	338.066	357.887	1.059
41.026	338.199	357.920	1.058
41.039	338.224	357.922	1.058
42.034	98.045	90.579	0.924
43.018	971.209	1078.708	1.111
43.054	967.353	1074.099	1.110
43.989	47.895	51.071	1.066
44.001	47.878	51.071	1.067
44.062	47.427	50.651	1.068
44.997	2063.366	2528.326	1.225
45.033	2062.459	2527.017	1.225
45.992	60.817	66.889	1.100
46.021	60.751	66.761	1.099
47.013	132.669	144.778	1.091
47.037	132.620	144.778	1.092
47.049	132.603	144.811	1.092
47.060	132.529	144.617	1.091
47.984	4.415	4.650	1.053
49.011	3.766	3.649	0.969
49.992	6.464	6.296	0.974
51.000	9.425	11.557	1.226
52.012	1.058	1.098	1.037
52.018	1.050	1.065	1.015
53.026	7.309	7.103	0.972
53.939	2.904	3.261	1.123
54.046	2.871	3.294	1.147
54.947	92.900	97.746	1.052
57.033	181.315	201.963	1.114
57.070	181.266	201.898	1.114
59.049	1496.003	1817.470	1.215
59.086	1494.908	1815.892	1.215
61.028	1628.860	1832.233	1.125
61.065	1628.038	1831.436	1.125
62.995	77.352	81.117	1.049
63.026	77.295	80.923	1.047
64.003	2.634	2.874	1.091
65.020	5.079	5.812	1.144
68.049	4.053	3.649	0.900
69.033	67.734	69.595	1.027
69.070	67.726	69.531	1.027
71.049	38.206	40.221	1.053
71.086	38.166	40.092	1.050
