m/z
m118.081 ((C6H14S)+) 
m118.086 ((C5H11NO2)H+) 
m119.060 ((C7H6N2)H+) 
m119.086 ((C9H10)H+) 
m120.081 ((C8H9N)H+) 
m121.052 ((C7H7NO)+) 
m121.065 ((C8H8O)H+) 
m121.089 ((C8H11N)+) 
m121.101 ((C9H12)H+) 
m122.060 ((C7H7NO)H+) 
m122.084 ((C7H10N2)+) 
m122.096 ((C8H11N)H+) 
m123.092 ((C7H10N2)H+) 
m124.039 ((C6H5NO2)H+) 
m124.057 ((C4H7F2NO)H+) 
m125.042 ((C7H8S)H+) 
m125.060 ((C7H8O2)H+) 
m125.071 ((C6H8N2O)H+) 
m125.084 ((C7H11NO)+) 
m125.096 ((C8H12O)H+) 
m125.107 ((C7H12N2)H+) 
m125.120 ((C8H15N)+) 
m127.112 ((C8H14O)H+) 
m127.136 ((C8H17N)+) 
m127.903 ((Xe)+) 
m128.120 ((C8H16O)+) 
m128.143 ((C8H17N)H+) 
m128.911 ((Xe)H+) 
m129.045 ((C8H4N2)H+) 
m129.070 ((C10H8)H+) 
m129.091 ((C7H12O2)H+) 
m129.127 ((C8H16O)H+) 
m129.139 ((C7H16N2)H+) 
m129.151 ((C8H19N)+) 
m131.060 ((C8H6N2)H+) 
m131.107 (propylbutanoateH+) 
m131.143 ((C8H18O)H+) 
m131.154 ((C7H18N2)H+) 
m132.066 ((C5H9NO3)H+) 
m132.102 ((C6H13NO2)H+) 
m133.065 ((C9H8O)H+) 
m133.101 ((C10H12)H+) 
m135.080 ((C9H10O)H+) 
m135.117 ((C10H14)H+) 
m137.047 ((C7H7NO2)+) 
m137.060 ((C8H8O2)H+_2) 
m137.060 ((C8H8O2)H+) 
m137.071 ((C7H8N2O)H+) 
m137.132 ((C10H16)H+) 
m139.148 (menthol_H2OH+) 
m144.175 ((C9H21N)H+) 
m145.076 ((C9H8N2)H+) 
m145.122 (ethzlhexanoateH+) 
m145.962 ((F6S)+) 
m145.968 (C6Cl2H4+) 
m146.970 ((F6S)H+) 
m146.976 (C6Cl2H5+) 
m148.088 ((C10H12O)+) 
m148.125 ((C11H16)+) 
m149.096 ((C10H12O)H+) 
m151.075 ((C9H10O2)H+) 
m152.120 ((C10H16O)+) 
m153.055 ((C8H8O3)H+) 
m153.070 ((C12H8)H+) 
m153.127 ((C10H16O)H+) 
m153.151 ((C10H19N)+) 
m153.980 (C6Cl2H5 iso3ppm+) 
m155.086 ((C12H10)H+) 
m155.107 ((C9H14O2)H+) 
m155.142 (menthoneH+) 
m157.159 (mentholH+) 
m159.174 ((C10H22O)H+) 
m161.132 ((C12H16)H+) 
m162.128 ((C11H15N)H+) 
m163.063 ((C9H9NO2)+) 
m163.075 ((C10H10O2)H+) 
m163.099 ((C10H13NO)+) 
m163.123 ((C10H14N2)H+) 
m163.136 ((C11H17N)+) 
m163.148 ((C12H18)H+) 
m165.091 ((C10H12O2)H+) 
m165.985 ((C3F6O)+) 
m166.062 ((C9H10O3)+) 
m166.078 ((C13H10)+) 
m166.135 ((C11H18O)+) 
m167.070 ((C9H10O3)H+) 
m167.086 ((C13H10)H+) 
m174.140 ((C13H18)+) 
m175.148 ((C13H18)H+) 
m178.062 ((C10H10O3)+) 
m178.123 ((C11H15NO)H+) 
m179.086 ((C14H10)H+) 
m179.107 ((C11H14O2)H+) 
m179.128 ((C8H18O4)H+) 
m179.929 (C6Cl3H3+) 
m180.081 ((C13H9N)H+) 
m180.093 ((C14H12)+) 
m180.151 ((C12H20O)+) 
m180.937 (C6Cl3H4+) 
m181.076 ((C12H8N2)H+) 
m181.101 ((C14H12)H+) 
m181.159 ((C12H20O)H+) 
m181.170 ((C11H20N2)H+) 
m182.109 ((C14H14)+) 
m183.047 ((C9H10O2S)H+) 
m183.080 ((C13H10O)H+) 
m186.140 ((C14H18)+) 
m187.148 ((C14H18)H+) 
m188.937 (C6Cl3H4 iso57ppm+) 
m189.164 ((C14H20)H+) 
m191.143 ((C13H18O)H+) 
m192.093 ((C15H12)+) 
m193.101 ((C15H12)H+) 
m193.122 ((C12H16O2)H+) 
m194.154 ((C12H19NO)H+) 
m195.065 ((C10H10O4)H+) 
m195.138 ((C12H18O2)H+) 
m197.132 ((C15H16)H+) 
m199.148 ((C15H18)H+) 
m201.139 ((C13H16N2)H+) 
m201.233 ((C12H28N2)H+) 
m203.086 ((C16H10)H+) 
m203.154 ((C13H18N2)H+) 
m204.187 ((C15H24)+) 
m205.157 ((C12H19N3)+) 
m205.195 ((C15H24)H+) 
m211.148 ((C16H18)H+) 
m228.093 ((C18H12)+) 
m228.269 ((C15H33N)H+) 
m237.164 ((C18H20)H+) 
m239.007 ((U)H+) 
m239.179 ((C18H22)H+) 
m150.000 (TIC) 
