m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
163.063	4.178	4.327	1.036
163.075	4.186	4.359	1.041
163.099	4.161	4.359	1.048
163.123	4.145	4.327	1.044
163.136	4.136	4.327	1.046
163.148	4.128	4.327	1.048
165.091	2.688	2.841	1.057
165.985	0.885	0.839	0.948
166.062	0.876	0.839	0.957
166.078	0.876	0.839	0.957
166.135	0.885	0.904	1.021
167.070	3.251	3.261	1.003
167.086	3.243	3.261	1.006
174.140	5.650	5.359	0.949
175.148	1.604	1.485	0.925
178.062	1.604	1.679	1.046
178.123	1.613	1.711	1.061
179.086	1.596	1.452	0.910
179.107	1.571	1.452	0.924
179.128	1.588	1.452	0.915
179.929	0.670	0.581	0.867
180.081	0.661	0.549	0.829
180.093	0.653	0.516	0.790
180.151	0.637	0.516	0.811
180.937	33.223	38.094	1.147
181.076	33.199	38.191	1.150
181.101	33.199	38.191	1.150
181.159	33.199	38.191	1.150
181.170	33.199	38.191	1.150
182.109	1.853	2.454	1.324
183.047	4.955	4.875	0.984
183.080	4.947	4.811	0.973
186.140	0.711	0.839	1.180
187.148	1.687	1.549	0.918
188.937	1.091	1.226	1.124
189.164	1.075	1.194	1.111
191.143	3.525	4.102	1.164
192.093	2.581	2.680	1.038
193.101	5.850	6.492	1.110
193.122	5.759	6.330	1.099
194.154	2.283	2.260	0.990
195.065	2.266	2.131	0.940
195.138	2.217	2.163	0.976
197.132	1.911	2.099	1.098
199.148	3.085	3.778	1.224
201.139	12.845	13.527	1.053
201.233	12.853	13.527	1.052
203.086	1.058	0.871	0.823
203.154	1.050	0.807	0.768
204.187	0.537	0.581	1.081
205.157	1.456	1.550	1.065
205.195	1.456	1.550	1.065
211.148	13.683	14.434	1.055
228.093	12.747	14.561	1.142
228.269	12.747	14.593	1.145
237.164	1.166	1.291	1.107
239.007	1.307	1.452	1.112
239.179	1.348	1.517	1.125
150.000	882.885	910.110	1.031
