m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
122.060	2.083	2.098	1.007
122.084	2.067	2.066	1.000
122.096	2.059	2.034	0.988
123.092	10.993	10.040	0.913
124.039	1.717	1.872	1.091
124.057	1.709	1.872	1.096
125.042	7.714	7.652	0.992
125.060	7.739	7.652	0.989
125.071	7.755	7.652	0.987
125.084	7.739	7.619	0.985
125.096	7.755	7.716	0.995
125.107	7.747	7.749	1.000
125.120	7.731	7.749	1.002
127.112	15.141	15.236	1.006
127.136	15.124	15.236	1.007
127.903	2.311	2.325	1.006
128.120	2.352	2.195	0.934
128.143	2.376	2.163	0.910
128.911	6.884	6.748	0.980
129.045	7.031	6.974	0.992
129.070	7.031	6.974	0.992
129.091	7.014	6.974	0.994
129.127	7.006	6.974	0.995
129.139	6.998	6.974	0.997
129.151	6.990	6.974	0.998
131.060	5.965	6.555	1.099
131.107	5.990	6.587	1.100
131.143	5.949	6.587	1.107
131.154	5.949	6.587	1.107
132.066	0.846	0.613	0.725
132.102	0.822	0.581	0.707
133.065	5.006	5.006	1.000
133.101	4.770	4.877	1.022
135.080	6.209	5.456	0.879
135.117	6.177	5.360	0.868
137.047	32.935	35.895	1.090
137.060	32.902	35.895	1.091
137.060	32.902	35.895	1.091
137.071	32.869	35.895	1.092
137.132	32.837	36.089	1.099
139.148	5.900	6.425	1.089
144.175	1.603	1.453	0.906
145.076	13.131	13.428	1.023
145.122	13.083	13.396	1.024
145.962	2.099	2.066	0.984
145.968	2.099	2.066	0.984
146.970	2.922	3.100	1.061
146.976	2.922	3.132	1.072
148.088	0.830	0.742	0.895
148.125	0.781	0.710	0.909
149.096	22.025	22.338	1.014
151.075	5.257	4.972	0.946
152.120	1.058	1.388	1.313
153.055	5.859	6.393	1.091
153.070	5.851	6.393	1.093
153.127	5.859	6.361	1.086
153.151	5.868	6.329	1.079
153.980	1.090	1.098	1.007
155.086	4.931	4.972	1.008
155.107	4.931	4.973	1.008
155.142	4.964	5.037	1.015
157.159	3.638	3.326	0.914
159.174	6.974	6.264	0.898
161.132	1.668	1.388	0.832
162.128	0.756	0.775	1.024
163.063	3.865	4.133	1.069
163.075	3.865	4.133	1.069
163.099	3.873	4.133	1.067
163.123	3.890	4.101	1.054
163.136	3.906	4.101	1.050
163.148	3.906	4.101	1.050
165.091	1.619	1.582	0.977
165.985	0.708	0.645	0.912
166.062	0.675	0.645	0.956
166.078	0.675	0.645	0.956
166.135	0.643	0.581	0.904
167.070	1.969	1.679	0.853
167.086	1.969	1.679	0.853
174.140	3.613	3.293	0.912
175.148	1.123	1.065	0.949
178.062	0.773	0.775	1.003
178.123	0.781	0.839	1.075
179.086	0.887	0.775	0.874
179.107	0.895	0.807	0.902
179.128	0.911	0.839	0.921
