m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	123.815	124.012	1.002
18.010	7358.282	7375.386	1.002
18.034	7393.504	7407.193	1.002
19.018	528513.187	528094.625	0.999
21.022	1805.997	1794.564	0.994
26.015	6.598	6.201	0.940
27.010	40.502	43.706	1.079
27.994	30.237	30.245	1.000
28.006	30.263	30.213	0.998
28.018	30.334	30.181	0.995
28.031	30.372	30.213	0.995
29.002	4781.500	4810.317	1.006
29.013	4782.852	4811.542	1.006
29.026	4783.198	4812.184	1.006
29.039	4783.004	4812.167	1.006
29.997	3457.032	3454.094	0.999
30.021	3457.094	3454.221	0.999
30.034	3456.868	3454.050	0.999
30.046	3456.193	3453.820	0.999
31.005	251.507	256.680	1.021
31.018	251.796	257.294	1.022
31.029	251.951	257.456	1.022
31.042	251.669	257.392	1.023
31.054	250.945	256.941	1.024
31.989	59670.043	59713.820	1.001
32.049	59642.477	59686.926	1.001
32.989	31839.062	32911.480	1.034
32.989	31839.062	32911.480	1.034
32.997	31945.674	33023.590	1.034
33.033	31994.049	33072.758	1.034
33.045	31992.766	33071.645	1.034
33.987	662.592	674.681	1.018
33.997	664.238	676.642	1.019
34.005	665.194	676.940	1.018
34.995	82.256	87.075	1.059
35.005	82.474	87.365	1.059
35.976	9.902	9.882	0.998
36.984	9759.686	9691.899	0.993
37.028	9774.360	9706.041	0.993
41.002	546.979	552.850	1.011
41.026	547.529	553.372	1.011
41.039	547.672	553.471	1.011
42.034	102.077	101.850	0.998
43.018	2110.715	2122.384	1.006
43.054	2106.438	2118.187	1.006
43.989	84.445	84.420	1.000
44.001	84.528	84.550	1.000
44.062	84.028	84.259	1.003
44.997	1754.021	1778.261	1.014
45.033	1754.271	1778.289	1.014
45.992	69.830	70.536	1.010
46.021	69.862	70.504	1.009
47.013	155.453	157.249	1.012
47.037	155.415	157.216	1.012
47.049	155.383	157.281	1.012
47.060	155.261	157.216	1.013
47.984	6.597	6.426	0.974
49.011	25.001	25.531	1.021
49.992	8.667	8.491	0.980
51.000	24.874	25.370	1.020
52.012	1.745	1.970	1.129
52.018	1.752	1.970	1.125
53.026	8.552	8.555	1.000
53.939	3.728	4.036	1.083
54.046	3.850	4.036	1.048
54.947	100.328	100.653	1.003
57.033	469.678	474.677	1.011
57.070	469.719	474.809	1.011
59.049	6326.116	6477.755	1.024
59.086	6324.278	6475.915	1.024
61.028	3355.049	3375.159	1.006
61.065	3354.187	3374.638	1.006
62.995	187.523	190.092	1.014
63.026	187.542	190.189	1.014
64.003	6.372	6.910	1.084
65.020	9.412	9.686	1.029
68.049	4.645	4.876	1.050
69.033	65.359	62.786	0.961
69.070	65.372	62.721	0.959
71.049	60.805	60.849	1.001
71.086	60.844	60.817	1.000
73.065	515.990	523.330	1.014
75.044	620.403	632.271	1.019
75.068	620.340	632.208	1.019
77.060	31.358	31.478	1.004
78.046	4.203	4.715	1.122
79.054	20.579	20.079	0.976
80.049	2.611	2.550	0.977
81.070	27.808	26.793	0.964
82.078	3.766	3.906	1.037
82.989	55.537	56.979	1.026
83.010	55.800	57.302	1.027
83.049	55.865	57.302	1.026
83.086	55.846	57.173	1.024
83.911	4.247	4.294	1.011
84.081	7.366	7.330	0.995
84.919	108.189	102.786	0.950
85.065	142.344	135.541	0.952
85.101	142.280	135.509	0.952
86.036	11.759	11.137	0.947
86.060	11.746	11.072	0.943
86.096	11.746	11.105	0.945
87.044	33.595	34.670	1.032
87.080	33.627	34.735	1.033
88.112	7.339	6.748	0.919
89.023	253.802	253.141	0.997
89.042	253.867	253.238	0.998
89.060	253.892	253.205	0.997
89.096	253.822	253.205	0.998
90.055	13.836	14.074	1.017
91.039	71.548	72.210	1.009
91.050	71.619	72.339	1.010
91.058	71.715	72.404	1.010
92.062	15.555	15.979	1.027
93.033	275.844	274.240	0.994
93.070	275.844	274.111	0.994
94.041	22.847	22.239	0.973
95.049	29.004	30.543	1.053
95.086	29.011	30.478	1.051
96.057	3.157	3.293	1.043
97.040	18.958	19.435	1.025
97.065	18.977	19.435	1.024
97.101	18.984	19.435	1.024
97.967	3.112	2.841	0.913
98.975	16.069	15.399	0.958
99.080	16.069	15.399	0.958
99.092	16.063	15.399	0.959
99.104	16.063	15.399	0.959
99.117	16.050	15.399	0.959
101.060	29.451	29.829	1.013
101.096	29.464	29.765	1.010
102.025	3.567	3.648	1.023
102.068	3.554	3.648	1.026
102.104	3.574	3.616	1.012
102.128	3.593	3.584	0.998
103.032	13.607	13.204	0.970
103.042	13.587	13.139	0.967
103.075	13.594	13.075	0.962
103.112	13.613	13.075	0.960
103.123	13.600	13.043	0.959
104.047	2.181	2.325	1.066
104.049	2.181	2.325	1.066
104.062	2.194	2.357	1.074
105.037	13.266	13.267	1.000
105.057	13.266	13.299	1.003
105.070	13.278	13.299	1.002
106.078	2.688	2.422	0.901
107.049	39.519	39.283	0.994
107.086	39.564	39.316	0.994
108.057	5.704	6.103	1.070
108.081	5.691	6.135	1.078
108.093	5.685	6.103	1.074
