m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
114.128	9.306	8.750	0.940
115.075	6.990	6.877	0.984
115.112	6.973	6.812	0.977
115.123	6.973	6.780	0.972
116.143	2.001	1.646	0.823
117.070	26.227	25.534	0.974
117.078	26.218	25.534	0.974
117.091	26.177	25.567	0.977
117.102	26.136	25.534	0.977
117.127	25.888	25.244	0.975
118.065	2.093	2.389	1.142
118.078	2.076	2.357	1.135
118.081	2.076	2.357	1.135
118.086	2.076	2.357	1.135
119.060	5.311	5.554	1.046
119.086	5.328	5.522	1.036
120.081	1.042	1.097	1.053
121.052	17.972	16.658	0.927
121.065	17.947	16.658	0.928
121.089	17.980	16.691	0.928
121.101	17.988	16.691	0.928
122.060	2.672	2.583	0.967
122.084	2.663	2.551	0.958
122.096	2.655	2.551	0.961
123.092	8.686	9.042	1.041
124.039	1.729	1.711	0.990
124.057	1.695	1.679	0.990
125.042	6.419	6.296	0.981
125.060	6.428	6.296	0.980
125.071	6.428	6.296	0.980
125.084	6.428	6.296	0.980
125.096	6.419	6.264	0.976
125.107	6.403	6.264	0.978
125.120	6.370	6.199	0.973
127.112	8.867	7.652	0.863
127.136	8.859	7.620	0.860
127.903	1.993	1.905	0.956
128.120	2.043	1.969	0.964
128.143	2.035	1.969	0.968
128.911	8.015	7.556	0.943
129.045	8.081	7.556	0.935
129.070	8.065	7.524	0.933
129.091	8.057	7.524	0.934
129.127	8.032	7.524	0.937
129.139	8.007	7.491	0.936
129.151	7.974	7.492	0.940
131.060	8.297	8.589	1.035
131.107	8.264	8.492	1.028
131.143	8.231	8.427	1.024
131.154	8.206	8.427	1.027
132.066	1.083	0.807	0.745
132.102	1.108	0.904	0.816
133.065	2.879	2.744	0.953
133.101	2.829	2.712	0.959
135.080	5.758	5.554	0.965
135.117	5.716	5.554	0.972
137.047	19.041	12.399	0.651
137.060	19.017	12.334	0.649
137.060	19.017	12.334	0.649
137.071	19.008	12.302	0.647
137.132	19.033	12.270	0.645
139.148	5.327	5.263	0.988
144.175	1.397	1.355	0.970
145.076	17.905	17.561	0.981
145.122	17.905	17.561	0.981
145.962	2.150	2.001	0.931
145.968	2.159	2.001	0.927
146.970	1.910	2.034	1.065
146.976	1.910	2.034	1.065
148.088	0.604	0.581	0.962
148.125	0.620	0.581	0.937
149.096	3.515	3.067	0.872
151.075	3.118	2.680	0.859
152.120	0.769	0.678	0.881
153.055	6.328	5.715	0.903
153.070	6.353	5.747	0.905
153.127	6.336	5.651	0.892
153.151	6.336	5.618	0.887
153.980	1.075	1.065	0.991
155.086	7.453	6.909	0.927
155.107	7.478	6.942	0.928
155.142	7.486	6.909	0.923
157.159	4.723	3.939	0.834
159.174	8.164	7.329	0.898
161.132	1.993	2.034	1.020
162.128	0.612	0.323	0.527
163.063	3.756	3.972	1.058
163.075	3.756	3.972	1.058
163.099	3.772	3.972	1.053
163.123	3.764	3.939	1.047
163.136	3.772	3.939	1.044
163.148	3.764	3.939	1.047
165.091	2.084	2.034	0.976
165.985	0.496	0.581	1.171
166.062	0.488	0.613	1.257
166.078	0.488	0.613	1.257
166.135	0.488	0.613	1.257
167.070	2.481	2.421	0.976
167.086	2.481	2.421	0.976
174.140	6.237	6.039	0.968
175.148	1.224	1.388	1.134
178.062	0.670	0.904	1.349
178.123	0.653	0.904	1.384
179.086	1.075	1.000	0.931
179.107	1.075	1.000	0.931
179.128	1.042	0.968	0.929
179.929	0.455	0.516	1.136
180.081	0.479	0.549	1.144
180.093	0.488	0.549	1.125
180.151	0.529	0.581	1.098
180.937	5.121	4.069	0.795
181.076	5.113	4.037	0.790
181.101	5.129	4.037	0.787
181.159	5.096	4.004	0.786
181.170	5.096	4.004	0.786
182.109	0.876	0.936	1.068
183.047	3.929	3.422	0.871
183.080	3.904	3.422	0.877
186.140	0.579	0.323	0.558
187.148	1.571	1.582	1.007
188.937	0.603	0.742	1.230
189.164	0.595	0.645	1.084
191.143	1.058	1.033	0.976
192.093	0.860	0.871	1.013
193.101	2.018	2.066	1.024
193.122	1.993	2.034	1.020
194.154	0.843	0.807	0.957
195.065	1.224	1.259	1.029
195.138	1.191	1.194	1.003
197.132	1.133	1.130	0.997
199.148	2.779	2.550	0.918
201.139	15.416	15.076	0.978
201.233	15.400	15.011	0.975
203.086	0.984	0.968	0.984
203.154	0.992	1.000	1.008
204.187	0.339	0.387	1.142
205.157	1.298	1.550	1.194
205.195	1.290	1.550	1.201
211.148	4.244	5.296	1.248
228.093	3.268	4.036	1.235
228.269	3.210	3.907	1.217
237.164	0.628	0.742	1.181
239.007	0.777	0.871	1.121
239.179	0.769	0.871	1.133
150.000	545.708	511.370	0.937
