m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	117.511	118.392	1.007
18.010	7411.160	7409.646	1.000
18.034	7425.420	7424.746	1.000
19.018	514408.625	513442.969	0.998
21.022	1977.440	1975.580	0.999
26.015	5.922	6.137	1.036
27.010	28.174	26.762	0.950
27.994	29.144	29.505	1.012
28.006	29.078	29.312	1.008
28.018	29.183	29.667	1.017
28.031	29.068	29.667	1.021
29.002	4928.917	4926.138	0.999
29.013	4929.477	4926.373	0.999
29.026	4929.395	4926.154	0.999
29.039	4928.786	4925.504	0.999
29.997	3637.753	3611.281	0.993
30.021	3637.238	3610.571	0.993
30.034	3636.615	3609.882	0.993
30.046	3635.227	3608.584	0.993
31.005	124.825	124.894	1.001
31.018	124.816	125.023	1.002
31.029	124.397	124.797	1.003
31.042	123.434	123.925	1.004
31.054	121.747	122.666	1.008
31.989	64010.582	64087.070	1.001
32.049	63943.645	64020.973	1.001
32.989	4834.731	4376.763	0.905
32.989	4834.464	4376.343	0.905
32.997	4838.186	4379.941	0.905
33.033	4839.351	4380.801	0.905
33.045	4838.232	4379.443	0.905
33.987	334.076	329.988	0.988
33.997	334.022	330.056	0.988
34.005	333.996	330.059	0.988
34.995	19.305	18.309	0.948
35.005	19.258	18.244	0.947
35.976	7.171	6.880	0.959
36.984	12954.917	12881.521	0.994
37.028	12959.602	12887.055	0.994
41.002	339.960	319.274	0.939
41.026	339.934	319.730	0.941
41.039	339.850	319.602	0.940
42.034	189.040	189.222	1.001
43.018	881.107	852.647	0.968
43.054	876.457	848.505	0.968
43.989	58.896	58.630	0.995
44.001	58.839	58.695	0.998
44.062	57.171	56.790	0.993
44.997	314.324	310.061	0.986
45.033	314.174	309.966	0.987
45.992	42.476	42.458	1.000
46.021	42.418	42.394	0.999
47.013	163.993	163.551	0.997
47.037	164.022	163.745	0.998
47.049	163.965	163.745	0.999
47.060	163.927	163.713	0.999
47.984	4.938	4.714	0.955
49.011	2.908	2.616	0.900
49.992	8.940	9.360	1.047
51.000	6.511	5.845	0.898
52.012	1.334	1.420	1.064
52.018	1.353	1.420	1.050
