m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	108.190	107.576	0.994
18.010	7387.515	7423.588	1.005
18.034	7403.200	7439.349	1.005
19.018	518671.125	520664.250	1.004
21.022	1982.164	1997.151	1.008
26.015	9.239	10.915	1.181
27.010	36.167	37.898	1.048
27.994	31.785	33.382	1.050
28.006	31.810	33.318	1.047
28.018	31.859	33.350	1.047
28.031	31.835	33.512	1.053
29.002	4714.633	4737.899	1.005
29.013	4715.161	4738.444	1.005
29.026	4715.051	4738.324	1.005
29.039	4714.505	4737.980	1.005
29.997	3517.818	3493.723	0.993
30.021	3517.861	3493.542	0.993
30.034	3517.255	3492.588	0.993
30.046	3515.739	3491.584	0.993
31.005	113.847	114.069	1.002
31.018	113.905	114.102	1.002
31.029	113.692	113.876	1.002
31.042	113.437	113.165	0.998
31.054	112.699	112.229	0.996
31.989	56600.875	55826.422	0.986
32.049	56540.477	55767.859	0.986
32.989	13887.062	14051.392	1.012
32.989	13886.726	14050.811	1.012
32.997	13899.926	14064.039	1.012
33.033	13905.002	14068.993	1.012
33.045	13903.443	14067.650	1.012
33.987	422.579	424.240	1.004
33.997	422.616	424.277	1.004
34.005	422.735	424.314	1.004
34.995	39.885	40.355	1.012
35.005	39.820	40.290	1.012
35.976	7.698	8.656	1.124
36.984	18080.428	18409.789	1.018
37.028	18088.373	18419.076	1.018
41.002	461.142	481.698	1.045
41.026	461.252	481.960	1.045
41.039	461.230	481.864	1.045
42.034	123.374	126.688	1.027
43.018	1342.843	1378.964	1.027
43.054	1339.626	1376.053	1.027
43.989	63.034	65.568	1.040
44.001	63.017	65.504	1.039
44.062	62.221	64.826	1.042
44.997	1530.499	1702.308	1.112
45.033	1529.968	1702.062	1.112
45.992	60.648	63.376	1.045
46.021	60.583	63.279	1.045
47.013	162.066	166.267	1.026
47.037	161.984	166.364	1.027
47.049	161.976	166.396	1.027
47.060	162.017	166.428	1.027
47.984	7.524	7.556	1.004
49.011	21.357	25.112	1.176
49.992	8.556	9.136	1.068
51.000	19.988	20.433	1.022
52.012	1.583	1.743	1.101
52.018	1.600	1.743	1.090
53.026	7.236	7.490	1.035
53.939	3.150	2.938	0.933
54.046	3.298	3.100	0.940
54.947	98.391	100.492	1.021
57.033	406.853	434.872	1.069
57.070	406.772	434.906	1.069
59.049	4207.566	4103.457	0.975
59.086	4205.362	4101.825	0.975
61.028	1743.114	1759.674	1.010
61.065	1742.278	1759.136	1.010
62.995	291.104	329.303	1.131
63.026	290.957	329.272	1.132
64.003	9.106	10.428	1.145
65.020	13.691	14.460	1.056
68.049	6.341	6.618	1.044
69.033	69.822	71.634	1.026
69.070	69.805	71.634	1.026
71.049	62.494	65.752	1.052
71.086	62.445	65.720	1.052
73.065	263.192	271.623	1.032
75.044	219.936	228.716	1.040
75.068	219.813	228.619	1.040
77.060	40.936	43.842	1.071
78.046	6.950	7.202	1.036
79.054	25.554	26.183	1.025
80.049	3.520	3.714	1.055
81.070	70.923	74.467	1.050
82.078	6.481	6.877	1.061
82.989	50.242	51.942	1.034
