m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	107.204	108.768	1.015
18.010	7030.634	7016.414	0.998
18.034	7043.806	7030.349	0.998
19.018	516482.375	517065.906	1.001
21.022	1990.833	2003.611	1.006
26.015	6.332	6.039	0.954
27.010	36.070	36.381	1.009
27.994	27.826	28.924	1.039
28.006	27.861	28.827	1.035
28.018	27.922	29.021	1.039
28.031	27.817	28.956	1.041
29.002	5036.201	5029.161	0.999
29.013	5036.849	5029.932	0.999
29.026	5037.122	5030.460	0.999
29.039	5036.691	5030.275	0.999
29.997	3510.248	3509.665	1.000
30.021	3509.851	3509.057	1.000
30.034	3509.341	3508.467	1.000
30.046	3507.696	3506.818	1.000
31.005	62.275	62.111	0.997
31.018	62.380	62.499	1.002
31.029	62.204	62.305	1.002
31.042	62.248	62.273	1.000
31.054	62.222	62.305	1.001
31.989	59650.187	59610.156	0.999
32.049	59584.133	59545.535	0.999
32.989	1327.780	1287.605	0.970
32.989	1327.780	1287.605	0.970
32.997	1328.545	1288.374	0.970
33.033	1328.106	1287.010	0.969
33.045	1327.624	1286.542	0.969
33.987	273.743	269.042	0.983
33.997	273.848	269.074	0.983
34.005	273.919	269.301	0.983
34.995	10.951	10.365	0.947
35.005	11.074	10.656	0.962
35.976	5.946	5.781	0.972
36.984	15908.805	16040.272	1.008
37.028	15915.095	16045.695	1.008
41.002	369.454	362.975	0.982
41.026	369.826	363.366	0.983
41.039	369.774	363.302	0.982
42.034	107.484	107.338	0.999
43.018	534.029	522.005	0.977
43.054	533.128	520.910	0.977
43.989	38.565	37.802	0.980
44.001	38.556	37.673	0.977
44.062	38.267	37.350	0.976
44.997	467.220	481.494	1.031
45.033	467.125	481.399	1.031
45.992	49.610	50.846	1.025
46.021	49.610	50.717	1.022
47.013	267.547	272.780	1.020
47.037	267.451	272.748	1.020
47.049	267.486	272.748	1.020
47.060	267.460	272.716	1.020
47.984	7.717	7.942	1.029
49.011	3.284	3.294	1.003
49.992	7.251	7.361	1.015
51.000	3.592	3.391	0.944
52.012	1.282	1.259	0.982
52.018	1.264	1.195	0.945
53.026	7.190	7.749	1.078
53.939	2.713	2.970	1.095
54.046	2.686	2.938	1.094
54.947	104.348	105.173	1.008
57.033	244.383	237.451	0.972
57.070	244.304	237.418	0.972
59.049	1089.325	1106.516	1.016
59.086	1088.758	1106.164	1.016
61.028	464.079	447.912	0.965
61.065	463.825	447.623	0.965
62.995	75.705	70.010	0.925
63.026	75.670	69.977	0.925
64.003	2.353	2.421	1.029
65.020	4.803	4.682	0.975
68.049	5.856	5.263	0.899
69.033	87.530	89.326	1.021
69.070	87.530	89.326	1.021
71.049	70.575	66.723	0.945
71.086	70.619	66.788	0.946
73.065	112.029	108.020	0.964
75.044	94.174	93.970	0.998
75.068	94.068	93.841	0.998
77.060	43.016	42.355	0.985
78.046	6.823	6.749	0.989
79.054	23.912	23.372	0.977
80.049	3.802	4.165	1.096
81.070	42.501	42.381	0.997
82.078	5.479	5.908	1.078
82.989	70.141	70.022	0.998
83.010	70.203	70.215	1.000
