m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	122.738	119.492	0.974
18.010	7726.530	7535.194	0.975
18.034	7738.076	7548.140	0.975
19.018	512084.500	510342.000	0.997
21.022	2043.311	2047.355	1.002
26.015	6.726	6.104	0.908
27.010	42.480	45.224	1.065
27.994	30.554	32.216	1.054
28.006	30.715	32.410	1.055
28.018	30.748	32.377	1.053
28.031	30.740	32.571	1.060
29.002	5703.587	5717.042	1.002
29.013	5704.353	5717.764	1.002
29.026	5704.295	5717.795	1.002
29.039	5703.454	5716.991	1.002
29.997	3666.366	3693.678	1.007
30.021	3666.069	3693.304	1.007
30.034	3665.678	3692.982	1.007
30.046	3663.606	3690.769	1.007
31.005	79.683	83.225	1.044
31.018	79.667	83.129	1.043
31.029	79.587	83.096	1.044
31.042	79.280	82.967	1.047
31.054	78.908	82.515	1.046
31.989	62872.242	62914.387	1.001
32.049	62802.340	62846.543	1.001
32.989	4814.991	5958.543	1.237
32.989	4814.991	5958.543	1.237
32.997	4817.302	5961.667	1.238
33.033	4818.149	5962.268	1.237
33.045	4817.593	5961.437	1.237
33.987	330.841	347.387	1.050
33.997	330.747	347.422	1.050
34.005	330.692	347.296	1.050
34.995	19.892	22.442	1.128
35.005	19.973	22.281	1.116
35.976	5.725	6.105	1.066
36.984	12415.926	12530.480	1.009
37.028	12419.094	12533.325	1.009
41.002	439.472	476.536	1.084
41.026	439.685	476.830	1.084
41.039	439.597	476.864	1.085
42.034	107.187	104.565	0.976
43.018	1101.553	1123.727	1.020
43.054	1098.993	1121.031	1.020
43.989	56.840	58.078	1.022
44.001	56.816	58.078	1.022
44.062	56.299	57.723	1.025
44.997	791.764	729.049	0.921
45.033	791.445	728.438	0.920
45.992	63.348	58.303	0.920
46.021	63.324	58.174	0.919
47.013	186.848	174.705	0.935
47.037	186.840	174.640	0.935
47.049	186.872	174.576	0.934
47.060	186.840	174.576	0.934
47.984	5.594	5.231	0.935
49.011	5.457	4.424	0.811
49.992	6.578	6.425	0.977
51.000	5.675	6.845	1.206
52.012	1.509	1.517	1.005
52.018	1.509	1.517	1.005
53.026	9.306	9.362	1.006
53.939	4.561	4.682	1.027
54.046	4.545	4.714	1.037
54.947	122.302	125.718	1.028
57.033	284.823	325.027	1.141
57.070	284.831	324.931	1.141
59.049	1979.792	2059.322	1.040
59.086	1978.743	2058.228	1.040
61.028	1287.089	1301.794	1.011
61.065	1286.642	1301.348	1.011
62.995	78.723	83.251	1.058
63.026	78.666	83.219	1.058
64.003	2.737	2.519	0.920
65.020	5.094	5.167	1.014
68.049	4.794	4.650	0.970
69.033	91.150	91.198	1.001
69.070	91.038	91.134	1.001
71.049	71.002	78.475	1.105
71.086	71.002	78.604	1.107
73.065	120.003	128.110	1.068
75.044	232.311	246.994	1.063
75.068	232.214	246.897	1.063
77.060	58.632	57.881	0.987
78.046	8.663	8.590	0.992
79.054	27.392	26.084	0.952
80.049	3.907	3.261	0.835
81.070	79.851	46.967	0.588
82.078	8.297	6.103	0.735
82.989	100.411	107.104	1.067
83.010	100.500	107.136	1.066
83.049	100.444	107.104	1.066
83.086	100.137	106.749	1.066
83.911	8.701	8.717	1.002
84.081	10.591	10.753	1.015
84.919	160.830	162.924	1.013
85.065	171.330	173.747	1.014
85.101	170.104	172.391	1.013
86.036	16.295	16.368	1.004
86.060	16.295	16.368	1.004
86.096	16.287	16.400	1.007
87.044	33.336	34.194	1.026
87.080	33.280	34.130	1.026
88.112	8.234	7.523	0.914
89.023	467.717	479.738	1.026
89.042	467.758	479.803	1.026
89.060	467.758	479.901	1.026
89.096	467.727	479.966	1.026
90.055	24.768	25.017	1.010
91.039	86.090	88.196	1.024
91.050	86.348	88.423	1.024
91.058	86.429	88.520	1.024
92.062	37.486	36.607	0.977
93.033	888.187	879.644	0.990
93.070	888.174	879.711	0.990
94.041	70.423	70.559	1.002
95.049	46.359	38.256	0.825
95.086	46.368	38.159	0.823
96.057	5.384	4.521	0.840
97.040	29.032	29.378	1.012
97.065	29.016	29.378	1.012
97.101	29.000	29.281	1.010
97.967	5.401	5.619	1.040
98.975	25.963	28.343	1.092
99.080	26.020	28.473	1.094
99.092	26.020	28.473	1.094
99.104	26.004	28.440	1.094
99.117	26.004	28.505	1.096
101.060	30.911	30.056	0.972
101.096	30.846	30.024	0.973
102.025	6.256	6.006	0.960
102.068	6.207	6.006	0.968
102.104	6.191	6.038	0.975
102.128	6.175	6.038	0.978
103.032	31.847	25.147	0.790
103.042	31.839	25.115	0.789
103.075	31.822	25.051	0.787
103.112	31.766	25.083	0.790
103.123	31.758	25.083	0.790
104.047	3.317	2.874	0.866
104.049	3.333	2.874	0.862
104.062	3.341	2.906	0.870
105.037	9.395	7.749	0.825
105.057	9.411	7.782	0.827
105.070	9.428	7.782	0.825
106.078	3.172	2.938	0.926
107.049	65.116	60.619	0.931
107.086	65.108	60.651	0.932
108.057	10.509	10.364	0.986
108.081	10.525	10.428	0.991
108.093	10.533	10.525	0.999
109.065	23.220	20.951	0.902
109.076	23.212	20.984	0.904
109.089	23.228	20.984	0.903
109.101	23.236	21.048	0.906
110.060	3.479	3.197	0.919
110.073	3.447	3.164	0.918
110.084	3.439	3.164	0.920
110.109	3.463	3.164	0.914
111.080	14.689	14.591	0.993
111.092	14.664	14.591	0.995
111.104	14.640	14.559	0.994
111.117	14.616	14.527	0.994
112.007	3.447	3.132	0.909
112.052	3.423	3.067	0.896
112.088	3.406	3.003	0.881
112.112	3.439	3.035	0.883
113.015	12.906	12.689	0.983
113.060	12.930	12.786	0.989
113.096	12.898	12.754	0.989
113.107	12.898	12.754	0.989
114.091	11.147	11.138	0.999
114.128	11.139	11.106	0.997
115.075	11.220	10.559	0.941
115.112	11.188	10.462	0.935
115.123	11.196	10.462	0.934
116.143	3.866	3.196	0.827
117.070	42.475	41.934	0.987
117.078	42.467	41.902	0.987
117.091	42.459	41.902	0.987
117.102	42.434	41.870	0.987
117.127	42.184	41.741	0.989
118.065	3.705	3.778	1.020
118.078	3.689	3.778	1.024
118.081	3.689	3.778	1.024
118.086	3.689	3.778	1.024
119.060	10.106	10.686	1.057
119.086	10.090	10.686	1.059
120.081	1.614	1.162	0.720
121.052	36.479	34.091	0.935
121.065	36.455	34.059	0.934
121.089	36.439	34.156	0.937
121.101	36.415	34.124	0.937
122.060	4.545	4.553	1.002
122.084	4.545	4.553	1.002
122.096	4.537	4.553	1.003
123.092	15.699	14.496	0.923
124.039	2.502	2.486	0.994
124.057	2.494	2.486	0.997
125.042	11.615	11.494	0.990
125.060	11.631	11.526	0.991
125.071	11.615	11.494	0.990
125.084	11.615	11.494	0.990
125.096	11.615	11.526	0.992
125.107	11.639	11.526	0.990
125.120	11.647	11.591	0.995
127.112	15.788	15.338	0.971
127.136	15.699	15.079	0.961
127.903	2.905	3.099	1.067
128.120	2.881	3.067	1.064
128.143	2.897	3.067	1.059
128.911	10.566	10.850	1.027
129.045	10.824	11.011	1.017
129.070	10.825	11.011	1.017
129.091	10.816	11.011	1.018
129.127	10.671	10.785	1.011
129.139	10.574	10.592	1.002
129.151	10.429	10.430	1.000
131.060	9.606	9.202	0.958
131.107	9.598	9.170	0.955
131.143	9.533	9.073	0.952
131.154	9.501	9.041	0.952
132.066	1.404	1.033	0.735
132.102	1.388	1.033	0.744
133.065	4.465	4.877	1.092
133.101	4.231	4.618	1.092
135.080	10.728	10.267	0.957
135.117	10.679	10.170	0.952
137.047	43.195	18.790	0.435
137.060	43.171	18.757	0.434
137.060	43.171	18.757	0.434
137.071	43.155	18.757	0.435
137.132	43.163	18.790	0.435
139.148	10.582	10.299	0.973
144.175	2.502	1.937	0.774
145.076	24.389	24.695	1.013
145.122	24.405	24.663	1.011
145.962	3.358	3.422	1.019
145.968	3.334	3.422	1.027
146.970	3.148	3.035	0.964
146.976	3.148	3.035	0.964
148.088	0.896	1.033	1.153
148.125	0.871	1.033	1.185
149.096	16.602	14.657	0.883
151.075	7.434	7.071	0.951
152.120	1.428	1.130	0.791
153.055	10.872	11.526	1.060
153.070	10.864	11.526	1.061
153.127	10.880	11.526	1.059
153.151	10.888	11.526	1.059
153.980	1.727	1.711	0.991
