m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	99.527	99.498	1.000
18.010	6309.759	6238.440	0.989
18.034	6317.221	6248.753	0.989
19.018	541324.562	540422.562	0.998
21.022	1626.826	1627.694	1.001
26.015	4.827	4.490	0.930
27.010	32.998	29.957	0.908
27.994	23.056	22.111	0.959
28.006	23.186	22.208	0.958
28.018	23.227	22.369	0.963
28.031	23.145	22.369	0.966
29.002	4071.891	4073.455	1.000
29.013	4071.942	4073.418	1.000
29.026	4071.919	4073.208	1.000
29.039	4071.123	4072.319	1.000
29.997	2931.309	2918.720	0.996
30.021	2931.081	2918.969	0.996
30.034	2930.385	2918.298	0.996
30.046	2929.223	2916.817	0.996
31.005	112.617	103.891	0.923
31.018	112.438	103.827	0.923
31.029	112.349	103.827	0.924
31.042	111.918	103.374	0.924
31.054	111.519	102.955	0.923
31.989	49638.941	50955.719	1.027
32.049	49578.758	50896.082	1.027
32.989	11871.501	9856.900	0.830
32.989	11871.330	9856.771	0.830
32.997	11873.690	9858.993	0.830
33.033	11873.147	9859.523	0.830
33.045	11871.673	9857.750	0.830
33.987	362.995	345.983	0.953
33.997	363.153	346.342	0.954
34.005	362.935	346.150	0.954
34.995	36.600	30.931	0.845
35.005	36.657	31.318	0.854
35.976	5.617	5.619	1.000
36.984	8274.856	8129.596	0.982
37.028	8275.384	8130.387	0.982
41.002	415.493	399.532	0.962
41.026	415.511	399.534	0.962
41.039	415.415	399.438	0.962
42.034	85.951	86.573	1.007
43.018	960.531	864.970	0.901
43.054	957.236	862.167	0.901
43.989	46.262	43.451	0.939
44.001	46.173	43.355	0.939
44.062	45.644	43.032	0.943
44.997	1434.183	1088.046	0.759
45.033	1433.376	1087.533	0.759
45.992	51.284	44.035	0.859
46.021	51.260	43.938	0.857
47.013	143.338	128.305	0.895
47.037	143.175	128.144	0.895
47.049	143.110	128.079	0.895
47.060	143.053	128.014	0.895
47.984	4.655	4.327	0.930
49.011	11.341	5.618	0.495
49.992	6.485	6.747	1.040
51.000	10.219	7.877	0.771
52.012	1.229	1.194	0.972
52.018	1.204	1.162	0.965
53.026	7.526	7.426	0.987
53.939	2.197	2.002	0.911
54.046	2.270	2.099	0.924
54.947	96.499	93.936	0.973
57.033	272.477	265.116	0.973
57.070	272.436	265.084	0.973
59.049	1582.383	1457.207	0.921
59.086	1581.217	1456.212	0.921
61.028	1460.295	1262.736	0.865
61.065	1459.381	1262.097	0.865
62.995	99.513	85.314	0.857
63.026	99.472	85.379	0.858
64.003	3.198	2.260	0.707
65.020	6.266	5.586	0.891
68.049	5.412	5.069	0.937
69.033	67.174	65.300	0.972
69.070	67.248	65.364	0.972
71.049	50.961	50.838	0.998
71.086	51.010	50.871	0.997
73.065	425.144	420.090	0.988
75.044	215.511	210.436	0.976
75.068	215.324	210.274	0.977
77.060	29.153	29.022	0.996
78.046	4.183	3.455	0.826
