m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	108.323	105.445	0.973
18.010	6999.604	6939.355	0.991
18.034	7012.872	6952.607	0.991
19.018	518131.000	517531.844	0.999
21.022	1967.675	1965.860	0.999
26.015	6.937	6.201	0.894
27.010	41.787	42.673	1.021
27.994	26.635	26.083	0.979
28.006	26.706	26.115	0.978
28.018	26.796	26.245	0.979
28.031	26.966	26.665	0.989
29.002	4873.579	4874.030	1.000
29.013	4874.015	4874.595	1.000
29.026	4874.048	4874.677	1.000
29.039	4873.500	4874.062	1.000
29.997	3492.204	3479.469	0.996
30.021	3491.900	3479.019	0.996
30.034	3491.538	3478.394	0.996
30.046	3490.273	3477.321	0.996
31.005	74.719	76.351	1.022
31.018	74.719	76.415	1.023
31.029	74.674	76.060	1.019
31.042	74.460	75.964	1.020
31.054	74.201	75.899	1.023
31.989	58571.383	58570.047	1.000
32.049	58505.223	58506.070	1.000
32.989	4712.802	5686.165	1.207
32.989	4712.802	5686.165	1.207
32.997	4716.506	5690.906	1.207
33.033	4717.798	5693.667	1.207
33.045	4717.443	5693.120	1.207
33.987	311.802	323.692	1.038
33.997	311.920	323.855	1.038
34.005	312.020	323.891	1.038
34.995	19.234	22.861	1.189
35.005	19.323	23.119	1.196
35.976	6.106	6.266	1.026
36.984	16930.824	16935.676	1.000
37.028	16936.937	16942.959	1.000
41.002	485.374	501.782	1.034
41.026	485.547	501.946	1.034
41.039	485.512	501.980	1.034
42.034	107.333	106.728	0.994
43.018	737.434	772.332	1.047
43.054	736.111	771.179	1.048
43.989	43.982	46.006	1.046
44.001	43.937	45.876	1.044
44.062	43.777	45.295	1.035
44.997	788.987	762.253	0.966
45.033	788.740	761.999	0.966
45.992	54.390	50.716	0.932
46.021	54.337	50.586	0.931
47.013	254.319	238.583	0.938
47.037	254.283	238.680	0.939
47.049	254.239	238.745	0.939
47.060	254.167	238.680	0.939
47.984	7.489	6.683	0.892
49.011	10.821	10.170	0.940
49.992	7.675	7.328	0.955
51.000	7.534	8.815	1.170
52.012	1.135	1.388	1.223
52.018	1.135	1.388	1.223
53.026	8.060	8.748	1.085
53.939	3.405	3.649	1.072
54.046	3.468	3.843	1.108
54.947	114.178	116.253	1.018
57.033	339.784	357.910	1.053
57.070	339.696	357.588	1.053
59.049	1679.314	1766.852	1.052
59.086	1678.526	1766.183	1.052
61.028	679.529	731.229	1.076
61.065	679.335	731.038	1.076
62.995	60.868	64.298	1.056
63.026	60.832	64.298	1.057
64.003	2.351	2.615	1.113
65.020	5.791	5.780	0.998
68.049	5.603	5.812	1.037
