m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	120.462	119.977	0.996
18.010	7571.278	7589.041	1.002
18.034	7585.261	7604.775	1.003
19.018	515829.187	513418.281	0.995
21.022	1949.757	1943.110	0.997
26.015	6.528	6.427	0.984
27.010	43.551	48.258	1.108
27.994	29.996	30.569	1.019
28.006	30.029	30.537	1.017
28.018	30.045	30.699	1.022
28.031	30.070	30.763	1.023
29.002	4980.738	4960.493	0.996
29.013	4981.318	4960.969	0.996
29.026	4981.137	4961.110	0.996
29.039	4980.400	4960.225	0.996
29.997	3633.152	3631.721	1.000
30.021	3632.803	3631.637	1.000
30.034	3631.950	3630.846	1.000
30.046	3630.210	3629.094	1.000
31.005	194.737	207.963	1.068
31.018	194.770	208.028	1.068
31.029	194.498	207.640	1.068
31.042	194.043	207.576	1.070
31.054	193.224	206.769	1.070
31.989	61374.871	60582.668	0.987
32.049	61309.910	60521.227	0.987
32.989	27079.395	30773.432	1.136
32.989	27079.113	30773.109	1.136
32.997	27098.145	30795.730	1.136
33.033	27104.715	30803.877	1.136
33.045	27102.170	30801.365	1.136
33.987	600.474	654.131	1.089
33.997	600.324	653.718	1.089
34.005	600.439	653.887	1.089
34.995	71.150	79.391	1.116
35.005	71.059	79.229	1.115
35.976	9.093	9.979	1.097
36.984	11438.856	11718.675	1.024
37.028	11442.900	11723.917	1.025
41.002	591.131	633.814	1.072
41.026	591.226	634.109	1.073
41.039	591.236	634.175	1.073
42.034	124.221	118.938	0.957
43.018	1817.988	2065.018	1.136
43.054	1813.129	2059.998	1.136
43.989	76.201	80.257	1.053
44.001	76.176	80.225	1.053
44.062	75.216	79.127	1.052
44.997	1200.663	1321.562	1.101
45.033	1200.151	1321.057	1.101
45.992	59.785	61.858	1.035
46.021	59.678	61.503	1.031
47.013	169.515	175.122	1.033
47.037	169.557	175.348	1.034
47.049	169.499	175.252	1.034
47.060	169.399	175.123	1.034
47.984	5.294	4.779	0.903
49.011	4.393	5.716	1.301
49.992	8.469	8.264	0.976
51.000	23.462	26.728	1.139
52.012	1.679	1.711	1.019
52.018	1.720	1.776	1.032
53.026	8.966	9.266	1.033
53.939	9.138	10.715	1.173
54.046	9.337	10.942	1.172
54.947	105.311	110.667	1.051
57.033	479.305	521.154	1.087
57.070	479.215	520.897	1.087
59.049	4171.991	3512.217	0.842
59.086	4169.806	3509.623	0.842
61.028	2437.027	2777.087	1.140
61.065	2435.955	2775.781	1.140
62.995	103.054	112.217	1.089
63.026	103.013	112.185	1.089
64.003	3.640	3.649	1.002
65.020	6.180	7.620	1.233
68.049	5.079	5.133	1.011
69.033	72.601	76.964	1.060
69.070	72.568	76.867	1.059
71.049	78.610	84.319	1.073
71.086	78.692	84.416	1.073
73.065	244.197	260.584	1.067
75.044	599.286	710.266	1.185
75.068	599.130	710.073	1.185
77.060	61.684	63.759	1.034
78.046	8.662	9.203	1.062
79.054	24.226	25.924	1.070
80.049	2.928	2.938	1.003
81.070	42.691	46.355	1.086
82.078	4.831	5.748	1.190
82.989	58.066	59.891	1.031
83.010	58.149	59.988	1.032
83.049	58.157	60.020	1.032
83.086	58.083	59.924	1.032
83.911	7.089	7.039	0.993
84.081	9.100	9.234	1.015
84.919	170.157	182.477	1.072
85.065	188.666	202.293	1.072
85.101	188.352	201.970	1.072
86.036	15.656	16.302	1.041
86.060	15.648	16.237	1.038
86.096	15.623	16.269	1.041
87.044	29.693	31.315	1.055
87.080	29.660	31.347	1.057
88.112	12.043	12.687	1.053
89.023	197.908	224.054	1.132
89.042	197.925	224.054	1.132
89.060	197.917	224.086	1.132
89.096	197.925	223.893	1.131
90.055	12.266	13.461	1.097
91.039	85.981	86.321	1.004
91.050	86.130	86.580	1.005
91.058	86.196	86.677	1.006
92.062	40.257	41.349	1.027
93.033	961.985	960.394	0.998
93.070	961.880	960.331	0.998
94.041	77.049	76.307	0.990
95.049	29.900	31.380	1.049
95.086	29.875	31.412	1.051
96.057	3.938	3.972	1.009
97.040	21.646	23.761	1.098
97.065	21.613	23.697	1.096
97.101	21.596	23.697	1.097
97.967	4.153	4.004	0.964
98.975	16.178	16.853	1.042
99.080	16.178	16.918	1.046
99.092	16.178	16.918	1.046
99.104	16.203	16.950	1.046
99.117	16.153	16.885	1.045
101.060	26.500	27.216	1.027
101.096	26.450	27.087	1.024
102.025	4.111	4.003	0.974
102.068	4.086	4.035	0.988
102.104	4.144	4.068	0.982
102.128	4.152	4.068	0.980
103.032	23.141	26.278	1.136
103.042	23.158	26.310	1.136
103.075	23.166	26.310	1.136
103.112	23.141	26.310	1.137
103.123	23.100	26.246	1.136
104.047	2.912	3.196	1.098
104.049	2.912	3.196	1.098
104.062	2.912	3.196	1.098
105.037	33.732	34.797	1.032
105.057	33.724	34.797	1.032
105.070	33.691	34.797	1.033
106.078	4.492	4.746	1.057
107.049	31.171	31.798	1.020
107.086	31.171	31.733	1.018
108.057	5.129	5.328	1.039
108.081	5.121	5.360	1.047
108.093	5.113	5.360	1.048
109.065	22.340	23.115	1.035
109.076	22.332	23.051	1.032
109.089	22.315	22.986	1.030
109.101	22.307	22.922	1.028
110.060	3.119	3.746	1.201
110.073	3.119	3.746	1.201
110.084	3.127	3.778	1.208
110.109	3.135	3.843	1.226
111.080	9.678	10.299	1.064
111.092	9.653	10.235	1.060
111.104	9.662	10.267	1.063
111.117	9.662	10.235	1.059
112.007	2.167	2.002	0.924
112.052	2.200	2.098	0.954
112.088	2.159	2.098	0.972
112.112	2.184	2.195	1.005
113.015	10.282	10.397	1.011
113.060	10.291	10.333	1.004
113.096	10.258	10.397	1.014
113.107	10.266	10.397	1.013
114.091	10.175	10.850	1.066
114.128	10.175	10.818	1.063
115.075	7.958	8.331	1.047
115.112	7.966	8.331	1.046
115.123	7.975	8.331	1.045
116.143	2.151	2.163	1.006
117.070	29.618	31.283	1.056
117.078	29.593	31.250	1.056
117.091	29.585	31.250	1.056
117.102	29.552	31.218	1.056
117.127	29.362	30.960	1.054
118.065	2.870	2.615	0.911
118.078	2.887	2.647	0.917
118.081	2.879	2.647	0.920
118.086	2.879	2.647	0.920
119.060	10.952	10.557	0.964
119.086	10.911	10.590	0.971
120.081	1.282	1.356	1.058
121.052	17.211	18.305	1.064
121.065	17.227	18.338	1.064
121.089	17.219	18.305	1.063
121.101	17.211	18.273	1.062
122.060	2.622	2.357	0.899
122.084	2.639	2.389	0.905
122.096	2.655	2.422	0.912
123.092	8.777	8.751	0.997
124.039	1.753	1.614	0.920
124.057	1.762	1.614	0.916
125.042	7.709	7.135	0.925
125.060	7.693	7.135	0.927
125.071	7.685	7.167	0.933
125.084	7.701	7.167	0.931
125.096	7.701	7.199	0.935
125.107	7.718	7.232	0.937
125.120	7.726	7.232	0.936
127.112	12.357	13.882	1.123
127.136	12.341	13.882	1.125
127.903	2.465	2.357	0.956
128.120	2.415	2.389	0.989
128.143	2.424	2.389	0.986
128.911	8.454	10.235	1.211
129.045	8.620	10.364	1.202
129.070	8.669	10.461	1.207
129.091	8.653	10.429	1.205
129.127	8.545	10.300	1.205
129.139	8.529	10.268	1.204
129.151	8.496	10.235	1.205
131.060	9.762	9.977	1.022
131.107	9.737	9.945	1.021
131.143	9.704	9.848	1.015
131.154	9.704	9.816	1.012
132.066	1.365	1.291	0.946
132.102	1.389	1.259	0.906
133.065	5.039	5.426	1.077
133.101	4.907	5.103	1.040
135.080	6.594	7.266	1.102
135.117	6.569	7.233	1.101
137.047	22.654	25.279	1.116
137.060	22.654	25.311	1.117
137.060	22.654	25.311	1.117
137.071	22.662	25.343	1.118
137.132	22.621	25.343	1.120
139.148	5.344	5.521	1.033
144.175	1.613	1.840	1.141
145.076	19.907	21.144	1.062
145.122	19.915	21.144	1.062
145.962	2.820	3.229	1.145
145.968	2.820	3.229	1.145
146.970	3.094	3.358	1.085
146.976	3.086	3.358	1.088
148.088	0.686	0.742	1.082
148.125	0.686	0.742	1.082
149.096	5.741	6.006	1.046
151.075	3.623	3.971	1.096
152.120	0.893	0.904	1.012
153.055	6.469	7.103	1.098
153.070	6.469	7.103	1.098
153.127	6.477	7.071	1.092
153.151	6.469	7.039	1.088
153.980	1.497	1.259	0.841
155.086	7.279	7.555	1.038
155.107	7.296	7.555	1.036
155.142	7.279	7.523	1.034
157.159	5.269	5.101	0.968
159.174	31.878	35.514	1.114
161.132	2.101	2.615	1.245
162.128	0.827	0.678	0.820
163.063	4.153	4.456	1.073
163.075	4.161	4.488	1.079
163.099	4.161	4.488	1.079
163.123	4.153	4.520	1.089
163.136	4.153	4.520	1.089
163.148	4.144	4.488	1.083
165.091	1.985	2.583	1.301
165.985	0.818	0.871	1.065
166.062	0.802	0.871	1.086
166.078	0.802	0.871	1.086
166.135	0.810	0.871	1.075
167.070	2.076	2.260	1.089
167.086	2.076	2.260	1.089
174.140	6.063	6.489	1.070
175.148	1.207	1.227	1.016
178.062	2.101	2.034	0.968
178.123	2.101	2.001	0.953
179.086	1.671	1.743	1.043
179.107	1.679	1.743	1.038
179.128	1.671	1.776	1.063
179.929	0.521	0.549	1.053
180.081	0.496	0.452	0.911
180.093	0.521	0.452	0.867
180.151	0.521	0.516	0.991
180.937	55.022	60.817	1.105
181.076	54.956	60.785	1.106
181.101	54.923	60.721	1.106
181.159	54.907	60.688	1.105
181.170	54.890	60.688	1.106
182.109	2.928	3.552	1.213
183.047	4.393	4.876	1.110
183.080	4.393	4.844	1.103
186.140	0.554	0.290	0.524
187.148	1.555	1.097	0.706
188.937	0.984	1.097	1.115
189.164	0.943	0.904	0.959
191.143	2.788	3.035	1.089
192.093	2.068	2.196	1.062
193.101	5.105	5.426	1.063
193.122	5.113	5.490	1.074
194.154	2.192	2.389	1.090
195.065	2.184	2.422	1.109
195.138	2.101	2.228	1.060
197.132	1.662	1.840	1.107
199.148	2.589	2.292	0.885
201.139	13.796	13.397	0.971
201.233	13.804	13.462	0.975
203.086	0.918	0.871	0.949
203.154	0.926	0.904	0.976
204.187	0.480	0.420	0.875
205.157	1.249	1.033	0.827
205.195	1.249	1.097	0.879
211.148	13.864	15.337	1.106
228.093	12.325	13.270	1.077
228.269	12.292	13.367	1.087
237.164	0.910	1.033	1.135
239.007	1.149	0.968	0.842
239.179	1.133	0.968	0.855
150.000	699.122	739.050	1.057
