m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	106.975	105.347	0.985
18.010	7116.868	6988.812	0.982
18.034	7130.571	7004.566	0.982
19.018	518820.062	519566.656	1.001
21.022	1946.454	1938.270	0.996
26.015	6.869	7.201	1.048
27.010	51.395	52.777	1.027
27.994	27.728	28.053	1.012
28.006	27.835	28.279	1.016
28.018	27.828	28.150	1.012
28.031	27.774	28.279	1.018
29.002	4783.062	4789.560	1.001
29.013	4783.487	4789.762	1.001
29.026	4783.587	4789.667	1.001
29.039	4782.953	4788.879	1.001
29.997	3429.368	3420.987	0.998
30.021	3428.942	3420.574	0.998
30.034	3428.532	3420.186	0.998
30.046	3426.572	3418.226	0.998
31.005	80.070	82.547	1.031
31.018	80.185	82.547	1.029
31.029	80.000	82.386	1.030
31.042	79.654	82.095	1.031
31.054	79.361	81.869	1.032
31.989	57456.809	57379.344	0.999
32.049	57390.219	57315.301	0.999
32.989	7246.196	8812.396	1.216
32.989	7246.196	8812.396	1.216
32.997	7251.239	8818.222	1.216
33.033	7254.028	8820.131	1.216
33.045	7253.156	8819.424	1.216
33.987	337.170	353.633	1.049
33.997	337.288	353.442	1.048
34.005	337.376	353.736	1.048
34.995	23.945	28.090	1.173
35.005	24.007	27.961	1.165
35.976	6.431	6.524	1.014
36.984	16545.750	16693.877	1.009
37.028	16552.498	16700.918	1.009
41.002	647.173	691.035	1.068
41.026	647.478	691.332	1.068
41.039	647.395	691.368	1.068
42.034	105.920	101.335	0.957
43.018	1338.485	1486.959	1.111
43.054	1336.122	1484.151	1.111
43.989	61.054	63.404	1.038
44.001	61.039	63.534	1.041
44.062	60.508	62.662	1.036
44.997	1597.233	1801.830	1.128
45.033	1596.948	1801.561	1.128
45.992	73.619	76.287	1.036
46.021	73.673	76.352	1.036
47.013	200.284	185.311	0.925
47.037	200.176	185.182	0.925
47.049	200.099	184.956	0.924
47.060	200.022	184.795	0.924
47.984	6.260	5.684	0.908
49.011	13.501	13.750	1.018
49.992	8.330	8.393	1.008
51.000	10.624	11.976	1.127
52.012	2.087	2.131	1.021
52.018	2.071	2.131	1.029
53.026	8.807	8.878	1.008
53.939	3.349	3.648	1.089
54.046	3.319	3.519	1.061
54.947	136.704	142.482	1.042
57.033	528.156	572.594	1.084
57.070	528.150	572.498	1.084
59.049	1780.735	1945.061	1.092
59.086	1779.881	1944.231	1.092
61.028	1458.397	1639.450	1.124
61.065	1457.934	1639.102	1.124
62.995	111.950	114.996	1.027
63.026	111.958	115.061	1.028
64.003	3.573	3.197	0.895
65.020	7.738	8.040	1.039
