m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	105.070	106.086	1.010
18.010	6347.347	6334.410	0.998
18.034	6354.051	6341.719	0.998
19.018	543473.562	544867.062	1.003
21.022	1627.114	1633.242	1.004
26.015	5.244	4.813	0.918
27.010	33.305	35.863	1.077
27.994	23.615	24.727	1.047
28.006	23.608	24.727	1.047
28.018	23.593	24.695	1.047
28.031	23.563	24.695	1.048
29.002	4105.957	4110.292	1.001
29.013	4106.257	4110.513	1.001
29.026	4106.186	4110.381	1.001
29.039	4105.590	4109.892	1.001
29.997	2921.335	2904.740	0.994
30.021	2921.213	2904.632	0.994
30.034	2920.399	2903.771	0.994
30.046	2919.126	2902.593	0.994
31.005	130.637	135.059	1.034
31.018	130.562	134.930	1.033
31.029	130.429	134.962	1.035
31.042	129.969	134.639	1.036
31.054	129.554	134.284	1.037
31.989	46578.066	45694.742	0.981
32.049	46521.512	45640.484	0.981
32.989	14332.995	14604.715	1.019
32.989	14332.772	14604.489	1.019
32.997	14335.369	14606.800	1.019
33.033	14334.748	14605.926	1.019
33.045	14332.609	14603.598	1.019
33.987	381.172	381.207	1.000
33.997	381.205	381.179	1.000
34.005	381.067	380.858	0.999
34.995	42.265	44.102	1.043
35.005	42.309	44.005	1.040
35.976	5.614	5.814	1.035
36.984	8380.264	8450.538	1.008
37.028	8380.421	8450.113	1.008
41.002	398.627	414.157	1.039
41.026	398.711	414.386	1.039
41.039	398.593	414.290	1.039
42.034	85.828	85.317	0.994
43.018	1421.297	1527.470	1.075
43.054	1416.127	1521.839	1.075
43.989	59.657	58.559	0.982
44.001	59.598	58.559	0.983
44.062	58.931	57.881	0.982
44.997	2333.222	2519.026	1.080
45.033	2332.215	2517.886	1.080
45.992	62.783	65.211	1.039
46.021	62.538	64.856	1.037
47.013	153.550	162.067	1.055
47.037	153.483	162.067	1.056
47.049	153.461	161.971	1.055
47.060	153.387	161.938	1.056
47.984	4.849	5.102	1.052
49.011	8.221	9.008	1.096
49.992	6.457	6.295	0.975
51.000	11.579	12.106	1.046
52.012	1.327	1.065	0.803
52.018	1.334	1.098	0.823
53.026	8.919	9.783	1.097
53.939	3.381	3.293	0.974
54.046	3.433	3.261	0.950
54.947	103.286	107.373	1.040
57.033	274.665	292.119	1.064
57.070	274.540	291.958	1.063
59.049	1995.343	2127.726	1.066
59.086	1993.898	2125.925	1.066
61.028	2311.568	2488.663	1.077
61.065	2310.051	2487.222	1.077
62.995	112.957	119.096	1.054
63.026	112.868	119.129	1.055
64.003	3.515	4.004	1.139
65.020	5.872	6.522	1.111
68.049	5.360	5.618	1.048
69.033	70.996	72.664	1.023
69.070	70.959	72.728	1.025
71.049	48.610	51.323	1.056
71.086	48.529	51.258	1.056
73.065	354.154	367.606	1.038
75.044	465.437	534.631	1.149
75.068	465.200	534.373	1.149
77.060	28.312	30.185	1.066
78.046	4.553	5.296	1.163
79.054	34.194	36.672	1.072
80.049	4.307	4.035	0.937
81.070	154.017	192.649	1.251
82.078	11.616	13.817	1.190
82.989	50.621	52.005	1.027
83.010	50.651	52.005	1.027
83.049	50.628	51.973	1.027
83.086	50.488	51.909	1.028
83.911	5.813	5.876	1.011
84.081	6.243	6.490	1.039
84.919	150.983	154.986	1.027
85.065	153.379	157.344	1.026
85.101	152.949	156.796	1.025
86.036	11.527	11.330	0.983
86.060	11.535	11.330	0.982
86.096	11.535	11.298	0.979
87.044	26.486	27.893	1.053
87.080	26.479	27.860	1.052
88.112	4.849	5.036	1.039
89.023	404.010	421.960	1.044
89.042	404.040	422.025	1.045
89.060	403.981	422.025	1.045
89.096	403.840	421.833	1.045
90.055	20.079	21.562	1.074
91.039	68.775	68.179	0.991
91.050	68.760	68.146	0.991
91.058	68.678	67.985	0.990
92.062	17.990	19.595	1.089
