m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
163.123	3.800	3.390	0.892
163.136	3.809	3.390	0.890
163.148	3.809	3.390	0.890
165.091	1.842	1.517	0.824
165.985	0.637	0.581	0.911
166.062	0.682	0.613	0.899
166.078	0.682	0.613	0.899
166.135	0.690	0.613	0.888
167.070	2.329	2.228	0.956
167.086	2.338	2.228	0.953
174.140	5.917	6.361	1.075
175.148	0.921	0.807	0.876
178.062	0.487	0.387	0.795
178.123	0.478	0.355	0.742
179.086	1.045	1.097	1.050
179.107	1.036	1.065	1.028
179.128	1.036	1.065	1.028
179.929	0.443	0.452	1.021
180.081	0.460	0.452	0.982
180.093	0.460	0.452	0.982
180.151	0.478	0.452	0.945
180.937	1.895	1.840	0.971
181.076	1.895	1.840	0.971
181.101	1.886	1.840	0.975
181.159	1.886	1.808	0.958
181.170	1.886	1.808	0.958
182.109	0.593	0.839	1.415
183.047	3.933	3.487	0.887
183.080	3.915	3.487	0.891
186.140	0.469	0.290	0.619
187.148	1.124	1.162	1.033
188.937	0.664	0.645	0.972
189.164	0.629	0.678	1.078
191.143	0.832	0.613	0.737
192.093	0.664	0.742	1.118
193.101	0.815	0.807	0.991
193.122	0.823	0.775	0.941
194.154	0.425	0.549	1.291
195.065	1.124	1.194	1.062
195.138	1.151	1.226	1.065
197.132	0.992	0.710	0.716
199.148	2.232	2.098	0.940
201.139	15.286	14.657	0.959
201.233	15.268	14.593	0.956
203.086	0.761	0.710	0.932
203.154	0.770	0.742	0.964
204.187	0.336	0.484	1.439
205.157	1.231	1.259	1.023
205.195	1.213	1.194	0.985
211.148	0.885	0.807	0.911
228.093	0.496	0.613	1.237
228.269	0.522	0.613	1.174
237.164	0.505	0.355	0.703
239.007	0.629	0.807	1.284
239.179	0.655	0.807	1.231
150.000	495.911	494.095	0.996
