m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	101.663	102.958	1.013
18.010	7238.991	7234.646	0.999
18.034	7253.490	7250.170	1.000
19.018	517280.937	516280.062	0.998
21.022	1983.397	1973.728	0.995
26.015	6.322	6.428	1.017
27.010	27.923	27.537	0.986
27.994	26.390	28.213	1.069
28.006	26.457	28.245	1.068
28.018	26.448	28.277	1.069
28.031	26.465	28.342	1.071
29.002	4649.078	4634.314	0.997
29.013	4649.389	4634.651	0.997
29.026	4649.247	4634.593	0.997
29.039	4648.544	4633.981	0.997
29.997	3519.784	3528.002	1.002
30.021	3519.607	3528.081	1.002
30.034	3518.965	3527.521	1.002
30.046	3517.079	3525.409	1.002
31.005	131.497	133.031	1.012
31.018	131.704	133.289	1.012
31.029	131.431	132.934	1.011
31.042	130.919	132.256	1.010
31.054	129.885	131.481	1.012
31.989	58662.477	58787.551	1.002
32.049	58599.328	58725.078	1.002
32.989	16048.334	15977.128	0.996
32.989	16047.986	15976.709	0.996
32.997	16063.211	15993.434	0.996
33.033	16069.397	15999.420	0.996
33.045	16067.675	15997.307	0.996
33.987	457.311	461.060	1.008
33.997	457.374	461.292	1.009
34.005	457.312	461.361	1.009
34.995	45.582	46.264	1.015
35.005	45.384	46.006	1.014
35.976	8.184	8.268	1.010
36.984	19934.520	19711.984	0.989
37.028	19944.520	19722.279	0.989
41.002	346.033	340.394	0.984
41.026	346.194	340.495	0.984
41.039	346.245	340.625	0.984
42.034	153.708	158.831	1.033
43.018	856.369	839.104	0.980
43.054	852.714	835.537	0.980
43.989	53.053	52.594	0.991
44.001	53.095	52.594	0.991
44.062	51.829	51.109	0.986
44.997	336.117	327.328	0.974
45.033	336.028	327.169	0.974
45.992	38.761	38.099	0.983
46.021	38.745	38.067	0.983
47.013	146.341	144.551	0.988
47.037	146.308	144.584	0.988
47.049	146.300	144.648	0.989
47.060	146.242	144.616	0.989
47.984	4.525	4.521	0.999
49.011	3.028	2.810	0.928
49.992	8.916	9.911	1.112
51.000	24.569	23.789	0.968
52.012	1.630	1.582	0.971
52.018	1.630	1.614	0.991
53.026	6.129	5.974	0.975
53.939	2.349	2.583	1.100
54.046	2.399	2.648	1.104
54.947	85.420	84.572	0.990
57.033	275.134	265.081	0.963
57.070	275.035	264.952	0.963
59.049	7338.437	7461.548	1.017
59.086	7334.285	7457.861	1.017
61.028	855.688	833.653	0.974
61.065	855.112	833.497	0.975
62.995	92.230	88.188	0.956
63.026	92.214	88.188	0.956
64.003	3.044	2.777	0.912
65.020	4.649	4.553	0.979
68.049	7.354	6.361	0.865
69.033	63.209	62.754	0.993
69.070	63.160	62.722	0.993
71.049	48.363	46.610	0.964
71.086	48.338	46.610	0.964
73.065	183.915	172.762	0.939
75.044	102.962	92.585	0.899
75.068	102.838	92.520	0.900
77.060	45.226	44.582	0.986
78.046	7.372	7.944	1.078
79.054	27.830	27.828	1.000
80.049	3.780	3.939	1.042
81.070	63.783	63.556	0.996
82.078	6.535	6.006	0.919
82.989	47.429	47.999	1.012
83.010	47.528	48.063	1.011
83.049	47.495	48.031	1.011
83.086	47.470	47.902	1.009
83.911	7.370	7.523	1.021
84.081	9.125	9.525	1.044
84.919	322.192	321.039	0.996
85.065	352.611	350.753	0.995
85.101	352.579	350.753	0.995
86.036	27.516	28.471	1.035
86.060	27.507	28.439	1.034
86.096	27.483	28.374	1.032
87.044	19.874	18.207	0.916
87.080	19.833	18.336	0.925
88.112	4.790	4.424	0.924
89.023	112.120	106.726	0.952
89.042	112.137	106.662	0.951
89.060	112.120	106.694	0.952
89.096	112.087	106.662	0.952
90.055	7.172	6.522	0.909
91.039	74.980	75.315	1.004
91.050	75.187	75.574	1.005
91.058	75.286	75.767	1.006
92.062	41.638	41.510	0.997
93.033	907.816	934.996	1.030
93.070	907.901	935.031	1.030
94.041	72.277	76.210	1.054
95.049	37.748	36.708	0.972
95.086	37.732	36.708	0.973
96.057	4.476	5.167	1.154
97.040	21.166	20.114	0.950
97.065	21.133	20.050	0.949
97.101	21.125	20.082	0.951
97.967	4.177	4.520	1.082
98.975	36.803	36.350	0.988
99.080	36.911	36.479	0.988
99.092	36.911	36.512	0.989
99.104	36.911	36.512	0.989
99.117	36.895	36.512	0.990
101.060	23.903	23.276	0.974
101.096	23.862	23.179	0.971
102.025	3.714	3.874	1.043
102.068	3.723	3.810	1.023
102.104	3.731	3.810	1.021
102.128	3.764	3.875	1.029
103.032	21.785	19.660	0.902
103.042	21.768	19.692	0.905
103.075	21.719	19.531	0.899
103.112	21.743	19.531	0.898
103.123	21.719	19.370	0.892
104.047	2.986	3.132	1.049
104.049	2.986	3.132	1.049
104.062	3.003	3.164	1.054
105.037	197.809	197.659	0.999
105.057	197.842	197.659	0.999
105.070	197.842	197.627	0.999
106.078	19.954	18.979	0.951
107.049	59.570	58.202	0.977
107.086	59.536	58.202	0.978
