m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	106.559	104.602	0.982
18.010	6348.088	6239.353	0.983
18.034	6356.171	6247.652	0.983
19.018	541308.250	541334.125	1.000
21.022	1617.386	1616.736	1.000
26.015	5.120	4.942	0.965
27.010	26.336	28.019	1.064
27.994	22.225	22.079	0.993
28.006	22.266	22.015	0.989
28.018	22.257	21.982	0.988
28.031	22.282	22.112	0.992
29.002	4046.828	4046.927	1.000
29.013	4046.950	4047.085	1.000
29.026	4046.750	4046.944	1.000
29.039	4046.046	4046.256	1.000
29.997	2911.608	2929.322	1.006
30.021	2911.398	2929.093	1.006
30.034	2910.739	2928.456	1.006
30.046	2909.466	2927.374	1.006
31.005	82.950	97.207	1.172
31.018	82.934	97.240	1.173
31.029	82.852	97.337	1.175
31.042	82.535	97.175	1.177
31.054	82.283	96.949	1.178
31.989	51901.133	51760.070	0.997
32.049	51844.379	51703.691	0.997
32.989	6515.904	8246.692	1.266
32.989	6515.773	8246.530	1.266
32.997	6517.188	8248.420	1.266
33.033	6516.732	8248.613	1.266
33.045	6515.388	8246.759	1.266
33.987	305.227	329.465	1.079
33.997	305.140	329.564	1.080
34.005	304.774	329.243	1.080
34.995	23.022	26.250	1.140
35.005	23.087	26.282	1.138
35.976	4.909	5.361	1.092
36.984	7428.176	7407.174	0.997
37.028	7428.481	7407.777	0.997
41.002	339.016	348.876	1.029
41.026	339.067	348.975	1.029
41.039	338.921	348.717	1.029
42.034	90.948	87.897	0.966
43.018	858.187	883.158	1.029
43.054	855.583	880.067	1.029
43.989	40.746	43.354	1.064
44.001	40.722	43.289	1.063
44.062	40.234	42.837	1.065
44.997	998.932	1118.546	1.120
45.033	998.522	1118.228	1.120
45.992	47.835	48.102	1.006
46.021	47.705	47.941	1.005
47.013	107.836	108.410	1.005
47.037	107.738	108.216	1.004
47.049	107.689	108.119	1.004
47.060	107.673	108.119	1.004
47.984	3.361	3.551	1.057
49.011	3.874	4.133	1.067
49.992	6.070	6.489	1.069
51.000	5.794	6.198	1.070
52.012	0.976	1.097	1.124
52.018	0.960	1.097	1.143
53.026	6.941	7.166	1.032
53.939	2.156	2.454	1.138
54.046	2.148	2.292	1.067
54.947	85.805	88.091	1.027
57.033	181.849	193.039	1.062
57.070	181.678	192.974	1.062
59.049	1143.085	1392.505	1.218
59.086	1142.176	1391.442	1.218
61.028	1344.019	1381.475	1.028
61.065	1343.241	1380.348	1.028
62.995	56.309	55.323	0.982
63.026	56.244	55.194	0.981
64.003	2.360	1.937	0.821
65.020	4.598	4.585	0.997
68.049	5.078	4.875	0.960
69.033	64.432	64.945	1.008
69.070	64.334	64.783	1.007
71.049	39.842	41.193	1.034
71.086	39.851	41.161	1.033
73.065	245.122	268.644	1.096
75.044	153.803	151.364	0.984
75.068	153.730	151.332	0.984
