m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	104.346	99.045	0.949
18.010	6312.389	6211.781	0.984
18.034	6317.248	6217.073	0.984
19.018	543296.187	543667.062	1.001
21.022	1611.010	1617.503	1.004
26.015	4.890	5.846	1.195
27.010	28.983	28.601	0.987
27.994	22.253	21.432	0.963
28.006	22.214	21.496	0.968
28.018	22.268	21.561	0.968
28.031	22.214	21.367	0.962
29.002	4059.750	4063.183	1.001
29.013	4060.042	4063.476	1.001
29.026	4059.848	4063.174	1.001
29.039	4058.925	4061.896	1.001
29.997	2915.768	2925.512	1.003
30.021	2915.728	2925.643	1.003
30.034	2915.216	2925.431	1.004
30.046	2914.072	2924.448	1.004
31.005	113.583	108.056	0.951
31.018	113.468	107.895	0.951
31.029	113.352	107.895	0.952
31.042	112.944	107.734	0.954
31.054	112.436	107.443	0.956
31.989	51518.234	51805.445	1.006
32.049	51456.172	51744.602	1.006
32.989	12338.159	11544.494	0.936
32.989	12337.937	11544.300	0.936
32.997	12339.757	11545.812	0.936
33.033	12338.674	11544.370	0.936
33.045	12336.771	11542.642	0.936
33.987	379.031	371.842	0.981
33.997	379.212	371.877	0.981
34.005	378.999	371.589	0.980
34.995	37.762	35.709	0.946
35.005	37.778	35.580	0.942
35.976	5.576	5.813	1.043
36.984	8017.821	8055.315	1.005
37.028	8018.038	8055.324	1.005
41.002	371.267	364.947	0.983
41.026	371.084	364.852	0.983
41.039	370.931	364.594	0.983
42.034	94.390	92.161	0.976
43.018	1320.215	1191.227	0.902
43.054	1314.925	1186.947	0.903
43.989	53.668	50.005	0.932
44.001	53.645	49.940	0.931
44.062	52.952	49.003	0.925
44.997	883.361	765.141	0.866
45.033	882.772	764.952	0.867
45.992	40.840	37.514	0.919
46.021	40.671	37.288	0.917
47.013	129.236	124.718	0.965
47.037	129.228	124.686	0.965
47.049	129.159	124.686	0.965
47.060	129.059	124.718	0.966
47.984	3.842	3.714	0.966
49.011	3.250	3.035	0.934
49.992	6.451	7.359	1.141
51.000	9.885	9.330	0.944
52.012	1.185	1.453	1.225
52.018	1.178	1.388	1.179
53.026	8.407	9.038	1.075
53.939	2.926	2.874	0.982
54.046	2.949	3.035	1.029
54.947	106.879	104.301	0.976
57.033	249.753	247.256	0.990
57.070	249.615	247.256	0.991
59.049	1607.080	1489.556	0.927
59.086	1605.769	1488.463	0.927
61.028	2077.747	1877.050	0.903
61.065	2076.571	1876.217	0.904
62.995	91.747	90.353	0.985
63.026	91.724	90.320	0.985
64.003	2.810	2.454	0.873
65.020	4.805	4.811	1.001
68.049	5.582	5.651	1.012
69.033	71.763	72.015	1.004
69.070	71.686	71.950	1.004
71.049	49.372	48.323	0.979
71.086	49.442	48.485	0.981
73.065	285.963	288.556	1.009
75.044	376.195	281.894	0.749
75.068	375.957	281.538	0.749
77.060	28.547	26.410	0.925
78.046	4.336	5.070	1.170
79.054	33.699	33.086	0.982
80.049	3.888	3.390	0.872
81.070	101.003	56.679	0.561
82.078	8.222	5.069	0.617
82.989	52.630	51.841	0.985
83.010	52.607	51.873	0.986
83.049	52.622	51.938	0.987
83.086	52.337	51.615	0.986
83.911	6.883	6.457	0.938
84.081	7.099	6.748	0.951
84.919	160.234	165.553	1.033
85.065	162.175	167.814	1.035
85.101	161.559	167.233	1.035
86.036	12.340	12.300	0.997
86.060	12.279	12.203	0.994
86.096	12.148	12.139	0.999
87.044	23.571	23.244	0.986
87.080	23.487	23.211	0.988
88.112	4.473	4.779	1.068
89.023	431.931	423.583	0.981
89.042	431.947	423.454	0.980
89.060	431.886	423.519	0.981
89.096	431.679	423.326	0.981
90.055	21.560	21.371	0.991
91.039	65.505	64.912	0.991
91.050	65.528	64.912	0.991
91.058	65.505	64.879	0.990
92.062	18.496	18.107	0.979
93.033	346.418	338.634	0.978
93.070	346.287	338.440	0.977
94.041	28.241	27.273	0.966
95.049	31.721	23.760	0.749
95.086	31.752	23.760	0.748
96.057	4.196	3.972	0.947
97.040	27.390	27.795	1.015
97.065	27.398	27.827	1.016
97.101	27.375	27.827	1.017
97.967	5.336	5.295	0.992
98.975	19.752	19.917	1.008
99.080	19.791	20.014	1.011
99.092	19.799	20.046	1.012
99.104	19.783	20.014	1.012
99.117	19.776	20.046	1.014
101.060	16.042	16.625	1.036
101.096	15.981	16.529	1.034
102.025	3.611	3.778	1.046
102.068	3.588	3.745	1.044
102.104	3.565	3.713	1.042
102.128	3.557	3.681	1.035
103.032	18.213	16.173	0.888
103.042	18.205	16.173	0.888
103.075	18.175	16.173	0.890
103.112	18.098	16.108	0.890
103.123	17.990	15.979	0.888
104.047	2.248	1.937	0.862
104.049	2.248	1.937	0.862
104.062	2.240	1.937	0.865
105.037	32.190	31.409	0.976
105.057	32.167	31.409	0.976
105.070	32.182	31.376	0.975
106.078	7.083	7.135	1.007
107.049	169.403	171.723	1.014
107.086	169.311	171.594	1.013
108.057	18.205	18.174	0.998
108.081	18.174	18.142	0.998
108.093	18.174	18.078	0.995
109.065	47.992	47.514	0.990
109.076	48.008	47.546	0.990
109.089	47.985	47.546	0.991
109.101	47.977	47.482	0.990
110.060	5.012	4.649	0.928
110.073	4.997	4.617	0.924
110.084	4.989	4.617	0.925
110.109	4.989	4.617	0.925
111.080	10.893	10.912	1.002
111.092	10.893	10.944	1.005
111.104	10.893	10.944	1.005
111.117	10.901	10.976	1.007
112.007	3.465	3.390	0.979
112.052	3.472	3.423	0.986
112.088	3.472	3.358	0.967
112.112	3.480	3.358	0.965
113.015	8.785	9.557	1.088
113.060	8.785	9.557	1.088
113.096	8.801	9.525	1.082
113.107	8.785	9.493	1.081
114.091	5.967	5.586	0.936
114.128	5.998	5.683	0.948
115.075	8.723	8.363	0.959
115.112	8.685	8.330	0.959
115.123	8.693	8.330	0.958
116.143	1.724	1.227	0.711
117.070	24.841	25.082	1.010
117.078	24.849	25.082	1.009
117.091	24.764	25.017	1.010
117.102	24.564	24.823	1.011
117.127	24.172	24.533	1.015
118.065	2.079	1.776	0.854
118.078	2.071	1.743	0.842
118.081	2.063	1.743	0.845
118.086	2.063	1.743	0.845
119.060	9.609	9.590	0.998
119.086	9.486	9.493	1.001
120.081	1.193	1.227	1.028
121.052	15.889	14.882	0.937
121.065	15.904	14.915	0.938
121.089	15.851	14.818	0.935
121.101	15.812	14.753	0.933
122.060	2.156	1.969	0.914
122.084	2.163	2.002	0.925
122.096	2.179	2.034	0.934
123.092	11.886	11.882	1.000
124.039	2.002	2.131	1.065
124.057	2.025	2.163	1.068
125.042	8.792	7.975	0.907
125.060	8.785	7.975	0.908
125.071	8.823	8.039	0.911
125.084	8.815	8.039	0.912
125.096	8.838	8.039	0.910
125.107	8.831	8.039	0.910
125.120	8.838	8.039	0.910
127.112	15.072	15.334	1.017
127.136	15.041	15.334	1.019
127.903	2.348	2.357	1.004
128.120	2.371	2.486	1.048
128.143	2.364	2.454	1.038
128.911	8.530	9.137	1.071
129.045	8.631	9.267	1.074
129.070	8.623	9.299	1.078
129.091	8.607	9.267	1.077
129.127	8.569	9.267	1.081
129.139	8.569	9.267	1.081
129.151	8.538	9.234	1.082
131.060	5.705	5.392	0.945
