"m.z"	"variable"	"d0_value"	"d6_value"	"d12_value"	"ES"	"replication"	"d0_log10value"	"d6_log10value"	"d12_log10value"
125.071	"ES0.5_1"	11.494	6.942	8.298	"ES0.5"	"1"	1.09670150161	0.899929882727864	0.968389541847068
125.084	"ES0.5_1"	11.494	6.942	8.298	"ES0.5"	"1"	1.09670150161	0.899929882727864	0.968389541847068
125.096	"ES0.5_1"	11.526	6.942	8.298	"ES0.5"	"1"	1.09781240736529	0.899929882727864	0.968389541847068
125.107	"ES0.5_1"	11.526	6.91	8.265	"ES0.5"	"1"	1.09781240736529	0.898176483497677	0.966845423654916
125.12	"ES0.5_1"	11.591	6.91	8.362	"ES0.5"	"1"	1.10006022393115	0.898176483497677	0.971368636791423
127.112	"ES0.5_1"	15.338	12.526	14.431	"ES0.5"	"1"	1.21319889172361	1.13116938308932	1.18839407126143
127.136	"ES0.5_1"	15.079	12.526	14.334	"ES0.5"	"1"	1.20625903520928	1.13116938308932	1.18565545892022
127.903	"ES0.5_1"	3.099	2.195	2.163	"ES0.5"	"1"	0.612677918316502	0.504470862494419	0.500099191915723
128.12	"ES0.5_1"	3.067	2.357	2.228	"ES0.5"	"1"	0.609274172404588	0.525951341248012	0.508933526050033
128.143	"ES0.5_1"	3.067	2.357	2.228	"ES0.5"	"1"	0.609274172404588	0.525951341248012	0.508933526050033
128.911	"ES0.5_1"	10.85	7.652	8.234	"ES0.5"	"1"	1.07371835034612	0.937116510767054	0.965389870215122
129.045	"ES0.5_1"	11.011	7.91	8.266	"ES0.5"	"1"	1.07957916697013	0.949877704036875	0.966892295867136
129.07	"ES0.5_1"	11.011	7.91	8.266	"ES0.5"	"1"	1.07957916697013	0.949877704036875	0.966892295867136
129.091	"ES0.5_1"	11.011	7.813	8.331	"ES0.5"	"1"	1.07957916697013	0.945123770122119	0.969928189428116
129.127	"ES0.5_1"	10.785	7.781	8.298	"ES0.5"	"1"	1.07132958686034	0.943543977153454	0.968389541847068
129.139	"ES0.5_1"	10.592	7.781	8.298	"ES0.5"	"1"	1.06415837246312	0.943543977153454	0.968389541847068
129.151	"ES0.5_1"	10.43	7.749	8.298	"ES0.5"	"1"	1.05804623039528	0.941958416530814	0.968389541847068
