"m.z","ES0_1","ES0_2","ES0_3","ES0.5_1","ES0.5_2","ES0.5_3","ES2.5_1","ES2.5_2","ES2.5_3","ES5_1","ES5_2","ES5_3","ES8_1","ES8_2","ES8_3","ES0","ES0.5","ES2.5","ES5","ES8"
"m17.026 ((H3N)+) ",123.853,121.886,119.977,120.397,121.172,116.26,110.061,124.012,113.742,107.028,110.449,107.576,102.215,104.734,108.575,121.719,118.392,110.449,105.967,102.958
"m18.010 ((H2O)+) ",7599.745,7528.739,7589.041,7456.251,7532.734,7508.884,7353.242,7375.386,7493.632,7336.502,7589.079,7423.588,7269.219,7284.667,7490.732,7536.676,7409.646,7326.268,7268.672,7234.646
"m18.034 ((H3N)H+) ",7610.995,7542.016,7604.775,7470.455,7547.985,7525.937,7367.731,7407.193,7508.702,7351.448,7602.897,7439.349,7286.727,7299.426,7504.504,7548.551,7424.746,7342.96,7284.943,7250.17
"m19.018 ((H2O)H+) ",514781.187,516592.406,513418.281,516614.906,514799.312,515182.344,516641.062,528094.625,512421.375,516935,516459.312,520664.25,516464.75,516806.437,514187.531,514656.125,513442.969,515083.219,515420.187,516280.062
"m21.022 (H3O 18+) ",1946.067,1968.659,1943.11,1952.102,1971.252,1996.78,1986.031,1794.564,2019.002,1979.061,1990.817,1997.151,1977.201,1992.745,2058.759,1984.155,1975.58,1976.937,1982.599,1973.728
"m26.015 ((C2H2)+) ",6.266,6.492,6.427,6.105,6.685,6.006,6.847,6.201,8.203,6.168,6.976,10.915,5.652,6.879,7.945,6.266,6.137,6.362,6.448,6.428
"m27.010 ((CHN)+) ",24.342,33.445,48.258,40.156,40.577,35.865,29.442,43.706,31.379,28.153,31.67,37.898,27.863,28.828,36.899,16.337,26.762,25.214,24.22,27.537
"m27.994 ((CO)+) ",30.536,29.148,30.569,27.632,27.954,30.181,26.794,30.245,28.892,25.986,25.049,33.382,25.887,25.372,28.311,29.666,29.505,26.47,27.058,28.213
"m28.006 ((N2)+) ",30.569,29.245,30.537,27.599,28.051,30.213,26.794,30.213,28.924,25.922,24.985,33.318,25.984,25.533,28.796,29.569,29.312,26.503,27.219,28.245
"m28.018 ((CHN)H+) ",30.504,29.342,30.699,27.761,28.342,30.213,26.955,30.181,29.021,25.954,25.114,33.35,26.113,25.566,28.925,29.601,29.667,26.47,27.299,28.277
"m28.031 ((C2H4)+) ",30.439,29.213,30.763,27.567,28.31,30.245,26.826,30.213,29.086,26.245,25.275,33.512,25.887,25.598,28.86,29.472,29.667,26.406,27.098,28.342
"m29.002 ((CHO)+) ",5006.738,4979.616,4960.493,4924.912,4899.905,4909.278,4793.863,4810.317,4795.179,4711.212,4692.661,4737.899,4635.519,4658.445,4675.578,5058.57,4926.138,4836.809,4738.266,4634.314
"m29.013 ((N2)H+) ",5007.109,4980.111,4960.969,4925.285,4900.454,4909.557,4794.469,4811.542,4795.318,4711.916,4693.4,4738.444,4635.921,4658.92,4676.106,5058.698,4926.373,4837.053,4738.719,4634.651
"m29.026 ((CH3N)+) ",5006.532,4980.167,4961.11,4925.172,4900.503,4909.834,4793.752,4812.184,4794.899,4711.73,4693.442,4738.324,4635.603,4658.689,4676.191,5058.058,4926.154,4837.1,4738.682,4634.593
"m29.039 ((C2H5)+) ",5005.556,4979.271,4960.225,4924.502,4899.609,4909.236,4792.909,4812.167,4794.235,4710.984,4692.903,4737.98,4634.976,4658.151,4675.385,5057.522,4925.504,4836.493,4737.93,4633.981
"m29.997 (NO+) ",3664.489,3643.031,3631.721,3569.649,3608.886,3594.318,3568.483,3454.094,3542.314,3539.276,3510.426,3493.723,3491.932,3493.653,3465.471,3702.051,3611.281,3584.895,3563.432,3528.002
"m30.021 ((H2N2)+) ",3664.173,3642.684,3631.637,3569.297,3608.51,3594.128,3568.492,3454.221,3541.762,3539.121,3510.573,3493.542,3491.911,3493.833,3465.419,3702.01,3610.571,3584.541,3563.221,3528.081
"m30.034 ((CH3N)H+) ",3663.319,3641.934,3630.846,3568.31,3607.794,3593.434,3567.958,3454.05,3541.133,3538.459,3510.142,3492.588,3491.246,3493.112,3464.209,3701.411,3609.882,3583.943,3562.474,3527.521
"m30.046 ((C2H5)H+) ",3660.723,3639.79,3629.094,3566.228,3606.27,3591.87,3566.211,3453.82,3539.572,3535.994,3508.029,3491.584,3490.545,3491.518,3462.095,3698.819,3608.584,3582.387,3561.294,3525.409
"m31.005 ((NO)H+) ",166.891,173.419,207.963,182.441,197.738,114.716,114.459,256.68,116.235,128.479,118.363,114.069,129.156,125.988,111.811,136.169,124.894,110.198,136.934,133.031
"m31.018 ((CH2O)H+) ",167.021,173.257,208.028,182.538,197.9,114.555,114.362,257.294,115.976,128.156,118.234,114.102,129.124,126.44,112.005,135.814,125.023,110.133,137.375,133.289
"m31.029 ((H2N2)H+) ",166.698,172.999,207.64,181.99,197.448,114.587,113.975,257.456,115.815,128.124,118.46,113.876,128.866,126.311,111.973,135.265,124.797,110.198,136.974,132.934
"m31.042 ((CH5N)+) ",165.569,172.58,207.576,181.441,197.125,114.167,113.458,257.392,115.525,127.478,118.04,113.165,128.059,125.504,111.23,133.715,123.925,109.52,136.173,132.256
"m31.054 ((C2H6)H+) ",162.987,170.901,206.769,180.537,196.157,113.36,112.07,256.941,114.298,125.509,116.878,112.229,127.413,124.633,110.359,131.327,122.666,107.971,134.492,131.481
"m31.989 (O2+) ",64545.156,63660.582,60582.668,60305.238,58069.293,56857.555,60929.863,59713.82,52071.785,59089.258,58061.43,55826.422,57710.395,57224.492,47763.898,66147.367,64087.07,62420.566,60354.836,58787.551
"m32.049 ((CH5N)H+) ",64472.762,63590.73,60521.227,60238.773,58011.055,56799.391,60861.84,59686.926,52013.301,59030.551,57999.074,55767.859,57644.641,57160.07,47709.961,66068.828,64020.973,62355.371,60286.355,58725.078
