m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	105.279	101.596	0.965
18.010	6318.874	6295.984	0.996
18.034	6321.032	6300.408	0.997
19.018	544958.812	546615.625	1.003
21.022	1591.751	1595.265	1.002
26.015	5.093	4.781	0.939
27.010	29.338	29.829	1.017
27.994	22.130	21.595	0.976
28.006	22.202	21.595	0.973
28.018	22.209	21.563	0.971
28.031	22.202	21.725	0.979
29.002	4060.994	4055.123	0.999
29.013	4060.989	4054.953	0.999
29.026	4060.868	4054.656	0.998
29.039	4060.245	4054.003	0.998
29.997	2903.953	2893.540	0.996
30.021	2903.879	2893.665	0.996
30.034	2903.020	2892.971	0.997
30.046	2901.557	2891.400	0.996
31.005	138.691	145.009	1.046
31.018	138.554	144.912	1.046
31.029	138.518	144.880	1.046
31.042	138.079	144.331	1.045
31.054	137.423	143.782	1.046
31.989	51333.934	51065.844	0.995
32.049	51227.352	50973.617	0.995
32.989	15370.327	15803.255	1.028
32.989	15370.061	15803.062	1.028
32.997	15371.298	15804.205	1.028
33.033	15370.158	15803.450	1.028
33.045	15367.675	15800.707	1.028
33.987	412.364	424.203	1.029
33.997	412.317	424.336	1.029
34.005	412.068	424.113	1.029
34.995	45.158	47.780	1.058
35.005	45.230	47.586	1.052
35.976	5.806	5.975	1.029
36.984	7764.520	7790.870	1.003
37.028	7765.075	7791.708	1.003
41.002	339.866	346.998	1.021
41.026	339.875	346.904	1.021
41.039	339.739	346.840	1.021
42.034	78.368	78.148	0.997
43.018	1014.526	963.064	0.949
43.054	1010.585	959.390	0.949
43.989	47.063	46.777	0.994
44.001	47.063	46.874	0.996
44.062	46.279	45.873	0.991
44.997	1124.419	1152.552	1.025
45.033	1123.726	1152.040	1.025
45.992	43.946	44.615	1.015
46.021	43.888	44.679	1.018
47.013	141.049	146.169	1.036
47.037	141.006	146.040	1.036
47.049	140.956	145.943	1.035
47.060	140.819	145.814	1.035
47.984	4.097	4.391	1.072
49.011	2.787	2.745	0.985
49.992	6.170	5.908	0.958
51.000	11.655	12.266	1.052
52.012	1.116	1.356	1.215
52.018	1.102	1.292	1.172
53.026	8.985	8.943	0.995
53.939	8.567	8.683	1.013
54.046	8.676	8.812	1.016
54.947	116.718	118.382	1.014
57.033	210.350	216.195	1.028
57.070	210.235	216.131	1.028
59.049	2064.718	2166.900	1.049
59.086	2063.053	2165.134	1.049
61.028	1480.641	1354.868	0.915
61.065	1479.875	1354.227	0.915
62.995	116.653	113.733	0.975
63.026	116.494	113.636	0.975
64.003	2.773	2.809	1.013
65.020	4.551	4.618	1.015
68.049	6.185	5.876	0.950
69.033	65.590	63.686	0.971
69.070	65.526	63.686	0.972
