m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	134.503	129.700	0.964
18.010	8275.147	7991.769	0.966
18.034	8283.774	8002.756	0.966
19.018	510319.562	510503.656	1.000
21.022	2077.343	2070.075	0.997
26.015	7.089	7.073	0.998
27.010	50.231	51.096	1.017
27.994	32.861	32.959	1.003
28.006	32.891	32.895	1.000
28.018	32.832	32.701	0.996
28.031	32.795	32.636	0.995
29.002	6388.126	6384.741	0.999
29.013	6388.552	6385.259	0.999
29.026	6388.510	6385.432	1.000
29.039	6387.429	6384.145	0.999
29.997	3823.578	3814.329	0.998
30.021	3822.805	3813.765	0.998
30.034	3822.090	3813.281	0.998
30.046	3819.334	3810.522	0.998
31.005	93.048	96.919	1.042
31.018	92.850	96.757	1.042
31.029	92.563	96.467	1.042
31.042	92.254	95.918	1.040
31.054	91.761	95.659	1.042
31.989	66268.086	66142.797	0.998
32.049	66176.609	66057.805	0.998
32.989	5633.549	6431.600	1.142
32.989	5633.549	6431.600	1.142
32.997	5635.462	6433.859	1.142
33.033	5635.393	6434.902	1.142
33.045	5634.474	6434.181	1.142
33.987	355.244	365.076	1.028
33.997	355.203	364.820	1.027
34.005	355.051	364.661	1.027
34.995	22.104	24.381	1.103
35.005	22.126	24.155	1.092
35.976	6.567	6.815	1.038
36.984	10441.505	10461.601	1.002
37.028	10443.009	10462.942	1.002
41.002	515.813	535.700	1.039
41.026	515.853	535.671	1.038
41.039	515.766	535.640	1.039
42.034	112.627	111.735	0.992
43.018	1191.631	1102.405	0.925
43.054	1188.759	1099.645	0.925
43.989	62.276	61.078	0.981
44.001	62.327	61.046	0.979
44.062	61.429	59.948	0.976
44.997	716.974	691.054	0.964
45.033	716.787	691.092	0.964
45.992	65.097	60.146	0.924
46.021	64.987	60.082	0.925
47.013	174.092	157.186	0.903
47.037	174.019	157.024	0.902
47.049	174.056	157.024	0.902
47.060	173.997	157.057	0.903
47.984	5.616	5.458	0.972
49.011	5.263	5.618	1.068
49.992	6.373	6.102	0.957
51.000	5.454	5.587	1.024
52.012	1.928	1.679	0.871
52.018	1.869	1.614	0.863
53.026	11.361	12.266	1.080
53.939	4.122	4.165	1.011
54.046	4.181	4.488	1.074
54.947	141.796	144.163	1.017
57.033	368.228	390.741	1.061
57.070	368.089	390.744	1.062
59.049	2676.520	2795.693	1.045
59.086	2674.759	2793.633	1.044
61.028	1407.905	1253.751	0.891
61.065	1407.234	1253.274	0.891
62.995	116.703	118.061	1.012
63.026	116.637	118.126	1.013
64.003	3.319	3.616	1.089
65.020	6.242	5.748	0.921
68.049	5.343	5.424	1.015
69.033	102.354	99.655	0.974
69.070	102.295	99.623	0.974
71.049	73.435	75.797	1.032
71.086	73.377	75.732	1.032
73.065	182.790	190.514	1.042
75.044	217.214	216.713	0.998
75.068	217.097	216.584	0.998
77.060	68.773	67.341	0.979
78.046	9.260	9.107	0.984
79.054	30.185	26.085	0.864
80.049	4.651	3.906	0.840
81.070	101.598	46.964	0.462
82.078	10.450	6.555	0.627
82.989	107.791	113.052	1.049
83.010	107.939	113.342	1.050
83.049	107.887	113.278	1.050
83.086	106.953	112.342	1.050
83.911	9.950	9.396	0.944
84.081	11.224	10.268	0.915
84.919	159.408	160.371	1.006
85.065	166.014	167.156	1.007
85.101	163.491	164.573	1.007
86.036	15.019	14.947	0.995
86.060	15.048	14.980	0.995
86.096	14.960	14.883	0.995
87.044	39.431	38.971	0.988
87.080	39.387	38.906	0.988
88.112	8.692	8.879	1.021
89.023	473.281	476.493	1.007
89.042	473.282	476.591	1.007
89.060	473.297	476.624	1.007
89.096	473.092	476.430	1.007
90.055	24.995	24.953	0.998
91.039	100.522	101.533	1.010
91.050	100.824	101.953	1.011
91.058	100.956	102.018	1.011
92.062	41.078	40.575	0.988
93.033	938.201	932.649	0.994
93.070	938.070	932.426	0.994
94.041	75.284	75.339	1.001
95.049	50.410	37.802	0.750
95.086	50.329	37.576	0.747
96.057	6.374	5.230	0.821
97.040	32.793	31.090	0.948
97.065	32.785	31.026	0.946
97.101	32.771	31.026	0.947
97.967	6.749	7.329	1.086
98.975	26.711	26.826	1.004
99.080	26.777	26.923	1.005
99.092	26.733	26.891	1.006
99.104	26.726	26.826	1.004
99.117	26.748	26.826	1.003
101.060	31.451	30.057	0.956
101.096	31.385	29.928	0.954
102.025	6.874	6.264	0.911
102.068	6.867	6.264	0.912
102.104	6.852	6.200	0.905
102.128	6.815	6.264	0.919
103.032	34.273	23.501	0.686
103.042	34.266	23.501	0.686
103.075	34.237	23.468	0.685
103.112	34.229	23.469	0.686
103.123	34.178	23.404	0.685
104.047	3.422	2.873	0.840
104.049	3.429	2.873	0.838
104.062	3.415	2.809	0.823
105.037	10.156	7.781	0.766
105.057	10.185	7.813	0.767
105.070	10.156	7.749	0.763
106.078	3.356	3.326	0.991
107.049	65.016	59.650	0.917
107.086	65.016	59.715	0.918
108.057	10.097	9.913	0.982
108.081	10.126	9.913	0.979
108.093	10.126	9.881	0.976
109.065	25.874	25.086	0.970
109.076	25.896	25.183	0.972
109.089	25.866	25.118	0.971
109.101	25.852	25.054	0.969
110.060	3.540	3.003	0.848
110.073	3.547	2.971	0.837
110.084	3.562	3.003	0.843
110.109	3.584	3.003	0.838
111.080	15.261	15.172	0.994
111.092	15.247	15.172	0.995
111.104	15.269	15.139	0.992
111.117	15.269	15.204	0.996
112.007	4.615	4.327	0.938
112.052	4.622	4.392	0.950
112.088	4.652	4.359	0.937
112.112	4.644	4.359	0.939
113.015	13.202	13.399	1.015
113.060	13.209	13.367	1.012
113.096	13.232	13.399	1.013
113.107	13.261	13.399	1.010
114.091	11.569	10.912	0.943
114.128	11.584	10.912	0.942
115.075	11.775	11.591	0.984
115.112	11.746	11.526	0.981
115.123	11.731	11.494	0.980
116.143	3.702	3.648	0.986
117.070	40.022	40.320	1.007
117.078	40.015	40.320	1.008
117.091	40.029	40.320	1.007
117.102	39.912	40.191	1.007
117.127	39.544	39.997	1.011
118.065	3.680	4.035	1.097
118.078	3.687	4.035	1.094
118.081	3.680	4.035	1.097
118.086	3.680	4.035	1.097
119.060	11.989	10.882	0.908
119.086	11.952	10.882	0.910
120.081	1.943	1.840	0.947
121.052	36.844	37.641	1.022
121.065	36.851	37.609	1.021
121.089	36.785	37.641	1.023
121.101	36.793	37.674	1.024
122.060	4.666	4.068	0.872
122.084	4.659	4.068	0.873
122.096	4.666	4.068	0.872
123.092	16.727	16.077	0.961
124.039	2.612	2.033	0.778
124.057	2.576	1.969	0.764
125.042	12.533	12.786	1.020
125.060	12.533	12.754	1.018
125.071	12.526	12.786	1.021
125.084	12.518	12.786	1.021
125.096	12.526	12.786	1.021
125.107	12.518	12.818	1.024
125.120	12.511	12.818	1.025
127.112	18.288	18.565	1.015
127.136	18.067	18.436	1.020
127.903	2.929	3.325	1.135
128.120	3.062	3.422	1.118
128.143	3.054	3.390	1.110
128.911	11.805	12.044	1.020
129.045	11.982	12.205	1.019
129.070	11.945	12.173	1.019
129.091	11.909	12.205	1.025
129.127	11.644	11.883	1.021
129.139	11.489	11.592	1.009
129.151	11.261	11.302	1.004
131.060	10.333	10.236	0.991
131.107	10.326	10.236	0.991
131.143	10.216	10.203	0.999
131.154	10.150	10.203	1.005
132.066	1.435	1.484	1.035
132.102	1.449	1.484	1.024
133.065	5.352	4.973	0.929
133.101	5.182	4.941	0.953
135.080	10.885	10.074	0.926
135.117	10.877	9.978	0.917
137.047	54.408	17.305	0.318
137.060	54.430	17.305	0.318
137.060	54.430	17.305	0.318
137.071	54.430	17.305	0.318
137.132	54.452	17.305	0.318
139.148	11.120	10.784	0.970
144.175	1.965	2.228	1.134
145.076	24.179	23.470	0.971
145.122	24.143	23.437	0.971
145.962	3.422	3.067	0.896
145.968	3.422	3.067	0.896
146.970	3.172	2.777	0.875
146.976	3.179	2.777	0.873
148.088	1.001	1.130	1.129
148.125	0.986	1.065	1.080
149.096	10.480	8.945	0.853
151.075	6.653	5.974	0.898
152.120	1.560	1.420	0.910
153.055	11.561	11.428	0.988
153.070	11.561	11.428	0.988
153.127	11.598	11.493	0.991
153.151	11.598	11.493	0.991
153.980	1.906	1.969	1.033
155.086	11.053	9.878	0.894
155.107	11.075	9.943	0.898
155.142	11.082	9.975	0.900
157.159	7.000	6.329	0.904
159.174	21.689	20.534	0.947
161.132	2.156	2.357	1.093
162.128	0.942	0.936	0.994
163.063	4.629	4.553	0.983
163.075	4.615	4.521	0.980
163.099	4.622	4.521	0.978
163.123	4.629	4.521	0.976
163.136	4.629	4.521	0.976
163.148	4.600	4.521	0.983
165.091	3.304	3.358	1.016
165.985	0.824	0.807	0.979
166.062	0.831	0.807	0.970
166.078	0.831	0.807	0.970
166.135	0.839	0.774	0.924
167.070	5.336	5.263	0.986
167.086	5.328	5.295	0.994
174.140	7.823	7.524	0.962
175.148	1.685	1.614	0.958
178.062	1.332	1.582	1.188
178.123	1.302	1.582	1.215
179.086	1.604	1.582	0.986
179.107	1.611	1.614	1.002
179.128	1.611	1.614	1.002
179.929	0.552	0.484	0.877
180.081	0.566	0.516	0.912
180.093	0.566	0.516	0.912
180.151	0.588	0.548	0.932
180.937	22.194	20.757	0.935
181.076	22.157	20.725	0.935
181.101	22.142	20.693	0.935
181.159	22.120	20.725	0.937
181.170	22.113	20.725	0.937
182.109	1.582	1.485	0.939
183.047	5.697	5.716	1.003
183.080	5.712	5.683	0.995
186.140	0.736	0.548	0.746
187.148	1.751	1.840	1.051
188.937	0.824	0.484	0.588
189.164	0.758	0.549	0.724
191.143	2.583	2.422	0.937
192.093	1.847	1.453	0.786
193.101	4.395	4.424	1.007
193.122	4.299	4.327	1.007
194.154	1.523	1.420	0.932
195.065	1.935	1.969	1.017
195.138	1.913	1.904	0.995
