m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	107.541	105.967	0.985
18.010	7270.287	7268.672	1.000
18.034	7285.164	7284.943	1.000
19.018	515601.187	515420.187	1.000
21.022	1987.176	1982.599	0.998
26.015	6.544	6.448	0.985
27.010	24.948	24.220	0.971
27.994	26.410	27.058	1.025
28.006	26.530	27.219	1.026
28.018	26.506	27.299	1.030
28.031	26.446	27.098	1.025
29.002	4724.215	4738.266	1.003
29.013	4724.913	4738.719	1.003
29.026	4724.835	4738.682	1.003
29.039	4724.012	4737.930	1.003
29.997	3566.296	3563.432	0.999
30.021	3566.301	3563.221	0.999
30.034	3565.324	3562.474	0.999
30.046	3563.840	3561.294	0.999
31.005	139.791	136.934	0.980
31.018	139.839	137.375	0.982
31.029	139.565	136.974	0.981
31.042	138.946	136.173	0.980
31.054	137.433	134.492	0.979
31.989	60419.687	60354.836	0.999
32.049	60350.687	60286.355	0.999
32.989	15558.645	15441.161	0.992
32.989	15558.358	15440.841	0.992
32.997	15572.026	15455.463	0.993
33.033	15577.188	15462.630	0.993
33.045	15575.446	15461.434	0.993
33.987	455.027	447.142	0.983
33.997	455.032	446.905	0.982
34.005	454.928	446.789	0.982
34.995	42.606	41.633	0.977
35.005	42.678	41.593	0.975
35.976	8.391	8.610	1.026
36.984	18004.994	18222.926	1.012
37.028	18011.527	18229.859	1.012
41.002	320.346	308.536	0.963
41.026	320.660	308.860	0.963
41.039	320.673	309.062	0.964
42.034	163.126	166.370	1.020
43.018	927.723	905.008	0.976
43.054	923.094	901.023	0.976
43.989	55.332	55.003	0.994
44.001	55.261	54.923	0.994
44.062	53.938	53.482	0.992
44.997	331.067	322.177	0.973
45.033	331.057	322.019	0.973
45.992	40.417	39.436	0.976
46.021	40.262	39.276	0.975
47.013	142.739	146.416	1.026
47.037	142.703	146.417	1.026
47.049	142.644	146.377	1.026
47.060	142.596	146.377	1.027
47.984	4.647	4.084	0.879
49.011	3.074	2.563	0.834
49.992	9.126	9.205	1.009
51.000	21.038	22.296	1.060
52.012	1.775	1.682	0.947
52.018	1.775	1.722	0.970
53.026	6.267	6.725	1.073
53.939	2.431	2.202	0.906
54.046	2.538	2.242	0.883
54.947	79.432	76.930	0.969
57.033	233.914	227.082	0.971
57.070	233.771	226.962	0.971
59.049	7957.057	8162.243	1.026
59.086	7952.446	8157.498	1.026
61.028	1000.780	955.745	0.955
61.065	1000.212	955.347	0.955
62.995	98.834	89.903	0.910
63.026	98.739	89.783	0.909
64.003	3.539	3.604	1.018
65.020	4.838	4.644	0.960
68.049	6.589	6.966	1.057
69.033	62.462	66.008	1.057
69.070	62.450	66.049	1.058
71.049	44.507	43.032	0.967
71.086	44.412	42.992	0.968
73.065	165.335	155.669	0.942
