m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	104.763	106.055	1.012
18.010	6935.377	6951.212	1.002
18.034	6948.263	6965.562	1.002
19.018	517590.781	518948.219	1.003
21.022	1972.173	1970.067	0.999
26.015	6.407	6.394	0.998
27.010	39.614	38.446	0.971
27.994	27.106	27.277	1.006
28.006	27.168	27.406	1.009
28.018	27.093	27.245	1.006
28.031	27.043	27.180	1.005
29.002	4896.273	4892.391	0.999
29.013	4896.939	4892.735	0.999
29.026	4896.973	4892.920	0.999
29.039	4896.458	4892.504	0.999
29.997	3469.319	3473.170	1.001
30.021	3468.889	3472.951	1.001
30.034	3468.511	3472.943	1.001
30.046	3466.938	3471.475	1.001
31.005	65.649	65.662	1.000
31.018	65.686	65.598	0.999
31.029	65.586	65.501	0.999
31.042	65.224	65.243	1.000
31.054	65.011	65.081	1.001
31.989	58584.242	58485.238	0.998
32.049	58517.492	58420.047	0.998
32.989	2399.406	2123.955	0.885
32.989	2399.406	2123.955	0.885
32.997	2400.913	2125.250	0.885
33.033	2400.988	2124.913	0.885
33.045	2400.509	2124.885	0.885
33.987	283.995	277.594	0.977
33.997	284.033	277.626	0.977
34.005	283.909	277.530	0.978
34.995	12.750	11.657	0.914
35.005	12.863	11.980	0.931
35.976	5.844	5.943	1.017
36.984	16951.822	17044.293	1.005
37.028	16959.115	17051.836	1.005
41.002	417.865	403.755	0.966
41.026	418.031	403.919	0.966
41.039	417.970	403.759	0.966
42.034	109.998	108.439	0.986
43.018	547.721	532.847	0.973
43.054	546.786	531.687	0.972
43.989	39.006	38.968	0.999
44.001	39.006	38.968	0.999
44.062	38.744	38.807	1.002
44.997	473.473	481.460	1.017
45.033	473.362	481.397	1.017
45.992	48.988	48.426	0.989
46.021	48.888	48.361	0.989
47.013	302.827	301.538	0.996
47.037	302.853	301.636	0.996
47.049	302.740	301.474	0.996
47.060	302.740	301.506	0.996
47.984	8.082	8.556	1.059
49.011	3.416	3.229	0.945
49.992	7.668	7.360	0.960
51.000	4.417	4.682	1.060
52.012	1.238	1.194	0.964
52.018	1.226	1.194	0.974
53.026	7.293	7.038	0.965
53.939	2.840	2.938	1.035
54.046	2.790	3.002	1.076
54.947	109.796	106.662	0.971
57.033	304.488	288.555	0.948
57.070	304.363	288.232	0.947
59.049	1006.465	1042.622	1.036
59.086	1006.067	1042.465	1.036
61.028	440.010	431.432	0.981
61.065	439.849	431.272	0.981
62.995	57.295	51.901	0.906
63.026	57.295	51.869	0.905
64.003	2.102	1.872	0.891
65.020	5.243	5.005	0.955
68.049	6.405	5.747	0.897
69.033	90.668	90.811	1.002
69.070	90.605	90.746	1.002
71.049	81.145	77.345	0.953
71.086	81.170	77.345	0.953
73.065	104.782	100.073	0.955
75.044	96.369	93.615	0.971
75.068	96.356	93.550	0.971
77.060	41.445	41.356	0.998
78.046	6.194	6.362	1.027
79.054	24.555	25.631	1.044
80.049	3.303	3.390	1.026
81.070	43.317	43.643	1.008
82.078	5.305	5.004	0.943
82.989	70.752	69.275	0.979
83.010	70.865	69.276	0.978
83.049	70.852	69.211	0.977
83.086	70.852	69.243	0.977
83.911	8.607	8.361	0.971
84.081	11.110	10.816	0.974
84.919	255.629	241.890	0.946
85.065	283.079	268.870	0.950
85.101	282.854	268.741	0.950
86.036	24.682	24.278	0.984
86.060	24.657	24.213	0.982
86.096	24.595	24.181	0.983
87.044	22.515	22.112	0.982
87.080	22.490	22.080	0.982
88.112	6.306	6.554	1.039
89.023	310.146	307.792	0.992
89.042	310.184	307.858	0.993
89.060	310.171	307.793	0.992
89.096	309.971	307.535	0.992
90.055	15.836	16.721	1.056
91.039	62.343	60.461	0.970
91.050	62.518	60.751	0.972
91.058	62.618	60.816	0.971
92.062	26.731	27.212	1.018
93.033	635.797	632.206	0.994
93.070	635.911	632.434	0.995
94.041	52.194	53.648	1.028
95.049	38.329	39.288	1.025
95.086	38.417	39.418	1.026
96.057	5.017	4.487	0.894
97.040	25.897	26.990	1.042
97.065	25.909	26.958	1.040
97.101	25.959	27.023	1.041
97.967	4.955	4.940	0.997
98.975	29.586	29.893	1.010
99.080	29.661	29.958	1.010
99.092	29.661	29.958	1.010
99.104	29.648	29.958	1.010
99.117	29.623	29.990	1.012
101.060	34.714	34.316	0.989
101.096	34.701	34.252	0.987
102.025	5.505	5.521	1.003
102.068	5.480	5.489	1.002
102.104	5.517	5.457	0.989
102.128	5.505	5.457	0.991
103.032	24.793	23.468	0.947
103.042	24.793	23.468	0.947
103.075	24.806	23.436	0.945
103.112	24.743	23.436	0.947
103.123	24.706	23.403	0.947
104.047	3.053	2.938	0.962
104.049	3.053	2.938	0.962
104.062	3.053	2.938	0.962
105.037	8.395	7.233	0.862
105.057	8.408	7.201	0.856
105.070	8.383	7.168	0.855
106.078	2.928	3.003	1.026
107.049	59.138	58.588	0.991
107.086	59.201	58.653	0.991
108.057	8.820	8.523	0.966
108.081	8.820	8.491	0.963
108.093	8.795	8.491	0.965
109.065	24.419	24.470	1.002
109.076	24.419	24.470	1.002
109.089	24.419	24.470	1.002
109.101	24.444	24.470	1.001
110.060	3.316	3.196	0.964
110.073	3.316	3.196	0.964
110.084	3.278	3.196	0.975
110.109	3.291	3.261	0.991
111.080	13.710	12.494	0.911
111.092	13.710	12.526	0.914
111.104	13.723	12.494	0.910
111.117	13.723	12.494	0.910
112.007	3.190	2.970	0.931
112.052	3.240	3.035	0.937
112.088	3.215	3.035	0.944
112.112	3.190	3.003	0.941
113.015	13.374	13.914	1.040
113.060	13.461	13.947	1.036
113.096	13.461	13.914	1.034
113.107	13.461	13.914	1.034
114.091	11.260	11.493	1.021
114.128	11.297	11.525	1.020
115.075	12.073	11.429	0.947
115.112	12.073	11.462	0.949
115.123	12.086	11.494	0.951
116.143	2.865	2.744	0.958
117.070	53.425	53.233	0.996
117.078	53.400	53.233	0.997
117.091	53.400	53.233	0.997
117.102	53.375	53.201	0.997
117.127	53.187	53.072	0.998
118.065	4.667	4.327	0.927
118.078	4.654	4.327	0.930
118.081	4.654	4.327	0.930
118.086	4.654	4.327	0.930
119.060	9.859	8.394	0.851
119.086	9.859	8.394	0.851
120.081	1.426	1.614	1.132
121.052	32.663	33.123	1.014
121.065	32.650	33.123	1.014
121.089	32.638	33.155	1.016
121.101	32.638	33.155	1.016
122.060	3.941	3.810	0.967
122.084	3.904	3.745	0.959
122.096	3.904	3.745	0.959
123.092	15.089	14.755	0.978
124.039	2.164	2.389	1.104
124.057	2.164	2.389	1.104
125.042	12.435	11.590	0.932
125.060	12.398	11.590	0.935
125.071	12.423	11.623	0.936
125.084	12.448	11.687	0.939
125.096	12.410	11.655	0.939
125.107	12.423	11.655	0.938
125.120	12.410	11.655	0.939
127.112	18.427	17.401	0.944
127.136	18.415	17.401	0.945
127.903	3.215	2.873	0.894
128.120	3.453	2.970	0.860
128.143	3.478	3.035	0.873
128.911	9.796	9.524	0.972
129.045	10.259	10.041	0.979
129.070	10.259	10.041	0.979
129.091	10.284	10.074	0.979
129.127	10.259	10.041	0.979
129.139	10.285	10.041	0.976
129.151	10.272	10.074	0.981
131.060	8.983	8.201	0.913
131.107	8.971	8.233	0.918
131.143	8.958	8.169	0.912
131.154	8.933	8.169	0.914
132.066	1.464	1.324	0.904
132.102	1.451	1.324	0.912
133.065	3.966	3.939	0.993
133.101	3.854	3.681	0.955
135.080	10.234	9.976	0.975
135.117	10.259	9.976	0.972
137.047	18.853	18.983	1.007
137.060	18.878	19.016	1.007
137.060	18.878	19.016	1.007
137.071	18.890	19.048	1.008
137.132	18.853	19.016	1.009
139.148	9.771	9.816	1.005
144.175	2.352	2.002	0.851
145.076	29.010	30.151	1.039
145.122	29.060	30.215	1.040
145.962	3.578	3.293	0.920
145.968	3.578	3.293	0.920
146.970	4.029	4.037	1.002
146.976	4.029	4.069	1.010
148.088	1.188	1.033	0.869
148.125	1.176	1.033	0.878
149.096	27.808	28.571	1.027
151.075	8.358	8.200	0.981
152.120	1.726	1.840	1.066
153.055	11.484	12.170	1.060
153.070	11.484	12.138	1.057
153.127	11.484	12.170	1.060
153.151	11.509	12.170	1.057
153.980	1.789	1.808	1.011
155.086	14.099	13.269	0.941
155.107	14.074	13.301	0.945
155.142	14.074	13.301	0.945
157.159	7.507	7.620	1.015
159.174	10.509	9.847	0.937
161.132	2.089	2.034	0.974
162.128	0.850	0.807	0.949
163.063	5.705	5.812	1.019
163.075	5.718	5.812	1.016
163.099	5.730	5.812	1.014
163.123	5.743	5.844	1.018
163.136	5.730	5.844	1.020
163.148	5.743	5.844	1.018
165.091	3.215	3.519	1.095
165.985	0.963	0.742	0.771
166.062	0.951	0.742	0.781
166.078	0.963	0.774	0.804
166.135	0.913	0.710	0.778
167.070	4.767	4.585	0.962
167.086	4.767	4.617	0.969
174.140	8.820	8.266	0.937
175.148	1.639	1.808	1.103
178.062	0.788	0.936	1.188
178.123	0.788	0.904	1.147
179.086	1.376	1.388	1.009
179.107	1.388	1.388	1.000
179.128	1.363	1.356	0.994
179.929	0.688	0.710	1.032
180.081	0.663	0.839	1.266
180.093	0.675	0.839	1.243
180.151	0.688	0.839	1.220
180.937	3.165	3.422	1.081
181.076	3.190	3.390	1.063
181.101	3.190	3.422	1.073
181.159	3.165	3.390	1.071
181.170	3.165	3.358	1.061
182.109	1.026	0.968	0.944
183.047	6.669	6.910	1.036
183.080	6.631	6.910	1.042
186.140	0.675	0.710	1.051
187.148	1.614	1.614	1.000
188.937	0.888	0.807	0.909
189.164	0.888	0.710	0.800
191.143	1.777	1.614	0.909
192.093	1.363	1.388	1.018
193.101	2.415	2.421	1.003
193.122	2.352	2.357	1.002
194.154	1.051	0.968	0.922
195.065	1.276	1.388	1.088
195.138	1.176	1.227	1.043
197.132	1.514	1.614	1.066
199.148	2.727	2.615	0.959
201.139	15.223	14.914	0.980
201.233	15.211	14.882	0.978
203.086	1.088	0.936	0.860
203.154	1.126	0.968	0.860
204.187	0.463	0.452	0.976
205.157	1.676	1.259	0.751
205.195	1.651	1.227	0.743
211.148	3.241	3.132	0.966
228.093	1.964	1.937	0.986
228.269	1.914	1.776	0.928
237.164	1.001	0.904	0.903
239.007	1.213	1.065	0.878
239.179	1.188	1.000	0.842
150.000	841.901	829.007	0.985
