m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	121.787	116.260	0.955
18.010	7614.235	7508.884	0.986
18.034	7629.696	7525.937	0.986
19.018	515118.156	515182.344	1.000
21.022	2007.821	1996.780	0.995
26.015	6.356	6.006	0.945
27.010	36.550	35.865	0.981
27.994	30.323	30.181	0.995
28.006	30.452	30.213	0.992
28.018	30.479	30.213	0.991
28.031	30.378	30.245	0.996
29.002	4930.330	4909.278	0.996
29.013	4930.601	4909.557	0.996
29.026	4930.434	4909.834	0.996
29.039	4929.682	4909.236	0.996
29.997	3625.206	3594.318	0.991
30.021	3624.848	3594.128	0.992
30.034	3624.139	3593.434	0.992
30.046	3622.158	3591.870	0.992
31.005	133.022	114.716	0.862
31.018	132.820	114.555	0.862
31.029	132.591	114.587	0.864
31.042	132.021	114.167	0.865
31.054	130.837	113.360	0.866
31.989	57764.328	56857.555	0.984
32.049	57703.629	56799.391	0.984
32.989	12410.889	8271.343	0.666
32.989	12410.641	8271.084	0.666
32.997	12420.477	8278.175	0.666
33.033	12424.388	8281.310	0.667
33.045	12423.445	8281.145	0.667
33.987	409.036	353.437	0.864
33.997	408.811	353.442	0.865
34.005	408.898	353.542	0.865
34.995	36.088	26.639	0.738
35.005	36.069	26.704	0.740
35.976	7.403	6.783	0.916
36.984	15150.239	15120.253	0.998
37.028	15156.495	15126.324	0.998
41.002	517.395	488.351	0.944
41.026	517.795	488.840	0.944
41.039	517.824	488.810	0.944
42.034	139.905	139.546	0.997
43.018	1619.422	1596.501	0.986
43.054	1614.498	1592.571	0.986
43.989	76.328	76.030	0.996
44.001	76.300	76.031	0.996
44.062	74.721	74.739	1.000
44.997	1999.073	2112.612	1.057
45.033	1998.210	2112.053	1.057
45.992	71.867	69.637	0.969
46.021	71.876	69.572	0.968
47.013	151.945	142.811	0.940
47.037	151.927	142.843	0.940
47.049	151.826	142.714	0.940
47.060	151.835	142.714	0.940
47.984	5.309	4.650	0.876
49.011	3.931	3.617	0.920
49.992	8.961	9.653	1.077
51.000	15.845	11.331	0.715
52.012	1.882	1.905	1.012
52.018	1.882	1.905	1.012
53.026	9.448	9.750	1.032
53.939	5.005	5.586	1.116
54.046	4.986	5.683	1.140
54.947	109.138	107.794	0.988
57.033	465.708	411.814	0.884
57.070	465.609	411.557	0.884
59.049	6599.552	6417.988	0.972
59.086	6595.882	6414.315	0.972
61.028	2381.200	2364.648	0.993
61.065	2379.781	2363.045	0.993
62.995	176.004	168.428	0.957
63.026	175.949	168.331	0.957
64.003	5.060	4.715	0.932
65.020	8.265	8.493	1.028
68.049	8.557	8.524	0.996
69.033	73.264	72.568	0.990
69.070	73.255	72.600	0.991
71.049	74.748	73.309	0.981
71.086	74.803	73.471	0.982
73.065	333.790	324.193	0.971
75.044	252.067	244.987	0.972
75.068	251.884	244.826	0.972
77.060	50.326	50.718	1.008
78.046	7.283	7.266	0.998
79.054	23.191	22.242	0.959
80.049	3.040	2.971	0.977
81.070	43.370	43.998	1.014
82.078	5.069	4.811	0.949
82.989	63.972	64.215	1.004
83.010	64.009	64.280	1.004
83.049	64.009	64.183	1.003
83.086	63.871	64.086	1.003
83.911	6.914	5.908	0.854
84.081	8.871	7.685	0.866
84.919	350.302	348.936	0.996
85.065	379.987	378.658	0.997
85.101	379.850	378.530	0.997
86.036	28.176	26.533	0.942
86.060	28.176	26.501	0.941
86.096	28.148	26.566	0.944
87.044	32.842	32.638	0.994
87.080	32.814	32.542	0.992
88.112	11.092	11.266	1.016
89.023	203.926	201.343	0.987
89.042	203.945	201.343	0.987
89.060	203.972	201.375	0.987
89.096	203.927	201.343	0.987
90.055	11.431	12.203	1.067
91.039	86.348	81.993	0.950
91.050	86.559	82.284	0.951
