m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	108.686	106.119	0.976
18.010	7012.580	6934.630	0.989
18.034	7024.672	6947.665	0.989
19.018	518049.750	521109.125	1.006
21.022	1956.080	1953.373	0.999
26.015	6.545	6.072	0.928
27.010	45.294	47.610	1.051
27.994	27.267	27.989	1.026
28.006	27.366	28.182	1.030
28.018	27.350	27.989	1.023
28.031	27.284	27.892	1.022
29.002	4809.309	4796.196	0.997
29.013	4809.689	4796.314	0.997
29.026	4809.870	4796.367	0.997
29.039	4809.255	4795.622	0.997
29.997	3467.673	3474.118	1.002
30.021	3467.400	3473.828	1.002
30.034	3466.975	3473.271	1.002
30.046	3465.055	3471.940	1.002
31.005	79.535	84.425	1.061
31.018	79.444	84.264	1.061
31.029	79.195	83.909	1.060
31.042	78.898	83.618	1.060
31.054	78.484	83.328	1.062
31.989	58187.500	58041.422	0.997
32.049	58119.094	57972.941	0.997
32.989	6667.619	8016.625	1.202
32.989	6667.619	8016.625	1.202
32.997	6672.066	8021.284	1.202
33.033	6673.584	8023.151	1.202
33.045	6672.800	8022.035	1.202
33.987	336.148	352.624	1.049
33.997	336.183	352.788	1.049
34.005	336.286	353.115	1.050
34.995	22.120	25.216	1.140
35.005	22.161	25.087	1.132
35.976	6.363	6.491	1.020
36.984	16768.086	16714.432	0.997
37.028	16774.299	16721.107	0.997
41.002	579.853	625.518	1.079
41.026	580.312	625.585	1.078
41.039	580.314	625.522	1.078
42.034	105.974	104.790	0.989
43.018	997.728	1117.832	1.120
43.054	995.987	1116.297	1.121
43.989	51.413	52.656	1.024
44.001	51.372	52.624	1.024
44.062	50.652	51.978	1.026
44.997	765.229	806.186	1.054
45.033	765.026	806.192	1.054
45.992	52.554	49.880	0.949
46.021	52.670	49.848	0.946
47.013	217.421	203.710	0.937
47.037	217.430	203.677	0.937
47.049	217.397	203.645	0.937
47.060	217.372	203.678	0.937
47.984	6.924	6.491	0.937
49.011	15.911	18.010	1.132
49.992	8.403	8.619	1.026
51.000	10.223	11.848	1.159
52.012	1.919	2.228	1.161
52.018	1.919	2.228	1.161
53.026	8.684	9.104	1.048
53.939	3.822	3.842	1.005
54.046	3.830	3.939	1.028
54.947	125.947	131.563	1.045
57.033	454.235	499.892	1.101
57.070	454.128	499.894	1.101
59.049	1794.436	1948.385	1.086
59.086	1793.575	1947.460	1.086
61.028	1028.438	1181.003	1.148
61.065	1028.144	1180.650	1.148
62.995	93.513	98.363	1.052
63.026	93.455	98.331	1.052
64.003	3.284	2.874	0.875
65.020	6.916	7.620	1.102
68.049	5.931	6.747	1.138
69.033	101.551	102.340	1.008
69.070	101.551	102.598	1.010
71.049	99.011	106.729	1.078
71.086	98.928	106.697	1.079
73.065	175.049	188.350	1.076
75.044	214.008	239.263	1.118
75.068	213.917	239.199	1.118
77.060	48.136	50.103	1.041
78.046	6.487	6.620	1.021
79.054	27.169	27.407	1.009
80.049	3.673	3.520	0.958
81.070	47.710	46.808	0.981
82.078	5.981	5.747	0.961
82.989	110.713	122.092	1.103
83.010	110.829	122.189	1.102
83.049	110.796	122.189	1.103
83.086	110.432	121.705	1.102
83.911	8.420	8.974	1.066
84.081	11.340	11.978	1.056
84.919	260.791	272.646	1.045
85.065	288.352	301.294	1.045
85.101	287.484	300.196	1.044
86.036	22.736	24.210	1.065
86.060	22.769	24.210	1.063
86.096	22.761	24.178	1.062
87.044	34.303	37.196	1.084
87.080	34.287	37.132	1.083
88.112	6.849	7.490	1.094
89.023	330.582	338.862	1.025
89.042	330.549	338.797	1.025
89.060	330.583	338.830	1.025
89.096	330.526	338.734	1.025
90.055	18.277	19.172	1.049
91.039	74.359	77.411	1.041
91.050	74.450	77.604	1.042
91.058	74.508	77.669	1.042
92.062	27.183	27.082	0.996
93.033	640.127	646.804	1.010
93.070	640.169	646.805	1.010
94.041	51.526	49.479	0.960
95.049	39.865	42.453	1.065
95.086	39.857	42.453	1.065
96.057	4.690	5.038	1.074
97.040	30.091	30.509	1.014
97.065	30.099	30.574	1.016
97.101	30.074	30.606	1.018
97.967	5.071	5.230	1.031
98.975	31.321	32.833	1.048
99.080	31.421	33.059	1.052
99.092	31.429	33.027	1.051
99.104	31.404	32.995	1.051
99.117	31.379	32.962	1.050
101.060	34.547	34.639	1.003
101.096	34.580	34.639	1.002
102.025	5.584	5.231	0.937
102.068	5.567	5.167	0.928
102.104	5.559	5.167	0.929
102.128	5.559	5.199	0.935
103.032	26.995	27.212	1.008
103.042	27.004	27.277	1.010
103.075	26.962	27.245	1.010
103.112	26.946	27.180	1.009
103.123	26.905	27.148	1.009
104.047	2.879	2.938	1.021
104.049	2.879	2.938	1.021
104.062	2.887	2.938	1.018
105.037	8.346	8.007	0.959
105.057	8.379	8.040	0.959
105.070	8.371	7.975	0.953
106.078	3.069	3.035	0.989
107.049	59.329	57.554	0.970
107.086	59.329	57.554	0.970
108.057	8.834	8.329	0.943
108.081	8.826	8.362	0.947
108.093	8.810	8.329	0.945
109.065	25.822	26.149	1.013
109.076	25.838	26.214	1.015
109.089	25.847	26.246	1.015
109.101	25.847	26.246	1.015
110.060	3.292	3.132	0.951
110.073	3.300	3.132	0.949
110.084	3.300	3.099	0.939
110.109	3.300	3.099	0.939
111.080	15.384	15.949	1.037
111.092	15.351	15.884	1.035
111.104	15.335	15.852	1.034
111.117	15.343	15.884	1.035
112.007	3.077	2.809	0.913
112.052	3.102	2.906	0.937
112.088	3.127	2.970	0.950
112.112	3.135	3.035	0.968
113.015	14.525	13.754	0.947
113.060	14.483	13.786	0.952
113.096	14.459	13.786	0.953
113.107	14.426	13.754	0.953
114.091	11.928	12.913	1.083
114.128	11.919	12.913	1.083
115.075	13.738	13.107	0.954
115.112	13.713	13.107	0.956
115.123	13.721	13.139	0.958
116.143	3.267	3.357	1.028
117.070	54.111	53.747	0.993
117.078	54.086	53.715	0.993
117.091	54.103	53.747	0.993
117.102	54.111	53.747	0.993
117.127	54.028	53.747	0.995
118.065	4.442	4.972	1.119
118.078	4.442	4.972	1.119
118.081	4.442	4.972	1.119
118.086	4.434	4.972	1.121
119.060	11.035	10.267	0.930
119.086	11.002	10.235	0.930
120.081	1.605	1.517	0.946
121.052	31.701	30.733	0.969
121.065	31.668	30.733	0.970
121.089	31.660	30.733	0.971
121.101	31.652	30.669	0.969
122.060	3.822	4.166	1.090
122.084	3.830	4.198	1.096
122.096	3.830	4.166	1.088
123.092	14.623	15.496	1.060
124.039	2.556	2.486	0.973
124.057	2.572	2.551	0.992
125.042	12.490	11.946	0.956
125.060	12.507	11.978	0.958
125.071	12.523	12.043	0.962
125.084	12.548	12.043	0.960
125.096	12.515	12.011	0.960
125.107	12.515	11.979	0.957
125.120	12.490	11.946	0.956
127.112	20.241	22.568	1.115
127.136	20.158	22.374	1.110
127.903	3.027	3.648	1.205
128.120	3.267	3.907	1.196
128.143	3.284	3.907	1.190
128.911	10.489	11.591	1.105
129.045	11.035	12.107	1.097
129.070	11.010	12.043	1.094
129.091	11.010	11.978	1.088
129.127	10.985	12.011	1.093
129.139	10.928	11.881	1.087
129.151	10.746	11.785	1.097
131.060	10.373	9.557	0.921
131.107	10.299	9.460	0.919
131.143	10.224	9.331	0.913
131.154	10.208	9.266	0.908
132.066	1.513	1.001	0.661
132.102	1.513	1.001	0.661
133.065	5.932	6.265	1.056
133.101	5.742	5.942	1.035
135.080	10.671	10.817	1.014
135.117	10.654	10.817	1.015
137.047	20.115	19.402	0.965
137.060	20.131	19.435	0.965
137.060	20.131	19.435	0.965
137.071	20.123	19.402	0.964
137.132	20.123	19.273	0.958
139.148	9.256	9.298	1.005
144.175	2.465	2.195	0.891
145.076	30.395	30.410	1.001
145.122	30.444	30.475	1.001
145.962	3.962	4.520	1.141
145.968	3.971	4.520	1.138
146.970	4.235	4.294	1.014
146.976	4.244	4.326	1.019
148.088	0.860	0.581	0.676
148.125	0.827	0.549	0.664
149.096	27.327	26.924	0.985
151.075	8.901	8.298	0.932
152.120	1.745	1.711	0.980
153.055	10.943	11.848	1.083
153.070	10.918	11.815	1.082
153.127	10.943	11.880	1.086
153.151	10.943	11.880	1.086
153.980	1.853	1.711	0.924
155.086	14.143	13.528	0.956
155.107	14.152	13.528	0.956
155.142	14.168	13.528	0.955
157.159	7.346	7.039	0.958
159.174	13.740	15.111	1.100
161.132	2.324	2.648	1.139
162.128	0.835	0.871	1.043
163.063	5.220	5.489	1.051
163.075	5.237	5.489	1.048
163.099	5.261	5.489	1.043
163.123	5.295	5.521	1.043
163.136	5.278	5.521	1.046
163.148	5.278	5.521	1.046
165.091	3.391	2.938	0.866
165.985	0.893	0.807	0.904
166.062	0.860	0.742	0.863
166.078	0.860	0.742	0.863
166.135	0.868	0.774	0.892
167.070	5.129	5.134	1.001
167.086	5.104	5.134	1.006
174.140	8.421	7.943	0.943
175.148	1.894	1.679	0.886
178.062	0.984	1.291	1.312
178.123	0.959	1.259	1.312
179.086	1.580	1.743	1.104
179.107	1.588	1.775	1.118
179.128	1.588	1.775	1.118
179.929	0.769	0.678	0.881
180.081	0.810	0.710	0.876
180.093	0.802	0.710	0.885
180.151	0.769	0.710	0.923
180.937	8.587	9.493	1.106
181.076	8.529	9.364	1.098
181.101	8.545	9.428	1.103
181.159	8.496	9.493	1.117
181.170	8.504	9.493	1.116
182.109	1.141	1.259	1.103
183.047	6.643	5.973	0.899
183.080	6.626	5.973	0.901
186.140	0.703	0.774	1.102
187.148	1.753	1.678	0.957
188.937	0.876	0.742	0.847
189.164	0.786	0.549	0.698
191.143	2.292	2.163	0.944
192.093	2.026	2.357	1.163
193.101	4.592	5.006	1.090
193.122	4.509	4.941	1.096
194.154	1.547	1.776	1.148
195.065	1.977	1.646	0.833
195.138	1.944	1.614	0.830
197.132	1.869	1.162	0.622
199.148	3.036	3.229	1.064
201.139	15.004	14.368	0.958
201.233	14.987	14.400	0.961
203.086	1.315	1.420	1.080
203.154	1.307	1.356	1.038
204.187	0.604	0.710	1.176
205.157	1.588	1.776	1.118
205.195	1.596	1.776	1.112
211.148	9.754	10.850	1.112
228.093	7.933	8.912	1.123
228.269	7.908	8.847	1.119
237.164	1.166	1.001	0.858
239.007	1.513	1.323	0.874
239.179	1.547	1.323	0.856
150.000	876.417	873.239	0.996
