m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	111.583	111.194	0.997
18.010	7168.732	7127.735	0.994
18.034	7179.923	7138.667	0.994
19.018	516991.656	518732.156	1.003
21.022	1984.527	1986.975	1.001
26.015	6.661	6.879	1.033
27.010	49.131	48.873	0.995
27.994	28.706	28.730	1.001
28.006	28.781	28.924	1.005
28.018	28.814	28.730	0.997
28.031	28.839	28.795	0.998
29.002	5103.618	5099.657	0.999
29.013	5104.045	5100.231	0.999
29.026	5104.085	5100.247	0.999
29.039	5103.399	5099.441	0.999
29.997	3536.812	3542.642	1.002
30.021	3536.244	3542.265	1.002
30.034	3535.668	3541.670	1.002
30.046	3534.117	3539.844	1.002
31.005	85.052	88.524	1.041
31.018	85.126	88.750	1.043
31.029	85.002	88.492	1.041
31.042	84.903	88.234	1.039
31.054	84.423	87.782	1.040
31.989	59748.707	59807.082	1.001
32.049	59677.922	59737.488	1.001
32.989	6381.987	7004.764	1.098
32.989	6381.987	7004.764	1.098
32.997	6385.836	7009.080	1.098
33.033	6387.286	7010.059	1.098
33.045	6386.371	7009.262	1.098
33.987	339.347	350.482	1.033
33.997	339.466	350.712	1.033
34.005	339.303	350.682	1.034
34.995	22.427	23.215	1.035
35.005	22.460	23.151	1.031
35.976	6.520	6.524	1.001
36.984	15241.520	15172.646	0.995
37.028	15247.055	15178.018	0.995
41.002	638.217	667.508	1.046
41.026	638.445	667.707	1.046
41.039	638.439	667.579	1.046
42.034	111.641	113.411	1.016
43.018	1268.231	1335.543	1.053
43.054	1265.842	1332.978	1.053
43.989	59.617	60.658	1.017
44.001	59.550	60.755	1.020
44.062	59.095	59.980	1.015
44.997	864.345	840.460	0.972
45.033	864.153	840.369	0.972
45.992	58.327	58.142	0.997
46.021	58.394	58.465	1.001
47.013	202.117	192.975	0.955
47.037	202.067	192.878	0.955
47.049	201.985	192.846	0.955
47.060	201.910	192.717	0.954
47.984	6.403	6.071	0.948
49.011	7.809	8.266	1.059
49.992	7.675	6.908	0.900
51.000	8.569	8.750	1.021
52.012	1.861	1.873	1.006
52.018	1.853	1.873	1.011
53.026	9.006	8.587	0.953
53.939	3.490	3.648	1.045
54.046	3.540	3.584	1.012
54.947	136.019	139.123	1.023
57.033	532.419	579.551	1.089
57.070	532.362	579.520	1.089
59.049	2304.448	2425.203	1.052
59.086	2303.333	2423.757	1.052
61.028	1408.502	1506.633	1.070
61.065	1407.895	1505.828	1.070
62.995	139.378	143.612	1.030
63.026	139.303	143.612	1.031
64.003	3.929	4.165	1.060
65.020	7.528	7.297	0.969
68.049	7.147	6.651	0.931
69.033	103.462	103.112	0.997
69.070	103.454	103.112	0.997
71.049	104.082	108.571	1.043
71.086	104.066	108.474	1.042
73.065	225.230	231.370	1.027
75.044	319.276	331.056	1.037
75.068	319.144	330.862	1.037
77.060	53.386	54.555	1.022
78.046	7.579	7.105	0.937
79.054	27.972	28.797	1.030
80.049	3.516	3.423	0.974
81.070	49.679	48.193	0.970
82.078	5.717	5.716	1.000
82.989	113.404	113.922	1.005
83.010	113.470	113.955	1.004
83.049	113.453	113.955	1.004
83.086	113.098	113.665	1.005
83.911	8.966	8.847	0.987
84.081	11.614	11.495	0.990
84.919	304.730	311.043	1.021
85.065	330.902	337.517	1.020
85.101	329.861	336.419	1.020
86.036	25.291	25.921	1.025
86.060	25.291	25.954	1.026
86.096	25.241	25.921	1.027
87.044	37.065	38.096	1.028
87.080	37.082	38.097	1.027
88.112	7.346	7.071	0.963
89.023	440.830	446.613	1.013
89.042	440.822	446.549	1.013
89.060	440.806	446.549	1.013
89.096	440.741	446.420	1.013
90.055	22.991	22.661	0.986
91.039	84.276	85.287	1.012
91.050	84.458	85.287	1.010
91.058	84.516	85.352	1.010
92.062	29.888	29.794	0.997
93.033	695.458	693.557	0.997
93.070	695.526	693.819	0.998
94.041	55.256	54.548	0.987
95.049	38.865	39.869	1.026
95.086	38.832	39.902	1.028
96.057	4.980	4.747	0.953
97.040	30.861	31.673	1.026
97.065	30.828	31.641	1.026
97.101	30.778	31.609	1.027
97.967	4.996	5.037	1.008
98.975	30.892	30.251	0.979
99.080	30.892	30.284	0.980
99.092	30.884	30.251	0.980
