m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	107.612	103.860	0.965
18.010	7106.469	6989.661	0.984
18.034	7118.941	7002.371	0.984
19.018	516786.781	514917.719	0.996
21.022	1973.156	1978.723	1.003
26.015	6.512	5.814	0.893
27.010	44.132	42.706	0.968
27.994	27.266	25.533	0.936
28.006	27.249	25.177	0.924
28.018	27.335	25.177	0.921
28.031	27.352	25.242	0.923
29.002	4939.897	4936.257	0.999
29.013	4940.647	4937.077	0.999
29.026	4940.617	4937.251	0.999
29.039	4940.068	4936.769	0.999
29.997	3480.239	3466.101	0.996
30.021	3479.792	3465.448	0.996
30.034	3479.356	3464.910	0.996
30.046	3477.734	3463.378	0.996
31.005	78.292	82.257	1.051
31.018	78.292	82.322	1.051
31.029	78.283	82.322	1.052
31.042	78.215	81.999	1.048
31.054	77.753	81.709	1.051
31.989	58742.020	58733.297	1.000
32.049	58675.984	58668.402	1.000
32.989	5897.026	6956.213	1.180
32.989	5897.026	6956.213	1.180
32.997	5901.391	6961.399	1.180
33.033	5902.768	6962.250	1.179
33.045	5901.971	6961.642	1.180
33.987	327.626	341.552	1.043
33.997	327.629	341.717	1.043
34.005	327.674	341.753	1.043
34.995	20.439	22.958	1.123
35.005	20.499	23.023	1.123
35.976	6.119	6.298	1.029
36.984	16096.862	16067.753	0.998
37.028	16102.763	16074.649	0.998
41.002	552.331	569.395	1.031
41.026	552.634	569.786	1.031
41.039	552.498	569.690	1.031
42.034	103.951	103.468	0.995
43.018	1235.000	1309.916	1.061
43.054	1233.076	1307.804	1.061
43.989	57.591	59.496	1.033
44.001	57.642	59.529	1.033
44.062	57.215	59.432	1.039
44.997	697.692	668.651	0.958
45.033	697.636	668.751	0.959
45.992	54.831	52.072	0.950
46.021	54.839	52.169	0.951
47.013	222.251	209.211	0.941
47.037	222.277	209.243	0.941
47.049	222.234	209.243	0.942
47.060	222.200	209.308	0.942
47.984	7.058	7.136	1.011
49.011	11.727	11.364	0.969
49.992	8.519	8.102	0.951
51.000	8.640	8.878	1.028
52.012	1.403	1.098	0.782
52.018	1.386	1.098	0.792
53.026	8.006	8.039	1.004
53.939	3.636	3.520	0.968
54.046	3.696	3.585	0.970
54.947	122.390	123.455	1.009
57.033	429.272	449.990	1.048
57.070	429.153	449.830	1.048
59.049	1683.865	1764.083	1.048
59.086	1683.129	1763.774	1.048
61.028	1358.533	1460.048	1.075
61.065	1358.076	1459.635	1.075
62.995	100.442	103.496	1.030
63.026	100.502	103.561	1.030
64.003	3.242	3.358	1.036
65.020	6.057	6.167	1.018
68.049	6.014	6.522	1.084
69.033	98.222	100.723	1.025
69.070	98.154	100.433	1.023
71.049	98.331	101.821	1.035
71.086	98.305	101.660	1.034
73.065	166.296	174.831	1.051
75.044	376.715	398.566	1.058
75.068	376.527	398.308	1.058
77.060	50.090	51.041	1.019
78.046	6.469	6.394	0.988
79.054	26.669	26.825	1.006
80.049	3.858	3.681	0.954
81.070	53.230	46.935	0.882
82.078	6.006	5.263	0.876
82.989	89.990	92.767	1.031
83.010	90.118	92.993	1.032
83.049	90.101	92.961	1.032
83.086	89.947	92.896	1.033
83.911	8.238	8.200	0.995
84.081	10.813	11.301	1.045
84.919	243.420	251.411	1.033
85.065	269.813	279.076	1.034
85.101	269.317	278.817	1.035
86.036	21.922	22.112	1.009
86.060	21.931	22.144	1.010
86.096	21.888	22.112	1.010
87.044	30.632	30.929	1.010
87.080	30.632	30.897	1.009
88.112	7.640	7.588	0.993
89.023	401.311	412.236	1.027
89.042	401.328	412.204	1.027
89.060	401.303	412.237	1.027
89.096	401.158	411.914	1.027
90.055	21.442	22.370	1.043
91.039	75.183	75.700	1.007
91.050	75.320	76.087	1.010
91.058	75.491	76.087	1.008
92.062	28.275	28.503	1.008
93.033	661.949	656.882	0.992
93.070	662.019	656.787	0.992
94.041	53.766	52.966	0.985
95.049	38.987	36.739	0.942
95.086	38.928	36.707	0.943
96.057	4.859	5.069	1.043
97.040	29.169	28.864	0.990
97.065	29.186	28.799	0.987
97.101	29.195	28.735	0.984
97.967	4.936	4.939	1.001
98.975	29.322	30.250	1.032
99.080	29.442	30.185	1.025
99.092	29.408	30.088	1.023
99.104	29.391	30.088	1.024
99.117	29.373	30.088	1.024
101.060	34.530	34.639	1.003
101.096	34.530	34.639	1.003
102.025	5.543	5.134	0.926
102.068	5.543	5.101	0.920
102.104	5.586	5.134	0.919
102.128	5.595	5.134	0.918
103.032	28.620	25.503	0.891
103.042	28.620	25.535	0.892
103.075	28.645	25.664	0.896
103.112	28.637	25.664	0.896
103.123	28.637	25.664	0.896
