m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	120.556	120.397	0.999
18.010	7423.390	7456.251	1.004
18.034	7438.035	7470.455	1.004
19.018	516250.312	516614.906	1.001
21.022	1959.572	1952.102	0.996
26.015	6.574	6.105	0.929
27.010	36.944	40.156	1.087
27.994	29.184	27.632	0.947
28.006	29.176	27.599	0.946
28.018	29.258	27.761	0.949
28.031	29.234	27.567	0.943
29.002	4928.313	4924.912	0.999
29.013	4928.861	4925.285	0.999
29.026	4928.798	4925.172	0.999
29.039	4928.109	4924.502	0.999
29.997	3596.589	3569.649	0.993
30.021	3596.158	3569.297	0.993
30.034	3595.476	3568.310	0.992
30.046	3593.827	3566.228	0.992
31.005	168.554	182.441	1.082
31.018	168.563	182.538	1.083
31.029	168.358	181.990	1.081
31.042	167.824	181.441	1.081
31.054	166.832	180.537	1.082
31.989	61353.867	60305.238	0.983
32.049	61290.098	60238.773	0.983
32.989	20206.430	25406.020	1.257
32.989	20206.176	25405.762	1.257
32.997	20223.621	25427.525	1.257
33.033	20230.734	25434.928	1.257
33.045	20228.799	25432.441	1.257
33.987	517.476	577.205	1.115
33.997	517.498	577.568	1.116
34.005	517.445	577.444	1.116
34.995	54.798	66.891	1.221
35.005	54.765	66.988	1.223
35.976	9.109	10.141	1.113
36.984	11305.632	11452.936	1.013
37.028	11310.000	11457.543	1.013
41.002	457.364	508.181	1.111
41.026	457.482	508.184	1.111
41.039	457.352	507.991	1.111
42.034	130.105	119.776	0.921
43.018	1199.663	1340.804	1.118
43.054	1196.100	1337.760	1.118
43.989	64.140	66.311	1.034
44.001	64.172	66.214	1.032
44.062	63.327	65.051	1.027
44.997	1390.188	1603.221	1.153
45.033	1389.633	1602.980	1.154
45.992	60.861	65.473	1.076
46.021	60.762	65.441	1.077
47.013	165.540	171.469	1.036
47.037	165.499	171.436	1.036
47.049	165.523	171.372	1.035
47.060	165.523	171.307	1.035
47.984	5.407	5.328	0.985
49.011	4.431	4.746	1.071
49.992	8.080	8.200	1.015
51.000	18.381	21.755	1.184
52.012	1.608	1.485	0.924
52.018	1.616	1.485	0.919
53.026	8.269	8.814	1.066
53.939	4.094	4.746	1.159
54.046	4.135	4.618	1.117
54.947	88.618	98.554	1.112
57.033	340.226	394.571	1.160
57.070	340.005	394.411	1.160
59.049	4926.321	3730.135	0.757
59.086	4923.729	3728.053	0.757
61.028	1590.123	1812.881	1.140
61.065	1589.360	1812.051	1.140
62.995	111.647	117.773	1.055
63.026	111.622	117.773	1.055
64.003	3.660	4.133	1.129
65.020	6.884	7.007	1.018
68.049	5.464	5.941	1.087
69.033	62.629	65.790	1.050
69.070	62.564	65.855	1.053
71.049	61.139	68.596	1.122
71.086	61.139	68.466	1.120
73.065	179.027	207.430	1.159
75.044	227.447	276.703	1.217
75.068	227.398	276.606	1.216
77.060	57.283	59.789	1.044
78.046	8.411	8.590	1.021
79.054	22.393	24.211	1.081
80.049	2.912	2.712	0.931
81.070	38.937	42.385	1.089
82.078	4.389	4.650	1.059
82.989	51.486	54.659	1.062
83.010	51.519	54.659	1.061
83.049	51.634	54.627	1.058
83.086	51.560	54.659	1.060
83.911	6.391	6.329	0.990
84.081	7.991	8.073	1.010
84.919	177.831	177.239	0.997
85.065	197.133	198.088	1.005
85.101	196.985	197.894	1.005
86.036	16.725	15.720	0.940
86.060	16.742	15.720	0.939
86.096	16.766	15.688	0.936
87.044	25.511	30.088	1.179
87.080	25.454	30.056	1.181
88.112	10.073	11.783	1.170
89.023	136.351	149.071	1.093
89.042	136.384	149.103	1.093
89.060	136.351	149.039	1.093
89.096	136.310	148.910	1.092
90.055	8.507	9.330	1.097
91.039	82.314	85.320	1.037
91.050	82.569	85.450	1.035
91.058	82.659	85.450	1.034
92.062	43.184	42.576	0.986
93.033	1025.859	1014.741	0.989
93.070	1025.853	1014.646	0.989
94.041	81.711	80.443	0.984
95.049	29.072	31.477	1.083
95.086	29.072	31.541	1.085
96.057	4.398	5.166	1.175
97.040	19.024	21.533	1.132
97.065	18.983	21.501	1.133
97.101	19.007	21.533	1.133
97.967	3.938	4.069	1.033
98.975	15.504	15.238	0.983
99.080	15.512	15.271	0.984
99.092	15.496	15.271	0.985
99.104	15.520	15.271	0.984
99.117	15.520	15.271	0.984
101.060	23.879	25.633	1.073
101.096	23.895	25.665	1.074
102.025	3.503	3.552	1.014
102.068	3.487	3.487	1.000
102.104	3.487	3.455	0.991
102.128	3.446	3.455	1.003
103.032	21.285	23.694	1.113
103.042	21.285	23.726	1.115
103.075	21.261	23.694	1.114
103.112	21.236	23.629	1.113
103.123	21.195	23.629	1.115
104.047	2.469	2.615	1.059
104.049	2.469	2.615	1.059
104.062	2.461	2.551	1.036
105.037	37.794	38.832	1.027
105.057	37.786	38.928	1.030
105.070	37.778	38.896	1.030
106.078	4.734	4.940	1.044
107.049	33.812	35.252	1.043
107.086	33.762	35.188	1.042
108.057	5.095	5.231	1.027
108.081	5.071	5.231	1.032
108.093	5.079	5.231	1.030
109.065	20.827	23.115	1.110
109.076	20.811	23.115	1.111
109.089	20.827	23.147	1.111
109.101	20.819	23.147	1.112
110.060	2.576	2.227	0.865
110.073	2.576	2.227	0.865
110.084	2.601	2.227	0.857
110.109	2.617	2.227	0.851
111.080	8.672	8.782	1.013
111.092	8.672	8.782	1.013
111.104	8.664	8.750	1.010
111.117	8.664	8.750	1.010
112.007	1.928	2.098	1.089
112.052	1.928	2.131	1.105
112.088	1.903	2.098	1.103
112.112	1.928	2.131	1.105
113.015	9.484	10.106	1.066
113.060	9.476	10.042	1.060
113.096	9.500	10.010	1.054
113.107	9.492	10.010	1.055
114.091	9.369	9.750	1.041
114.128	9.361	9.750	1.042
115.075	8.320	7.459	0.897
115.112	8.295	7.427	0.895
115.123	8.303	7.427	0.894
116.143	1.821	2.034	1.117
117.070	29.530	30.152	1.021
117.078	29.514	30.152	1.022
117.091	29.538	30.152	1.021
117.102	29.522	30.119	1.020
117.127	29.399	30.119	1.025
118.065	2.650	2.615	0.987
118.078	2.658	2.615	0.984
118.081	2.658	2.615	0.984
118.086	2.658	2.583	0.972
119.060	9.853	9.719	0.986
119.086	9.861	9.719	0.986
120.081	1.304	1.291	0.990
121.052	19.982	21.273	1.065
121.065	19.990	21.241	1.063
121.089	19.982	21.241	1.063
121.101	19.982	21.241	1.063
122.060	2.707	2.260	0.835
122.084	2.682	2.228	0.830
122.096	2.682	2.228	0.830
123.092	9.000	9.719	1.080
124.039	1.682	1.582	0.941
124.057	1.673	1.582	0.945
125.042	6.933	6.942	1.001
125.060	6.933	6.942	1.001
125.071	6.917	6.942	1.004
125.084	6.917	6.942	1.004
125.096	6.941	6.942	1.000
125.107	6.941	6.910	0.996
125.120	6.941	6.910	0.996
127.112	11.895	12.526	1.053
127.136	11.862	12.526	1.056
127.903	2.494	2.195	0.880
128.120	2.568	2.357	0.918
128.143	2.543	2.357	0.927
128.911	8.015	7.652	0.955
129.045	8.204	7.910	0.964
129.070	8.220	7.910	0.962
129.091	8.171	7.813	0.956
