m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
122.060	3.375	3.616	1.072
122.084	3.375	3.616	1.072
122.096	3.383	3.649	1.078
123.092	9.769	9.685	0.991
124.039	1.787	2.034	1.138
124.057	1.778	2.034	1.144
125.042	8.504	9.460	1.112
125.060	8.512	9.460	1.111
125.071	8.521	9.460	1.110
125.084	8.512	9.460	1.111
125.096	8.504	9.428	1.109
125.107	8.504	9.428	1.109
125.120	8.521	9.428	1.106
127.112	14.144	14.626	1.034
127.136	14.103	14.497	1.028
127.903	2.357	2.615	1.109
128.120	2.531	2.551	1.008
128.143	2.539	2.583	1.017
128.911	9.239	9.556	1.034
129.045	9.661	9.847	1.019
129.070	9.653	9.847	1.020
129.091	9.653	9.879	1.023
129.127	9.645	9.912	1.028
129.139	9.645	9.912	1.028
129.151	9.645	9.912	1.028
131.060	9.927	11.173	1.126
131.107	9.919	11.141	1.123
131.143	9.894	11.044	1.116
131.154	9.877	10.979	1.112
132.066	1.439	1.646	1.144
132.102	1.431	1.582	1.105
133.065	6.843	7.267	1.062
133.101	6.562	6.815	1.039
135.080	8.173	7.976	0.976
135.117	8.099	7.912	0.977
137.047	42.603	48.005	1.127
137.060	42.611	47.973	1.126
137.060	42.611	47.973	1.126
137.071	42.611	47.973	1.126
137.132	42.628	48.038	1.127
139.148	7.395	7.878	1.065
144.175	1.894	1.937	1.023
145.076	24.976	25.372	1.016
145.122	24.960	25.404	1.018
145.962	3.333	2.550	0.765
145.968	3.333	2.550	0.765
146.970	3.872	4.198	1.084
146.976	3.839	4.166	1.085
148.088	1.001	0.936	0.936
148.125	0.959	0.968	1.010
149.096	37.806	39.675	1.049
151.075	9.628	10.525	1.093
152.120	1.877	2.034	1.083
153.055	7.379	7.329	0.993
153.070	7.379	7.329	0.993
153.127	7.387	7.296	0.988
153.151	7.412	7.296	0.984
153.980	1.621	1.905	1.175
155.086	9.174	9.816	1.070
155.107	9.132	9.816	1.075
155.142	9.149	9.816	1.073
157.159	5.617	6.199	1.104
159.174	19.041	21.955	1.153
161.132	2.341	2.228	0.952
162.128	0.753	0.613	0.815
163.063	4.533	4.714	1.040
163.075	4.542	4.746	1.045
163.099	4.508	4.682	1.038
163.123	4.525	4.682	1.035
163.136	4.525	4.682	1.035
163.148	4.517	4.649	1.029
165.091	2.291	2.357	1.029
165.985	0.926	1.001	1.080
166.062	0.926	1.033	1.115
166.078	0.951	1.001	1.052
166.135	0.984	1.001	1.017
167.070	3.259	3.810	1.169
167.086	3.251	3.810	1.172
174.140	5.526	5.522	0.999
175.148	1.381	1.711	1.239
178.062	1.406	1.388	0.987
178.123	1.406	1.485	1.056
179.086	1.513	1.614	1.067
179.107	1.522	1.582	1.040
179.128	1.513	1.582	1.045
179.929	0.604	0.581	0.963
180.081	0.579	0.581	1.004
180.093	0.587	0.581	0.990
180.151	0.579	0.516	0.892
180.937	23.952	26.567	1.109
181.076	24.027	26.664	1.110
181.101	24.027	26.664	1.110
181.159	24.019	26.664	1.110
181.170	24.027	26.664	1.110
182.109	1.737	2.227	1.283
183.047	4.789	4.843	1.011
183.080	4.756	4.843	1.018
186.140	0.670	0.871	1.301
187.148	1.762	1.646	0.935
188.937	1.455	1.485	1.020
189.164	1.340	1.388	1.036
191.143	3.607	3.520	0.976
192.093	2.532	2.519	0.995
193.101	5.808	6.007	1.034
193.122	5.701	5.878	1.031
194.154	2.292	2.616	1.141
195.065	2.109	2.389	1.133
195.138	2.060	2.357	1.144
197.132	1.580	1.485	0.940
199.148	3.085	4.004	1.298
201.139	13.209	13.881	1.051
201.233	13.184	13.817	1.048
203.086	1.116	1.162	1.041
203.154	1.083	1.097	1.013
204.187	0.529	0.710	1.342
205.157	1.505	1.840	1.223
205.195	1.513	1.840	1.216
211.148	14.990	16.984	1.133
228.093	13.301	14.238	1.070
228.269	13.359	14.109	1.056
237.164	1.191	1.194	1.003
239.007	1.307	1.420	1.087
239.179	1.381	1.517	1.098
150.000	934.405	996.038	1.066
