m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	107.940	104.247	0.966
18.010	6306.671	6259.136	0.992
18.034	6308.601	6262.563	0.993
19.018	543078.937	544524.500	1.003
21.022	1603.016	1603.648	1.000
26.015	4.775	4.909	1.028
27.010	23.455	26.083	1.112
27.994	23.502	23.014	0.979
28.006	23.577	22.949	0.973
28.018	23.511	22.852	0.972
28.031	23.544	22.852	0.971
29.002	4098.576	4071.655	0.993
29.013	4098.679	4071.486	0.993
29.026	4098.586	4071.479	0.993
29.039	4098.028	4070.843	0.993
29.997	2938.306	2931.829	0.998
30.021	2938.220	2931.736	0.998
30.034	2937.478	2930.877	0.998
30.046	2935.860	2928.819	0.998
31.005	117.449	142.392	1.212
31.018	117.490	142.328	1.211
31.029	117.325	142.231	1.212
31.042	116.878	141.844	1.214
31.054	116.308	141.037	1.213
31.989	52502.934	51999.316	0.990
32.049	52369.984	51882.109	0.991
32.989	12166.682	16163.309	1.328
32.989	12166.417	16163.115	1.329
32.997	12167.396	16164.115	1.328
33.033	12165.471	16161.961	1.329
33.045	12163.470	16158.929	1.328
33.987	380.321	426.963	1.123
33.997	380.224	426.870	1.123
34.005	380.044	426.549	1.122
34.995	37.593	45.973	1.223
35.005	37.717	46.360	1.229
35.976	5.619	6.266	1.115
36.984	7630.462	7599.136	0.996
37.028	7630.821	7599.520	0.996
41.002	249.224	275.381	1.105
41.026	249.059	275.220	1.105
41.039	248.952	275.350	1.106
42.034	98.135	90.222	0.919
43.018	745.878	848.848	1.138
43.054	742.799	845.629	1.138
43.989	39.988	44.195	1.105
44.001	39.963	44.260	1.108
44.062	39.185	43.000	1.097
44.997	1108.500	1290.661	1.164
45.033	1108.067	1290.380	1.165
45.992	45.993	48.391	1.052
46.021	46.067	48.650	1.056
47.013	121.162	132.213	1.091
47.037	121.195	132.245	1.091
47.049	121.129	132.148	1.091
47.060	121.113	132.148	1.091
47.984	3.814	3.811	0.999
49.011	3.077	3.100	1.007
49.992	6.179	6.101	0.987
51.000	9.735	12.169	1.250
52.012	0.844	0.710	0.842
52.018	0.835	0.710	0.850
53.026	10.536	10.620	1.008
53.939	3.515	3.519	1.001
54.046	3.565	3.584	1.005
54.947	142.762	145.162	1.017
57.033	119.351	140.963	1.181
57.070	119.260	140.866	1.181
59.049	1759.904	2182.613	1.240
59.086	1758.577	2180.810	1.240
61.028	1135.559	1292.113	1.138
61.065	1135.042	1291.504	1.138
62.995	12.960	14.010	1.081
63.026	12.977	13.978	1.077
64.003	1.365	1.388	1.017
65.020	2.027	1.970	0.972
68.049	3.681	3.519	0.956
69.033	68.714	69.917	1.018
69.070	68.681	69.885	1.018
71.049	28.970	30.699	1.060
71.086	29.020	30.731	1.059
73.065	113.546	133.923	1.179
75.044	155.789	185.273	1.189
75.068	155.706	185.144	1.189
77.060	21.290	21.760	1.022
78.046	3.756	4.101	1.092
79.054	19.574	18.623	0.951
80.049	3.069	2.809	0.915
81.070	63.976	44.961	0.703
82.078	6.642	5.262	0.792
82.989	70.536	69.888	0.991
