m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	112.899	113.808	1.008
18.010	7208.187	7155.714	0.993
18.034	7219.992	7166.604	0.993
19.018	517200.156	515543.781	0.997
21.022	1986.662	1987.868	1.001
26.015	6.777	7.073	1.044
27.010	45.997	49.225	1.070
27.994	28.251	28.504	1.009
28.006	28.317	28.697	1.013
28.018	28.342	28.827	1.017
28.031	28.276	28.730	1.016
29.002	5161.778	5151.365	0.998
29.013	5162.250	5151.835	0.998
29.026	5162.194	5152.016	0.998
29.039	5161.550	5151.504	0.998
29.997	3549.818	3555.261	1.002
30.021	3549.426	3555.135	1.002
30.034	3548.773	3554.112	1.002
30.046	3546.875	3552.226	1.002
31.005	85.407	87.552	1.025
31.018	85.465	87.391	1.023
31.029	85.333	87.423	1.024
31.042	85.076	87.294	1.026
31.054	84.787	87.068	1.027
31.989	60118.562	60119.379	1.000
32.049	60049.926	60055.715	1.000
32.989	6444.256	7058.493	1.095
32.989	6444.256	7058.493	1.095
32.997	6448.232	7062.770	1.095
33.033	6449.421	7064.325	1.095
33.045	6448.536	7063.345	1.095
33.987	340.415	353.763	1.039
33.997	340.236	353.766	1.040
34.005	340.130	353.770	1.040
34.995	23.494	24.444	1.040
35.005	23.594	24.411	1.035
35.976	6.404	6.491	1.014
36.984	14341.056	14172.176	0.988
37.028	14345.127	14176.189	0.988
41.002	547.168	568.189	1.038
41.026	547.370	568.515	1.039
41.039	547.347	568.290	1.038
42.034	116.069	118.902	1.024
43.018	1095.910	1147.974	1.048
43.054	1093.534	1145.764	1.048
43.989	55.215	57.786	1.047
44.001	55.223	57.754	1.046
44.062	54.868	57.302	1.044
44.997	701.008	707.556	1.009
45.033	700.622	707.237	1.009
45.992	54.878	50.750	0.925
46.021	54.812	50.621	0.924
47.013	206.873	204.262	0.987
47.037	206.774	204.197	0.988
47.049	206.766	204.100	0.987
47.060	206.724	204.133	0.987
47.984	6.039	6.232	1.032
49.011	5.948	6.361	1.069
49.992	7.791	7.134	0.916
51.000	8.958	9.557	1.067
52.012	3.061	3.487	1.139
52.018	3.085	3.487	1.130
53.026	9.032	8.523	0.944
53.939	4.947	5.425	1.097
54.046	4.947	5.457	1.103
54.947	129.729	132.597	1.022
57.033	410.109	442.041	1.078
57.070	410.093	441.816	1.077
59.049	2169.469	2269.836	1.046
59.086	2168.230	2268.328	1.046
61.028	1203.313	1296.307	1.077
61.065	1202.970	1295.894	1.077
62.995	124.068	125.102	1.008
63.026	123.993	125.135	1.009
64.003	3.458	3.907	1.130
65.020	6.791	7.685	1.132
68.049	6.510	6.877	1.056
69.033	98.200	98.593	1.004
69.070	98.085	98.560	1.005
71.049	89.024	92.392	1.038
71.086	88.950	92.360	1.038
73.065	201.785	215.421	1.068
75.044	261.689	277.869	1.062
75.068	261.574	277.837	1.062
77.060	53.537	54.139	1.011
78.046	7.355	6.910	0.940
79.054	26.722	24.922	0.933
80.049	3.598	3.325	0.924
81.070	48.198	46.062	0.956
82.078	5.791	5.651	0.976
82.989	103.806	105.106	1.013
83.010	103.823	105.009	1.011
83.049	103.814	104.848	1.010
83.086	103.600	104.686	1.010
83.911	9.024	9.297	1.030
84.081	11.026	11.041	1.001
84.919	259.712	268.016	1.032
85.065	281.350	290.477	1.032
85.101	280.498	289.832	1.033
86.036	22.893	22.921	1.001
86.060	22.885	22.857	0.999
86.096	22.918	22.857	0.997
87.044	34.351	35.062	1.021
87.080	34.318	35.062	1.022
88.112	6.783	6.684	0.985
89.023	417.688	417.066	0.999
89.042	417.754	417.099	0.998
89.060	417.713	417.067	0.998
89.096	417.639	417.035	0.999
90.055	21.883	21.724	0.993
91.039	84.358	82.997	0.984
91.050	84.523	83.255	0.985
91.058	84.540	83.320	0.986
92.062	31.509	30.213	0.959
93.033	723.171	709.511	0.981
93.070	723.247	709.677	0.981
94.041	57.415	56.198	0.979
95.049	38.426	38.060	0.990
95.086	38.451	37.996	0.988
96.057	5.013	4.714	0.940
97.040	29.554	30.509	1.032
97.065	29.595	30.573	1.033
97.101	29.570	30.574	1.034
97.967	5.137	4.940	0.962
98.975	29.535	29.215	0.989
99.080	29.634	29.280	0.988
99.092	29.634	29.280	0.988
99.104	29.626	29.215	0.986
99.117	29.642	29.248	0.987
101.060	34.223	32.346	0.945
101.096	34.190	32.250	0.943
102.025	6.113	5.974	0.977
102.068	6.097	5.974	0.980
102.104	6.064	5.877	0.969
102.128	6.006	5.813	0.968
103.032	25.424	23.114	0.909
103.042	25.416	23.114	0.909
103.075	25.399	23.114	0.910
103.112	25.333	23.082	0.911
103.123	25.300	22.985	0.908
104.047	2.705	2.551	0.943
104.049	2.713	2.583	0.952
104.062	2.713	2.583	0.952
105.037	8.685	9.201	1.059
105.057	8.652	9.201	1.063
105.070	8.660	9.201	1.062
