m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	133.710	133.154	0.996
18.010	8265.790	8219.614	0.994
18.034	8273.552	8228.565	0.995
19.018	508566.500	509418.437	1.002
21.022	2126.554	2122.553	0.998
26.015	7.287	6.912	0.949
27.010	44.523	46.065	1.035
27.994	35.230	36.121	1.025
28.006	35.421	36.476	1.030
28.018	35.509	36.509	1.028
28.031	35.556	36.735	1.033
29.002	6900.351	6866.058	0.995
29.013	6900.531	6865.991	0.995
29.026	6900.312	6865.385	0.995
29.039	6898.839	6864.072	0.995
29.997	3943.058	3945.675	1.001
30.021	3942.417	3945.210	1.001
30.034	3941.433	3944.497	1.001
30.046	3938.339	3940.968	1.001
31.005	89.653	90.431	1.009
31.018	89.709	90.689	1.011
31.029	89.542	90.560	1.011
31.042	88.851	89.947	1.012
31.054	88.033	88.914	1.010
31.989	68808.945	68586.477	0.997
32.049	68691.391	68484.242	0.997
32.989	4199.526	5111.866	1.217
32.989	4199.526	5111.866	1.217
32.997	4200.309	5112.840	1.217
33.033	4199.369	5113.495	1.218
33.045	4198.357	5112.297	1.218
33.987	344.850	355.421	1.031
33.997	344.798	355.165	1.030
34.005	344.753	355.168	1.030
34.995	18.647	19.601	1.051
35.005	18.774	19.762	1.053
35.976	6.723	6.977	1.038
36.984	9849.324	9913.699	1.007
37.028	9850.211	9914.218	1.006
41.002	373.935	402.386	1.076
41.026	373.953	402.388	1.076
41.039	373.731	402.066	1.076
42.034	119.081	121.777	1.023
43.018	1072.156	1163.231	1.085
43.054	1068.810	1159.340	1.085
43.989	58.209	60.011	1.031
44.001	58.138	60.011	1.032
44.062	57.550	59.753	1.038
44.997	874.920	901.271	1.030
45.033	874.551	900.921	1.030
45.992	66.115	66.183	1.001
46.021	66.044	66.054	1.000
47.013	190.901	185.537	0.972
47.037	190.901	185.601	0.972
47.049	190.925	185.505	0.972
47.060	190.854	185.505	0.972
47.984	5.680	6.200	1.091
49.011	4.751	4.424	0.931
49.992	5.751	6.263	1.089
51.000	4.719	5.070	1.074
52.012	1.708	1.840	1.078
52.018	1.700	1.840	1.083
53.026	10.182	10.524	1.034
53.939	4.520	3.939	0.871
54.046	4.520	4.036	0.893
54.947	133.449	135.602	1.016
57.033	204.726	235.120	1.148
57.070	204.639	235.023	1.148
59.049	2544.989	2687.427	1.056
59.086	2543.269	2685.242	1.056
61.028	1309.341	1426.919	1.090
61.065	1308.647	1426.149	1.090
62.995	79.918	81.054	1.014
63.026	79.855	81.054	1.015
64.003	2.884	2.842	0.985
65.020	4.410	4.876	1.106
68.049	3.400	3.519	1.035
69.033	93.272	91.651	0.983
69.070	93.200	91.555	0.982
71.049	58.668	62.078	1.058
71.086	58.613	62.143	1.060
73.065	119.067	132.210	1.110
75.044	240.603	273.301	1.136
75.068	240.556	273.237	1.136
77.060	68.592	69.311	1.010
78.046	10.320	10.785	1.045
79.054	25.478	26.309	1.033
80.049	4.377	4.101	0.937
81.070	41.988	41.219	0.982
82.078	5.807	6.456	1.112
82.989	100.876	110.177	1.092
83.010	100.884	110.209	1.092
83.049	100.773	110.080	1.092
83.086	99.804	108.982	1.092
83.911	10.192	10.235	1.004
84.081	11.194	11.560	1.033
84.919	83.578	90.248	1.080
85.065	86.018	92.413	1.074
85.101	83.366	89.637	1.075
86.036	11.280	11.462	1.016
86.060	11.272	11.430	1.014
86.096	11.177	11.398	1.020
87.044	32.719	34.320	1.049
87.080	32.639	34.127	1.046
88.112	6.959	6.812	0.979
89.023	459.866	465.789	1.013
89.042	459.795	465.790	1.013
89.060	459.780	465.629	1.013
89.096	459.462	465.209	1.013
90.055	24.287	23.372	0.962
91.039	103.130	106.343	1.031
91.050	103.432	106.666	1.031
91.058	103.528	106.731	1.031
92.062	46.467	49.194	1.059
93.033	1056.893	1058.636	1.002
93.070	1056.895	1058.704	1.002
94.041	83.160	82.734	0.995
95.049	37.926	38.611	1.018
95.086	37.902	38.482	1.015
96.057	5.156	5.909	1.146
97.040	31.812	30.251	0.951
97.065	31.781	30.186	0.950
97.101	31.765	30.218	0.951
97.967	7.070	7.006	0.991
98.975	24.781	25.018	1.010
99.080	24.821	25.147	1.013
99.092	24.836	25.180	1.014
99.104	24.813	25.147	1.013
99.117	24.813	25.083	1.011
101.060	30.277	32.639	1.078
101.096	30.246	32.606	1.078
102.025	6.427	6.361	0.990
102.068	6.395	6.393	1.000
102.104	6.411	6.426	1.002
102.128	6.403	6.361	0.993
103.032	22.667	23.307	1.028
103.042	22.667	23.307	1.028
103.075	22.667	23.339	1.030
103.112	22.620	23.404	1.035
103.123	22.564	23.404	1.037
104.047	2.597	3.002	1.156
104.049	2.597	3.002	1.156
104.062	2.597	3.002	1.156
105.037	8.054	8.298	1.030
105.057	8.142	8.330	1.023
105.070	8.150	8.330	1.022
106.078	2.971	2.938	0.989
107.049	57.475	57.975	1.009
107.086	57.412	57.943	1.009
108.057	9.127	9.202	1.008
108.081	9.104	9.170	1.007
108.093	9.119	9.202	1.009
109.065	21.556	20.660	0.958
109.076	21.540	20.660	0.959
109.089	21.532	20.693	0.961
109.101	21.524	20.693	0.961
110.060	3.479	3.842	1.104
110.073	3.471	3.842	1.107
110.084	3.487	3.874	1.111
110.109	3.463	3.842	1.109
111.080	15.187	14.915	0.982
111.092	15.187	14.947	0.984
111.104	15.202	14.979	0.985
111.117	15.179	14.947	0.985
112.007	4.734	4.811	1.016
112.052	4.735	4.746	1.002
112.088	4.750	4.779	1.006
112.112	4.758	4.811	1.011
113.015	12.104	12.686	1.048
113.060	12.073	12.654	1.048
113.096	12.073	12.686	1.051
113.107	12.097	12.719	1.051
114.091	11.939	11.753	0.984
114.128	11.987	11.785	0.983
115.075	11.328	10.913	0.963
115.112	11.328	10.913	0.963
115.123	11.288	10.913	0.967
116.143	3.114	2.583	0.829
117.070	37.212	37.737	1.014
117.078	37.165	37.704	1.015
117.091	37.133	37.672	1.015
117.102	37.006	37.575	1.015
117.127	36.569	37.285	1.020
118.065	3.169	2.809	0.886
118.078	3.161	2.809	0.888
