m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	110.366	110.449	1.001
18.010	7346.507	7326.268	0.997
18.034	7363.050	7342.960	0.997
19.018	514211.719	515083.219	1.002
21.022	1988.305	1976.937	0.994
26.015	6.579	6.362	0.967
27.010	26.476	25.214	0.952
27.994	26.863	26.470	0.985
28.006	26.889	26.503	0.986
28.018	26.902	26.470	0.984
28.031	27.084	26.406	0.975
29.002	4840.369	4836.809	0.999
29.013	4840.818	4837.053	0.999
29.026	4840.703	4837.100	0.999
29.039	4840.202	4836.493	0.999
29.997	3576.396	3584.895	1.002
30.021	3575.936	3584.541	1.002
30.034	3575.332	3583.943	1.002
30.046	3573.652	3582.387	1.002
31.005	110.179	110.198	1.000
31.018	110.140	110.133	1.000
31.029	110.127	110.198	1.001
31.042	109.477	109.520	1.000
31.054	107.918	107.971	1.000
31.989	62365.492	62420.566	1.001
32.049	62300.719	62355.371	1.001
32.989	5658.662	5664.546	1.001
32.989	5658.297	5664.223	1.001
32.997	5663.187	5669.363	1.001
33.033	5664.807	5670.212	1.001
33.045	5664.298	5669.762	1.001
33.987	337.355	335.879	0.996
33.997	337.333	335.654	0.995
34.005	337.401	335.463	0.994
34.995	22.516	21.987	0.977
35.005	22.438	21.826	0.973
35.976	6.827	6.621	0.970
36.984	14392.660	14386.257	1.000
37.028	14399.338	14394.566	1.000
41.002	349.063	335.409	0.961
41.026	349.509	336.029	0.961
41.039	349.407	335.965	0.962
42.034	144.416	148.944	1.031
43.018	1050.043	986.711	0.940
43.054	1046.312	983.344	0.940
43.989	60.412	60.534	1.002
44.001	60.412	60.470	1.001
44.062	58.879	59.049	1.003
44.997	398.259	372.170	0.934
45.033	398.144	372.140	0.935
45.992	45.247	44.554	0.985
46.021	45.169	44.554	0.986
47.013	128.269	130.085	1.014
47.037	128.217	130.118	1.015
47.049	128.217	130.118	1.015
47.060	128.126	130.086	1.015
47.984	3.978	4.424	1.112
49.011	2.912	2.841	0.976
49.992	9.059	9.363	1.034
51.000	7.422	7.426	1.001
52.012	1.313	1.420	1.082
52.018	1.339	1.453	1.085
53.026	6.629	6.942	1.047
53.939	2.769	2.744	0.991
54.046	2.717	2.712	0.998
54.947	86.070	81.407	0.946
57.033	245.742	232.793	0.947
57.070	245.742	232.890	0.948
59.049	7875.280	8222.610	1.044
59.086	7870.960	8217.435	1.044
61.028	1321.052	1212.612	0.918
61.065	1320.396	1212.069	0.918
62.995	143.400	134.890	0.941
63.026	143.478	135.052	0.941
64.003	3.991	4.166	1.044
65.020	6.045	5.618	0.929
68.049	7.136	6.974	0.977
69.033	62.512	61.174	0.979
69.070	62.447	61.078	0.978
71.049	51.775	49.355	0.953
71.086	51.827	49.356	0.952
73.065	227.017	211.218	0.930
75.044	131.218	116.062	0.884
75.068	131.127	115.997	0.885
77.060	49.195	48.524	0.986
78.046	6.969	6.976	1.001
79.054	24.420	24.758	1.014
80.049	3.601	3.551	0.986
81.070	58.934	60.134	1.020
82.078	5.967	5.973	1.001
82.989	50.143	51.813	1.033
83.010	50.208	52.007	1.036
83.049	50.221	52.104	1.038
83.086	50.234	51.943	1.034
83.911	7.045	6.167	0.875
84.081	9.022	8.266	0.916
84.919	248.000	239.135	0.964
85.065	270.517	261.162	0.965
85.101	270.349	261.066	0.966
86.036	21.821	20.757	0.951
86.060	21.782	20.725	0.951
86.096	21.743	20.725	0.953
87.044	20.612	19.530	0.948
87.080	20.599	19.498	0.947
88.112	5.304	5.231	0.986
89.023	127.884	118.093	0.923
89.042	127.897	118.125	0.924
89.060	127.871	118.125	0.924
89.096	127.832	118.125	0.924
90.055	7.747	6.780	0.875
91.039	81.111	79.510	0.980
91.050	81.268	79.640	0.980
91.058	81.359	79.801	0.981
92.062	38.790	41.639	1.073
93.033	878.458	904.688	1.030
93.070	878.421	904.754	1.030
94.041	69.965	73.079	1.045
95.049	32.103	31.703	0.988
95.086	32.038	31.606	0.987
96.057	4.108	4.521	1.100
97.040	18.768	18.370	0.979
97.065	18.768	18.402	0.980
97.101	18.716	18.370	0.981
97.967	4.316	3.842	0.890
98.975	26.527	26.699	1.006
99.080	26.462	26.505	1.002
99.092	26.449	26.505	1.002
99.104	26.436	26.505	1.003
99.117	26.410	26.440	1.001
101.060	27.877	28.084	1.007
101.096	27.877	28.020	1.005
102.025	4.251	4.391	1.033
102.068	4.251	4.358	1.025
102.104	4.264	4.326	1.015
102.128	4.225	4.262	1.009
103.032	18.572	19.436	1.046
103.042	18.598	19.468	1.047
103.075	18.624	19.500	1.047
103.112	18.559	19.468	1.049
103.123	18.546	19.468	1.050
104.047	2.301	2.357	1.024
104.049	2.301	2.357	1.024
104.062	2.314	2.389	1.033
105.037	52.357	53.353	1.019
105.057	52.292	53.321	1.020
105.070	52.266	53.224	1.018
106.078	5.927	6.232	1.051
107.049	44.030	45.127	1.025
107.086	44.043	45.095	1.024
108.057	6.500	7.039	1.083
108.081	6.526	7.104	1.089
108.093	6.526	7.072	1.084
109.065	23.628	24.050	1.018
109.076	23.641	24.083	1.019
109.089	23.615	23.986	1.016
109.101	23.615	24.018	1.017
110.060	2.860	2.486	0.869
110.073	2.873	2.454	0.854
110.084	2.834	2.486	0.877
110.109	2.782	2.486	0.894
111.080	9.801	9.202	0.939
111.092	9.788	9.202	0.940
111.104	9.814	9.202	0.938
111.117	9.814	9.202	0.938
112.007	2.275	2.389	1.050
112.052	2.327	2.422	1.041
112.088	2.327	2.389	1.027
112.112	2.392	2.454	1.026
113.015	9.047	8.782	0.971
113.060	9.034	8.749	0.969
113.096	8.969	8.717	0.972
113.107	8.982	8.717	0.971
114.091	9.359	9.009	0.963
114.128	9.333	9.009	0.965
115.075	8.865	8.718	0.983
115.112	8.878	8.847	0.996
115.123	8.839	8.879	1.005
116.143	1.871	1.743	0.931
117.070	34.962	34.996	1.001
117.078	34.988	35.028	1.001
117.091	35.001	35.060	1.002
117.102	34.975	35.060	1.002
117.127	34.845	34.996	1.004
118.065	2.704	2.680	0.991
118.078	2.704	2.680	0.991
118.081	2.704	2.680	0.991
118.086	2.704	2.680	0.991
119.060	14.765	13.688	0.927
119.086	14.778	13.721	0.928
120.081	1.664	1.485	0.893
121.052	24.642	25.600	1.039
121.065	24.629	25.567	1.038
121.089	24.577	25.535	1.039
121.101	24.538	25.503	1.039
122.060	3.302	3.423	1.037
122.084	3.263	3.390	1.039
122.096	3.289	3.423	1.041
123.092	9.190	9.105	0.991
124.039	1.469	1.549	1.055
124.057	1.469	1.582	1.077
125.042	8.189	8.363	1.021
125.060	8.163	8.330	1.020
125.071	8.150	8.330	1.022
125.084	8.163	8.363	1.024
125.096	8.151	8.330	1.022
125.107	8.164	8.330	1.020
125.120	8.138	8.266	1.016
127.112	14.414	13.946	0.968
127.136	14.375	13.914	0.968
127.903	2.444	2.260	0.925
128.120	2.535	2.357	0.930
128.143	2.574	2.454	0.953
128.911	9.424	9.297	0.987
129.045	9.697	9.459	0.975
129.070	9.684	9.459	0.977
129.091	9.697	9.459	0.975
129.127	9.749	9.427	0.967
129.139	9.749	9.427	0.967
129.151	9.723	9.427	0.970
131.060	8.488	8.524	1.004
131.107	8.540	8.589	1.006
131.143	8.527	8.492	0.996
131.154	8.514	8.460	0.994
132.066	1.325	1.259	0.950
132.102	1.326	1.259	0.950
133.065	5.227	4.134	0.791
133.101	4.928	3.908	0.793
135.080	7.085	7.201	1.016
135.117	7.059	7.136	1.011
137.047	36.885	37.416	1.014
137.060	36.872	37.416	1.015
137.060	36.872	37.416	1.015
137.071	36.885	37.416	1.014
137.132	36.911	37.416	1.014
139.148	6.253	6.877	1.100
