m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	122.295	117.325	0.959
18.010	7715.603	7529.969	0.976
18.034	7726.515	7541.625	0.976
19.018	513759.187	513210.156	0.999
21.022	2013.148	2017.250	1.002
26.015	6.960	6.686	0.961
27.010	52.718	58.106	1.102
27.994	30.582	30.343	0.992
28.006	30.721	30.343	0.988
28.018	30.818	30.537	0.991
28.031	30.761	30.408	0.989
29.002	5565.946	5560.667	0.999
29.013	5566.472	5561.150	0.999
29.026	5566.321	5561.303	0.999
29.039	5565.641	5561.275	0.999
29.997	3629.700	3627.728	0.999
30.021	3629.375	3627.210	0.999
30.034	3628.735	3626.479	0.999
30.046	3626.644	3624.381	0.999
31.005	87.657	90.881	1.037
31.018	87.608	90.978	1.038
31.029	87.413	91.010	1.041
31.042	87.217	90.526	1.038
31.054	86.697	90.074	1.039
31.989	62026.766	61850.641	0.997
32.049	61954.590	61780.648	0.997
32.989	6937.557	8590.717	1.238
32.989	6937.557	8590.717	1.238
32.997	6941.500	8596.556	1.238
33.033	6942.143	8597.111	1.238
33.045	6941.090	8596.002	1.238
33.987	352.690	370.615	1.051
33.997	352.587	370.263	1.050
34.005	352.737	370.202	1.050
34.995	24.031	26.572	1.106
35.005	24.129	26.959	1.117
35.976	6.805	7.396	1.087
36.984	12389.076	12658.065	1.022
37.028	12392.404	12661.754	1.022
41.002	605.496	682.015	1.126
41.026	605.697	682.411	1.127
41.039	605.609	682.347	1.127
42.034	104.267	99.140	0.951
43.018	1411.157	1535.144	1.088
43.054	1408.495	1531.713	1.087
43.989	64.137	66.179	1.032
44.001	63.991	66.147	1.034
44.062	63.429	65.824	1.038
44.997	893.963	968.166	1.083
45.033	893.650	967.558	1.083
45.992	64.002	62.533	0.977
46.021	63.888	62.307	0.975
47.013	176.359	157.898	0.895
47.037	176.310	157.898	0.896
47.049	176.318	157.866	0.895
47.060	176.286	157.834	0.895
47.984	5.697	5.424	0.952
49.011	4.924	4.877	0.990
49.992	7.209	7.587	1.052
51.000	8.422	10.364	1.231
52.012	2.156	2.034	0.943
52.018	2.132	1.970	0.924
53.026	10.235	10.910	1.066
53.939	4.020	3.809	0.948
55.046	4.069	3.971	0.976
54.947	137.325	145.101	1.057
57.033	441.327	509.173	1.154
57.070	441.214	509.046	1.154
59.049	2047.522	2093.736	1.023
59.086	2046.243	2092.356	1.023
61.028	1677.474	1815.665	1.082
61.065	1676.708	1814.934	1.082
62.995	127.708	135.891	1.064
63.026	127.635	135.730	1.063
64.003	3.605	4.133	1.146
65.020	6.828	7.684	1.125
68.049	6.469	6.554	1.013
69.033	101.504	105.858	1.043
69.070	101.455	105.762	1.042
71.049	95.959	106.504	1.110
71.086	95.935	106.504	1.110
73.065	156.712	161.805	1.032
75.044	291.526	338.926	1.163
75.068	291.307	338.797	1.163
77.060	56.603	56.847	1.004
78.046	7.862	7.911	1.006
79.054	28.339	27.408	0.967
80.049	3.939	4.003	1.016
81.070	81.740	46.580	0.570
82.078	8.006	6.038	0.754
82.989	117.971	133.423	1.131
83.010	118.077	133.488	1.131
83.049	117.979	133.391	1.131
83.086	117.540	132.778	1.130
83.911	9.349	9.491	1.015
84.081	11.116	11.719	1.054
84.919	236.880	249.089	1.052
85.065	252.753	266.978	1.056
85.101	251.036	264.880	1.055
86.036	19.917	20.951	1.052
86.060	19.860	20.919	1.053
86.096	19.852	20.887	1.052
87.044	38.270	40.652	1.062
87.080	38.230	40.490	1.059
88.112	8.032	8.136	1.013
89.023	470.380	495.772	1.054
89.042	470.364	495.740	1.054
89.060	470.372	495.708	1.054
89.096	470.251	495.515	1.054
90.055	24.408	25.599	1.049
91.039	84.885	84.966	1.001
91.050	85.122	85.128	1.000
91.058	85.236	85.386	1.002
92.062	34.211	32.118	0.939
93.033	781.519	781.931	1.001
93.070	781.497	781.802	1.000
94.041	62.346	63.877	1.025
95.049	45.180	38.062	0.842
95.086	45.180	38.095	0.843
96.057	5.485	5.296	0.966
97.040	30.953	30.930	0.999
97.065	30.912	30.898	1.000
97.101	30.880	30.865	1.000
97.967	5.558	5.845	1.052
98.975	28.624	29.280	1.023
99.080	28.657	29.216	1.020
99.092	28.673	29.216	1.019
99.104	28.689	29.248	1.019
99.117	28.697	29.216	1.018
101.060	33.189	33.285	1.003
101.096	33.180	33.285	1.003
102.025	6.623	6.232	0.941
102.068	6.640	6.232	0.939
102.104	6.648	6.264	0.942
102.128	6.664	6.200	0.930
103.032	33.871	26.084	0.770
103.042	33.879	26.084	0.770
103.075	33.871	26.051	0.769
103.112	33.871	26.084	0.770
103.123	33.830	26.051	0.770
104.047	3.784	2.777	0.734
104.049	3.784	2.777	0.734
104.062	3.776	2.744	0.727
105.037	9.764	8.492	0.870
105.057	9.756	8.557	0.877
105.070	9.756	8.557	0.877
106.078	3.002	2.873	0.957
107.049	63.066	60.198	0.955
107.086	63.098	60.295	0.956
108.057	10.155	9.461	0.932
108.081	10.163	9.558	0.940
108.093	10.155	9.526	0.938
109.065	23.285	23.048	0.990
109.076	23.302	23.048	0.989
109.089	23.326	23.080	0.989
109.101	23.302	23.048	0.989
110.060	3.401	3.164	0.930
110.073	3.402	3.164	0.930
110.084	3.418	3.229	0.945
110.109	3.418	3.229	0.945
111.080	15.761	15.593	0.989
111.092	15.777	15.593	0.988
111.104	15.761	15.593	0.989
111.117	15.737	15.560	0.989
112.007	3.922	3.713	0.947
112.052	3.939	3.713	0.943
112.088	3.939	3.649	0.926
112.112	3.955	3.649	0.923
113.015	14.003	12.913	0.922
113.060	13.979	12.945	0.926
113.096	13.954	12.881	0.923
113.107	13.946	12.881	0.924
114.091	11.156	10.074	0.903
114.128	11.148	10.074	0.904
115.075	11.953	10.912	0.913
115.112	11.921	10.944	0.918
115.123	11.929	10.976	0.920
116.143	4.004	3.455	0.863
117.070	42.275	42.290	1.000
117.078	42.242	42.290	1.001
117.091	42.234	42.257	1.001
117.102	42.218	42.225	1.000
117.127	42.128	42.322	1.005
118.065	3.914	4.068	1.039
118.078	3.898	4.068	1.044
118.081	3.898	4.068	1.044
118.086	3.890	4.068	1.046
119.060	13.524	14.302	1.058
119.086	13.483	14.206	1.054
120.081	1.814	1.808	0.996
121.052	34.277	33.993	0.992
121.065	34.228	33.929	0.991
121.089	34.179	33.929	0.993
121.101	34.171	33.929	0.993
122.060	4.419	4.456	1.008
122.084	4.411	4.424	1.003
122.096	4.411	4.424	1.003
123.092	16.061	15.108	0.941
124.039	2.742	2.712	0.989
124.057	2.759	2.744	0.995
125.042	13.109	13.238	1.010
125.060	13.117	13.270	1.012
125.071	13.125	13.238	1.009
125.084	13.142	13.270	1.010
125.096	13.125	13.270	1.011
125.107	13.125	13.303	1.013
125.120	13.117	13.303	1.014
127.112	19.741	19.696	0.998
127.136	19.554	19.470	0.996
127.903	3.068	3.197	1.042
128.120	3.133	3.423	1.092
128.143	3.125	3.390	1.085
128.911	11.596	12.109	1.044
129.045	11.914	12.239	1.027
129.070	11.922	12.271	1.029
129.091	11.914	12.239	1.027
129.127	11.678	11.916	1.020
129.139	11.572	11.754	1.016
129.151	11.328	11.399	1.006
131.060	10.652	10.688	1.003
131.107	10.644	10.688	1.004
131.143	10.555	10.527	0.997
131.154	10.474	10.430	0.996
132.066	1.416	1.291	0.912
132.102	1.456	1.324	0.909
133.065	5.323	5.458	1.025
133.101	5.104	5.103	1.000
135.080	11.034	11.559	1.048
135.117	11.042	11.591	1.050
137.047	43.556	20.339	0.467
137.060	43.524	20.307	0.467
137.060	43.524	20.307	0.467
137.071	43.508	20.243	0.465
137.132	43.516	20.275	0.466
139.148	10.163	10.203	1.004
144.175	2.115	2.131	1.007
145.076	26.159	27.246	1.042
145.122	26.069	27.246	1.045
145.962	3.385	3.778	1.116
145.968	3.377	3.778	1.119
146.970	3.727	3.778	1.014
146.976	3.735	3.843	1.029
148.088	0.773	0.613	0.794
148.125	0.773	0.581	0.752
149.096	17.550	18.336	1.045
151.075	7.259	7.361	1.014
152.120	1.497	1.582	1.057
153.055	10.700	10.978	1.026
153.070	10.684	10.978	1.028
153.127	10.733	11.043	1.029
153.151	10.708	11.010	1.028
153.980	1.871	1.614	0.862
155.086	11.652	11.461	0.984
155.107	11.668	11.494	0.985
155.142	11.644	11.461	0.984
157.159	7.186	6.328	0.881
159.174	18.847	20.214	1.073
161.132	1.871	1.711	0.914
162.128	0.870	1.001	1.150
